id,DOI,year,journal,discipline,citations,relative citation score
32103890,10.1111/j.1464-410X.2009.08531.x,2009,BJU INTERNATIONAL,Clinical Medicine,27,1.473
32103865,10.1038/mt.2009.111,2009,MOLECULAR THERAPY,Biomedical Research,27,0.67
32080945,10.1166/jnn.2009.M21,2009,JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,Engineering and Technology,24,0.842
32027381,10.1007/s00018-009-0045-z,2009,CELLULAR AND MOLECULAR LIFE SCIENCES,Biomedical Research,116,1.94
32019955,10.1593/neo.09572,2009,NEOPLASIA,Clinical Medicine,79,1.993
31996073,10.1186/1756-9966-28-84,2009,JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,Clinical Medicine,33,0.832
31982448,10.1118/1.3085825,2009,MEDICAL PHYSICS,Clinical Medicine,19,0.938
31963218,10.1074/jbc.M808919200,2009,JOURNAL OF BIOLOGICAL CHEMISTRY,Biomedical Research,50,1.249
31953760,10.1016/j.ejrad.2009.01.052,2009,EUROPEAN JOURNAL OF RADIOLOGY,Clinical Medicine,5,0.247
31944935,10.1158/0008-5472.CAN-09-0026,2009,CANCER RESEARCH,Clinical Medicine,27,0.681
31939846,10.1016/j.humpath.2009.01.004,2009,HUMAN PATHOLOGY,Clinical Medicine,16,0.714
32864036,10.1111/j.1464-410X.2009.08623.x,2009,BJU INTERNATIONAL,Clinical Medicine,23,1.255
32863668,10.1158/0008-5472.CAN-09-0941,2009,CANCER RESEARCH,Clinical Medicine,50,1.261
32863220,10.1002/ijc.24592,2009,INTERNATIONAL JOURNAL OF CANCER,Clinical Medicine,18,0.454
32863163,10.1089/jir.2008.0073,2009,JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,Clinical Medicine,1,0.028
32813642,10.1073/pnas.0908458106,2009,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Biomedical Research,94,1.572
32264479,10.1016/j.tcb.2009.02.006,2009,TRENDS IN CELL BIOLOGY,Biomedical Research,105,2.493
32253781,10.1074/jbc.M109.012591,2009,JOURNAL OF BIOLOGICAL CHEMISTRY,Biomedical Research,48,1.199
32230362,10.1002/cncr.24571,2009,CANCER,Clinical Medicine,43,1.085
32183748,10.1038/mt.2009.120,2009,MOLECULAR THERAPY,Biomedical Research,55,1.366
32140768,10.1038/nature08279,2009,NATURE,Biomedical Research,73,1.221
32140139,10.1177/1087057109340314,2009,JOURNAL OF BIOMOLECULAR SCREENING,Chemistry,22,0.996
32118317,10.1117/1.3149852,2009,JOURNAL OF BIOMEDICAL OPTICS,Physics,6,0.434
32076816,10.1007/s00259-009-1158-1,2009,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,Clinical Medicine,44,2.172
31765447,10.1002/mc.20476,2009,MOLECULAR CARCINOGENESIS,Clinical Medicine,16,0.404
31765361,10.1158/0008-5472.CAN-07-6817,2009,CANCER RESEARCH,Clinical Medicine,43,1.085
31753282,10.1038/nm.1944,2009,NATURE MEDICINE,Biomedical Research,325,8.117
31604951,10.1007/s10585-008-9226-7,2009,CLINICAL & EXPERIMENTAL METASTASIS,Clinical Medicine,56,1.413
31595191,10.1093/aje/kwp006,2009,AMERICAN JOURNAL OF EPIDEMIOLOGY,Clinical Medicine,257,9.497
31585527,10.1016/j.ica.2008.06.018,2009,INORGANICA CHIMICA ACTA,Chemistry,3,0.155
31585425,10.1038/onc.2008.427,2009,ONCOGENE,Biomedical Research,73,1.812
31583193,10.1593/neo.81282,2009,NEOPLASIA,Clinical Medicine,46,1.16
31581206,10.1021/ci800356a,2009,JOURNAL OF CHEMICAL INFORMATION AND MODELING,Chemistry,27,0.691
31580810,10.1158/0008-5472.CAN-08-4709,2009,CANCER RESEARCH,Clinical Medicine,292,7.366
31571609,10.1002/mrm.21896,2009,MAGNETIC RESONANCE IN MEDICINE,Clinical Medicine,66,3.257
31327387,10.1200/JCO.2007.14.2042,2009,JOURNAL OF CLINICAL ONCOLOGY,Clinical Medicine,58,1.463
31295331,10.1158/1078-0432.CCR-08-1691,2009,CLINICAL CANCER RESEARCH,Clinical Medicine,39,0.984
31294816,10.1186/1476-072X-7-60,2008,INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS,Health,51,2.539
31282484,10.1016/j.urology.2008.01.015,2008,UROLOGY,Clinical Medicine,22,1.103
31282008,10.1118/1.3036112,2009,MEDICAL PHYSICS,Clinical Medicine,82,4.047
31282007,10.1118/1.3026602,2009,MEDICAL PHYSICS,Clinical Medicine,27,1.333
31249023,10.1016/j.juro.2008.08.124,2009,JOURNAL OF UROLOGY,Clinical Medicine,3,0.164
31242132,10.1016/j.jtemb.2008.03.010,2008,JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,Biomedical Research,24,0.584
31616384,10.1111/j.1464-410X.2008.08118.x,2009,BJU INTERNATIONAL,Clinical Medicine,16,0.873
43986870,10.1073/pnas.0912811107,2010,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Biomedical Research,42,0.805
43980096,10.1371/journal.pone.0008848,2010,PLOS ONE,Biomedical Research,104,1.992
43969716,10.1038/onc.2009.360,2010,ONCOGENE,Biomedical Research,45,1.237
43967376,10.1111/j.1528-1167.2009.02438.x,2010,EPILEPSIA,Clinical Medicine,13,0.423
43964438,10.1124/jpet.109.160044,2010,JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Clinical Medicine,11,0.461
43956828,10.1111/j.1464-410X.2009.08792.x,2010,BJU INTERNATIONAL,Clinical Medicine,7,0.383
43956260,10.1038/onc.2009.331,2010,ONCOGENE,Biomedical Research,37,1.017
43950386,10.1158/1055-9965.EPI-09-0777,2010,CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,Clinical Medicine,25,0.717
43944869,10.1093/jnci/djp404,2010,JOURNAL OF THE NATIONAL CANCER INSTITUTE,Clinical Medicine,253,7.257
43943040,10.1002/pros.21035,2010,PROSTATE,Clinical Medicine,31,1.697
43933141,10.1111/j.1464-410X.2009.08728.x,2010,BJU INTERNATIONAL,Clinical Medicine,2,0.109
43926299,10.1118/1.3263618,2010,MEDICAL PHYSICS,Clinical Medicine,7,0.377
43925486,10.1007/s00396-009-2144-7,2010,COLLOID AND POLYMER SCIENCE,Chemistry,12,0.511
43916342,10.4049/jimmunol.0800924,2010,JOURNAL OF IMMUNOLOGY,Clinical Medicine,11,0.348
43916070,10.1210/en.2009-0577,2010,ENDOCRINOLOGY,Clinical Medicine,34,1.108
43885834,10.4155/FMC.09.4,2009,FUTURE MEDICINAL CHEMISTRY,Clinical Medicine,28,1.083
43836068,10.1111/j.1582-4934.2008.00544.x,2009,JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,Biomedical Research,4,0.067
43768221,10.1158/0008-5472.CAN-09-0400,2009,CANCER RESEARCH,Clinical Medicine,43,1.085
43764855,10.1002/rcs.274,2009,INTERNATIONAL JOURNAL OF MEDICAL ROBOTICS AND COMPUTER ASSISTED SURGERY,Clinical Medicine,79,4.532
43764120,10.1200/JCO.2009.23.7503,2009,JOURNAL OF CLINICAL ONCOLOGY,Clinical Medicine,137,3.456
43756466,10.1593/tlo.08214,2009,TRANSLATIONAL ONCOLOGY,Clinical Medicine,2,0.05
43756244,10.2967/jnumed.109.061820,2009,JOURNAL OF NUCLEAR MEDICINE,Clinical Medicine,70,3.455
43727179,10.1371/journal.pone.0007075,2009,PLOS ONE,Biomedical Research,32,0.535
43726660,10.1371/journal.pone.0006589,2009,PLOS ONE,Biomedical Research,50,0.836
43726282,10.1371/journal.pone.0006224,2009,PLOS ONE,Biomedical Research,22,0.368
43726202,10.1371/journal.pone.0006146,2009,PLOS ONE,Biomedical Research,372,6.222
43725920,10.1371/journal.pone.0005877,2009,PLOS ONE,Biomedical Research,15,0.251
43725264,10.1371/journal.pone.0005275,2009,PLOS ONE,Biomedical Research,83,1.388
43704558,10.1371/journal.pone.0003645,2008,PLOS ONE,Biomedical Research,105,1.458
43704337,10.1371/journal.pone.0003452,2008,PLOS ONE,Biomedical Research,22,0.306
43703533,10.1371/journal.pone.0002703,2008,PLOS ONE,Biomedical Research,19,0.264
43685843,10.1155/2007/15481,2007,PPAR RESEARCH,Clinical Medicine,2,0.058
43685078,10.1517/17460441.2.10.1341,2007,EXPERT OPINION ON DRUG DISCOVERY,Clinical Medicine,8,0.258
43672352,10.1371/journal.pone.0000375,2007,PLOS ONE,Biomedical Research,35,0.45
32886833,10.1158/1940-6207.CAPR-09-0010,2009,CANCER PREVENTION RESEARCH,Clinical Medicine,22,0.555
32845447,10.1038/nature08361,2009,NATURE,Biomedical Research,374,6.255
32831780,10.1074/jbc.M109.065979,2009,JOURNAL OF BIOLOGICAL CHEMISTRY,Biomedical Research,32,0.799
32831546,10.1016/j.eururo.2009.03.066,2009,EUROPEAN UROLOGY,Clinical Medicine,32,1.746
32831487,10.1073/pnas.0906922106,2009,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Biomedical Research,198,3.312
32824860,10.1186/1471-2407-9-397,2009,BMC CANCER,Clinical Medicine,31,0.782
32819832,10.1158/1078-0432.CCR-09-1691,2009,CLINICAL CANCER RESEARCH,Clinical Medicine,139,3.506
32811727,10.1210/me.2009-0188,2009,MOLECULAR ENDOCRINOLOGY,Clinical Medicine,69,2.017
32803305,10.1002/ijc.24673,2009,INTERNATIONAL JOURNAL OF CANCER,Clinical Medicine,4,0.101
32796495,10.1021/ol901999f,2009,ORGANIC LETTERS,Chemistry,27,1.229
32790972,10.1016/j.canlet.2009.03.022,2009,CANCER LETTERS,Clinical Medicine,43,1.085
32789481,10.1186/1471-2407-9-392,2009,BMC CANCER,Clinical Medicine,53,1.337
32777340,10.1200/JCO.2009.21.9840,2009,JOURNAL OF CLINICAL ONCOLOGY,Clinical Medicine,80,2.018
32773510,10.1080/08858190902997274,2009,JOURNAL OF CANCER EDUCATION,Clinical Medicine,3,0.076
32769612,10.1158/1541-7786.MCR-09-0072,2009,MOLECULAR CANCER RESEARCH,Clinical Medicine,10,0.252
32762391,10.1016/j.ijrobp.2009.06.076,2009,INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,Clinical Medicine,7,0.177
32749767,10.1117/1.3210767,2009,JOURNAL OF BIOMEDICAL OPTICS,Physics,6,0.434
32745300,10.1093/jnci/djp306,2009,JOURNAL OF THE NATIONAL CANCER INSTITUTE,Clinical Medicine,78,1.968
32739156,10.1016/j.ccr.2009.08.016,2009,CANCER CELL,Clinical Medicine,123,3.103
32734790,10.1124/mol.109.058180,2009,MOLECULAR PHARMACOLOGY,Clinical Medicine,38,1.47
32734151,10.1038/cdd.2009.119,2009,CELL DEATH AND DIFFERENTIATION,Biomedical Research,46,1.149
32728539,10.3945/jn.109.113332,2009,JOURNAL OF NUTRITION,Biomedical Research,99,3.584
32726343,10.1093/carcin/bgp202,2009,CARCINOGENESIS,Clinical Medicine,21,0.53
32321169,10.1158/0008-5472.CAN-08-3781,2009,CANCER RESEARCH,Clinical Medicine,96,2.422
32299912,10.1158/0008-5472.CAN-09-1504,2009,CANCER RESEARCH,Clinical Medicine,112,2.825
32288523,10.1158/1078-0432.CCR-09-1938,2009,CLINICAL CANCER RESEARCH,Clinical Medicine,28,0.706
32279300,10.1118/1.3130047,2009,MEDICAL PHYSICS,Clinical Medicine,85,4.195
32278829,10.1158/0008-5472.CAN-08-3931,2009,CANCER RESEARCH,Clinical Medicine,16,0.404
32277509,10.1152/ajpgi.00007.2009,2009,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,Biomedical Research,5,0.159
32269513,10.1038/onc.2009.30,2009,ONCOGENE,Biomedical Research,78,1.937
32124362,10.2353/ajpath.2009.081107,2009,AMERICAN JOURNAL OF PATHOLOGY,Clinical Medicine,42,1.874
32123108,10.1210/er.2008-0028,2009,ENDOCRINE REVIEWS,Clinical Medicine,163,4.766
32109494,10.1146/annurev.pathol.4.110807.092222,2009,ANNUAL REVIEW OF PATHOLOGY-MECHANISMS OF DISEASE,Clinical Medicine,391,17.45
32101135,10.1158/1078-0432.CCR-09-0783,2009,CLINICAL CANCER RESEARCH,Clinical Medicine,21,0.53
32101134,10.1158/1078-0432.CCR-09-0051,2009,CLINICAL CANCER RESEARCH,Clinical Medicine,59,1.488
32061831,10.1097/MOU.0b013e328329ea6c,2009,CURRENT OPINION IN UROLOGY,Clinical Medicine,17,0.927
32061083,10.1002/prca.200800141,2009,PROTEOMICS CLINICAL APPLICATIONS,Biomedical Research,36,0.899
32002698,10.1152/ajpcell.00598.2008,2009,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,Biomedical Research,101,3.203
31997743,10.1016/j.bbrc.2009.07.062,2009,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,Biomedical Research,17,0.425
31934724,10.1074/jbc.M809172200,2009,JOURNAL OF BIOLOGICAL CHEMISTRY,Biomedical Research,32,0.799
31930487,10.1002/ijc.24044,2009,INTERNATIONAL JOURNAL OF CANCER,Clinical Medicine,99,2.497
31924279,10.1158/1940-6207.CAPR-08-0188,2009,CANCER PREVENTION RESEARCH,Clinical Medicine,44,1.11
31919580,10.1021/np800630k,2009,JOURNAL OF NATURAL PRODUCTS-LLOYDIA,Biology,7,0.314
31913405,10.1016/j.juro.2009.02.127,2009,JOURNAL OF UROLOGY,Clinical Medicine,11,0.6
31898890,10.1038/pcan.2009.4,2009,PROSTATE CANCER AND PROSTATIC DISEASES,Clinical Medicine,20,1.091
31861969,10.1158/0008-5472.CAN-08-4926,2009,CANCER RESEARCH,Clinical Medicine,110,2.775
31842762,10.1158/0008-5472.CAN-09-0395,2009,CANCER RESEARCH,Clinical Medicine,93,2.346
31823092,10.1093/carcin/bgp112,2009,CARCINOGENESIS,Clinical Medicine,30,0.757
31800029,10.1016/j.devcel.2009.03.004,2009,DEVELOPMENTAL CELL,Biomedical Research,37,0.878
31789196,10.1002/pros.20925,2009,PROSTATE,Clinical Medicine,20,1.091
31760372,10.1021/bi802219n,2009,BIOCHEMISTRY,Biomedical Research,15,0.375
31758118,10.1093/jnci/djn509,2009,JOURNAL OF THE NATIONAL CANCER INSTITUTE,Clinical Medicine,152,3.834
31748173,10.1002/pros.20906,2009,PROSTATE,Clinical Medicine,50,2.728
31745557,10.1073/pnas.0807543105,2009,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Biomedical Research,31,0.518
31736017,10.1016/j.ccr.2009.02.021,2009,CANCER CELL,Clinical Medicine,107,2.699
31726963,10.1158/0008-5472.CAN-08-4423,2009,CANCER RESEARCH,Clinical Medicine,37,0.933
31726238,10.1158/0008-5472.CAN-08-3605,2009,CANCER RESEARCH,Clinical Medicine,115,2.901
31725744,10.1101/gad.511109,2009,GENES & DEVELOPMENT,Biomedical Research,208,5.164
31723047,10.1016/j.ijrobp.2009.01.020,2009,INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,Clinical Medicine,1,0.025
31722237,10.1016/j.juro.2009.01.110,2009,JOURNAL OF UROLOGY,Clinical Medicine,43,2.346
31715947,10.1117/1.3081543,2009,JOURNAL OF BIOMEDICAL OPTICS,Physics,6,0.434
31711510,10.1002/jcb.22081,2009,JOURNAL OF CELLULAR BIOCHEMISTRY,Biomedical Research,21,0.524
31711492,10.1016/j.spmi.2008.11.029,2009,SUPERLATTICES AND MICROSTRUCTURES,Physics,8,0.353
31681328,10.1093/protein/gzn055,2009,PROTEIN ENGINEERING DESIGN & SELECTION,Biomedical Research,29,0.724
31680636,10.1158/1078-0432.CCR-08-1789,2009,CLINICAL CANCER RESEARCH,Clinical Medicine,54,1.362
31648411,10.1158/1078-0432.CCR-08-1440,2009,CLINICAL CANCER RESEARCH,Clinical Medicine,30,0.757
31646875,10.3181/0809-RM-275,2009,EXPERIMENTAL BIOLOGY AND MEDICINE,Clinical Medicine,9,0.304
31639301,10.1002/gcc.20647,2009,GENES CHROMOSOMES & CANCER,Biomedical Research,66,1.639
31635193,10.1016/j.bbrc.2009.02.110,2009,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,Biomedical Research,88,2.198
31629625,10.1016/j.canlet.2008.09.030,2009,CANCER LETTERS,Clinical Medicine,139,3.506
31626982,10.1088/0031-9155/54/5/N02,2009,PHYSICS IN MEDICINE AND BIOLOGY,Clinical Medicine,5,0.247
31625453,10.1002/stem.29,2009,STEM CELLS,Biomedical Research,211,5.009
31615709,10.1118/1.3110163,2009,MEDICAL PHYSICS,Clinical Medicine,33,1.629
31613221,10.1517/14728220902832697,2009,EXPERT OPINION ON THERAPEUTIC TARGETS,Clinical Medicine,133,5.145
31594202,10.1002/ptr.2594,2009,PHYTOTHERAPY RESEARCH,Biology,35,1.571
31579576,10.1093/jnci/djp030,2009,JOURNAL OF THE NATIONAL CANCER INSTITUTE,Clinical Medicine,189,4.767
31566815,10.1210/en.2008-1555,2009,ENDOCRINOLOGY,Clinical Medicine,48,1.403
31518269,10.3816/CGC.2009.n.009,2009,CLINICAL GENITOURINARY CANCER,Clinical Medicine,14,0.353
31510681,10.1177/1087057108326662,2009,JOURNAL OF BIOMOLECULAR SCREENING,Chemistry,15,0.679
31509353,10.1093/annonc/mdp111,2009,ANNALS OF ONCOLOGY,Clinical Medicine,96,2.422
31508998,10.1158/1078-0432.CCR-08-2733,2009,CLINICAL CANCER RESEARCH,Clinical Medicine,39,0.984
31507571,10.1073/pnas.0807282106,2009,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Biomedical Research,58,0.97
31500923,10.1158/0008-5472.CAN-08-2537,2009,CANCER RESEARCH,Clinical Medicine,25,0.631
31486087,10.1021/tx8003032,2009,CHEMICAL RESEARCH IN TOXICOLOGY,Clinical Medicine,2,0.077
31476848,10.1101/gad.1748409,2009,GENES & DEVELOPMENT,Biomedical Research,65,1.614
31475338,10.1111/j.1743-6109.2008.01105.x,2009,JOURNAL OF SEXUAL MEDICINE,Clinical Medicine,62,3.382
31475337,10.1111/j.1743-6109.2008.01104.x,2009,JOURNAL OF SEXUAL MEDICINE,Clinical Medicine,26,1.418
31464278,10.1002/pros.20895,2009,PROSTATE,Clinical Medicine,63,3.437
31452464,10.1016/j.urolonc.2008.06.002,2009,UROLOGIC ONCOLOGY,Clinical Medicine,32,1.746
31449884,10.1021/tx800328u,2009,CHEMICAL RESEARCH IN TOXICOLOGY,Clinical Medicine,47,1.818
31431935,10.1074/jbc.M900301200,2009,JOURNAL OF BIOLOGICAL CHEMISTRY,Biomedical Research,947,23.652
31427143,10.1016/j.cellsig.2008.08.023,2009,CELLULAR SIGNALLING,Biomedical Research,66,1.648
31424566,10.1007/s10719-008-9167-z,2009,GLYCOCONJUGATE JOURNAL,Biomedical Research,6,0.15
31420628,10.1158/0008-5472.CAN-08-3157,2009,CANCER RESEARCH,Clinical Medicine,139,3.506
31419155,10.1002/pros.20893,2009,PROSTATE,Clinical Medicine,7,0.382
31419154,10.1002/pros.20887,2009,PROSTATE,Clinical Medicine,63,3.437
31398024,10.1021/bc8003183,2009,BIOCONJUGATE CHEMISTRY,Biomedical Research,21,0.524
31389101,10.1373/clinchem.2008.108498,2009,CLINICAL CHEMISTRY,Clinical Medicine,63,2.129
31377927,10.1016/j.bbrc.2008.12.110,2009,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,Biomedical Research,48,1.199
31376925,10.1158/0008-5472.CAN-07-6270,2009,CANCER RESEARCH,Clinical Medicine,42,1.059
31375881,10.1016/j.humpath.2008.07.014,2009,HUMAN PATHOLOGY,Clinical Medicine,43,1.919
31375476,10.1158/0008-5472.CAN-08-3415,2009,CANCER RESEARCH,Clinical Medicine,121,3.052
31368181,10.1166/jbn.2008.013,2008,JOURNAL OF BIOMEDICAL NANOTECHNOLOGY,Biomedical Research,3,0.098
31332513,10.1093/hmg/ddn384,2009,HUMAN MOLECULAR GENETICS,Biomedical Research,46,1.142
31323468,10.1186/1471-2105-9-482,2008,BMC BIOINFORMATICS,Biomedical Research,171,5.722
31299964,10.1002/ijc.24007,2009,INTERNATIONAL JOURNAL OF CANCER,Clinical Medicine,27,0.681
31275468,10.1158/0008-5472.CAN-08-2780,2008,CANCER RESEARCH,Clinical Medicine,67,1.631
31275464,10.1158/0008-5472.CAN-08-1794,2008,CANCER RESEARCH,Clinical Medicine,45,1.095
31275124,10.1111/j.1464-410X.2008.08009.x,2009,BJU INTERNATIONAL,Clinical Medicine,48,2.618
32888353,10.1186/1755-8794-1-6,2008,BMC MEDICAL GENOMICS,Biomedical Research,25,0.565
32005806,10.1126/science.1168175,2009,SCIENCE,Biomedical Research,1047,17.511
32004004,10.1016/j.bbadis.2009.02.012,2009,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,Biomedical Research,19,0.475
31993480,10.1158/1078-0432.CCR-08-2927,2009,CLINICAL CANCER RESEARCH,Clinical Medicine,137,3.456
31959148,10.1158/1078-0432.CCR-08-2593,2009,CLINICAL CANCER RESEARCH,Clinical Medicine,31,0.782
31760942,10.1074/jbc.M806270200,2009,JOURNAL OF BIOLOGICAL CHEMISTRY,Biomedical Research,51,1.274
31643746,10.1038/ejhg.2008.184,2009,EUROPEAN JOURNAL OF HUMAN GENETICS,Biomedical Research,15,0.372
31633598,10.1128/MCB.01392-08,2009,MOLECULAR AND CELLULAR BIOLOGY,Biomedical Research,37,0.924
31433239,10.1158/1940-6207.CAPR-08-0150,2009,CANCER PREVENTION RESEARCH,Clinical Medicine,35,0.883
31413189,10.1158/1078-0432.CCR-08-1611,2009,CLINICAL CANCER RESEARCH,Clinical Medicine,6,0.151
31411617,10.1016/j.canlet.2008.06.007,2009,CANCER LETTERS,Clinical Medicine,70,1.766
31401055,10.1016/j.juro.2008.10.064,2009,JOURNAL OF UROLOGY,Clinical Medicine,3,0.164
31395947,10.1007/s00280-008-0774-y,2009,CANCER CHEMOTHERAPY AND PHARMACOLOGY,Clinical Medicine,61,1.539
44258204,10.1016/j.ymeth.2010.01.032,2010,METHODS-A COMPANION TO METHODS IN ENZYMOLOGY,Biomedical Research,622,18.203
44940138,10.1002/pros.21172,2010,PROSTATE,Clinical Medicine,97,5.31
44259169,10.1074/jbc.M109.053348,2010,JOURNAL OF BIOLOGICAL CHEMISTRY,Biomedical Research,30,0.878
44259904,10.1016/j.canep.2009.12.002,2010,CANCER EPIDEMIOLOGY,Clinical Medicine,11,0.316
44265269,10.1093/nar/gkp1088,2010,NUCLEIC ACIDS RESEARCH,Biomedical Research,47,1.375
44268845,10.1515/BC.2010.044,2010,BIOLOGICAL CHEMISTRY,Biomedical Research,18,0.527
44007692,10.1002/pros.21048,2010,PROSTATE,Clinical Medicine,20,1.095
44007696,10.1002/pros.21046,2010,PROSTATE,Clinical Medicine,10,0.547
44276944,10.1002/pros.21081,2010,PROSTATE,Clinical Medicine,38,2.08
44276946,10.1002/pros.21083,2010,PROSTATE,Clinical Medicine,75,4.106
44278950,10.1002/nbm.1446,2010,NMR IN BIOMEDICINE,Clinical Medicine,6,0.323
44282579,10.2353/ajpath.2010.090293,2010,AMERICAN JOURNAL OF PATHOLOGY,Clinical Medicine,20,0.953
44282580,10.2353/ajpath.2010.090873,2010,AMERICAN JOURNAL OF PATHOLOGY,Clinical Medicine,31,1.477
44282585,10.2353/ajpath.2010.090653,2010,AMERICAN JOURNAL OF PATHOLOGY,Clinical Medicine,42,2.002
43942638,10.1373/clinchem.2009.133272,2010,CLINICAL CHEMISTRY,Clinical Medicine,86,3.399
43940422,10.1074/jbc.M109.046847,2010,JOURNAL OF BIOLOGICAL CHEMISTRY,Biomedical Research,18,0.527
44025146,10.1128/JVI.01969-09,2010,JOURNAL OF VIROLOGY,Biomedical Research,42,1.697
44282754,10.1667/RR1931.1,2010,RADIATION RESEARCH,Clinical Medicine,61,3.288
43931139,10.1242/jcs.054502,2010,JOURNAL OF CELL SCIENCE,Biomedical Research,24,0.614
44284327,10.1107/S1744309110004409,2010,ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY AND CRYSTALLIZATION COMMUNICATIONS,Chemistry,3,0.128
44289336,10.1016/j.bmc.2010.03.018,2010,BIOORGANIC & MEDICINAL CHEMISTRY,Chemistry,31,1.516
44290844,10.1038/nrurol.2010.24,2010,NATURE REVIEWS UROLOGY,Clinical Medicine,39,2.135
43913931,10.1093/annonc/mdp270,2010,ANNALS OF ONCOLOGY,Clinical Medicine,91,2.61
43898542,10.1007/s10903-009-9231-1,2009,JOURNAL OF IMMIGRANT AND MINORITY HEALTH,Health,7,0.377
43898526,10.1007/s10903-008-9212-9,2009,JOURNAL OF IMMIGRANT AND MINORITY HEALTH,Health,7,0.377
43860908,10.1126/scisignal.2000081,2009,SCIENCE SIGNALING,Biomedical Research,43,1.074
43860897,10.1126/scisignal.2000029,2009,SCIENCE SIGNALING,Biomedical Research,34,0.849
43844021,10.1016/j.diff.2008.10.011,2009,DIFFERENTIATION,Biomedical Research,4,0.12
43843996,10.1016/j.diff.2008.09.012,2009,DIFFERENTIATION,Biomedical Research,30,0.902
