,doi
257,10.1523/jneurosci.4363-06.2007
258,10.1038/sj.onc.1210261
259,10.1073/pnas.0700044104
260,10.1111/j.1750-3639.2007.00105.x
261,10.2353/ajpath.2008.080376
263,10.1158/0008-5472.can-07-6867
264,10.1523/jneurosci.5236-07.2008
265,10.1158/1078-0432.ccr-09-0433
266,10.1016/j.stem.2009.04.010
267,10.1016/j.ccr.2008.12.006
268,10.1242/jcs.045914
269,10.1038/onc.2008.427
270,10.1038/nature08279
271,10.1152/ajpgi.00007.2009
272,10.1101/sqb.2008.73.005
273,10.1101/gad.490608
274,10.1016/j.cell.2008.08.041
275,10.1016/j.gde.2006.12.004
276,10.1073/pnas.0902031106
277,10.1182/blood-2008-03-144436
278,10.1124/jpet.107.135830
279,10.1215/15228517-2008-011
280,10.1158/0008-5472.can-08-3931
281,10.1158/0008-5472.can-08-0866
282,10.1155/2017/8685638
283,10.1158/0008-5472.can-09-2178
284,10.1158/1535-7163.mct-10-0654
285,10.1158/0008-5472.can-07-5916
286,10.1016/j.neuroimage.2007.02.019
287,10.1002/dvdy.21430
288,10.1016/j.ccr.2008.01.002
289,10.1016/j.ccr.2008.01.003
290,10.1038/sj.onc.1209849
291,10.1016/b978-012374178-3.10005-5
292,10.1158/0008-5472.can-09-2505
293,10.2174/138920310791824011
295,10.1038/jid.2009.13
296,10.1593/neo.08642
297,10.1016/j.pain.2007.06.030
298,10.1097/gim.0b013e3180986e05
299,10.1126/science.1140324
300,10.1007/s11060-009-0049-4
302,10.1215/15228517-2008-053
303,10.1002/ptr.2594
304,10.1093/carcin/bgi273
305,10.1016/j.pediatrneurol.2011.06.016
306,10.1016/j.neulet.2012.03.009
307,10.1016/j.neuron.2009.03.001
308,10.1523/jneurosci.1496-08.2008
309,10.1177/1073858410365562
310,10.1093/hmg/ddq395
311,10.1073/pnas.0901932106
312,10.1242/dev.066779
314,10.1242/dmm.009779
316,10.1158/0008-5472.can-06-4470
317,10.3791/2621
318,10.1016/j.bbagrm.2010.11.004
319,10.1203/pdr.0b013e31804575db
320,10.1097/mlg.0b013e318163f920
321,10.1097/mao.0b013e31815dbb11
322,10.1097/mao.0b013e31817f7398
323,10.1097/mao.0b013e3181f20655
325,10.1093/neuonc/nor068
326,10.1097/mao.0b013e3181edb8b2
327,10.1016/j.mcn.2011.05.010
328,10.1016/j.clinbiochem.2012.12.007
329,10.1371/journal.pone.0035711
330,10.1007/s00256-011-1333-x
331,10.1093/neuonc/nou235
332,10.1517/13543784.2013.772979
333,10.1002/pbc.24873
334,10.1097/ftd.0000000000000130
335,10.1097/ftd.0b013e318286dd3f
336,10.2217/fon.10.18
337,10.1371/journal.pone.0021099
338,10.1021/bi901479b
339,10.1016/j.molimm.2009.08.015
340,10.1021/bi9020742
341,10.1021/bi801318w
342,10.1021/bi802219n
343,10.1007/s00018-008-8252-6
344,10.1073/pnas.1103344108
345,10.1016/b978-0-12-373861-5.00015-1
346,10.1101/gad.1648608
347,10.1016/j.ccr.2009.05.009
349,10.1158/2159-8290.cd-13-0146
350,10.1172/jci41443
351,10.1093/hmg/ddn134
352,10.1517/14728220902832697
353,10.1172/jci62727
354,10.1158/0008-5472.can-09-1153
355,10.1161/atvbaha.109.191957
356,10.1200/jco.2009.21.9840
357,10.1200/jco.2009.23.7503
358,10.1093/hmg/ddr310
359,10.1038/leu.2009.189
360,10.1158/0008-5472.can-10-1219
361,10.1371/journal.pone.0049222
362,10.1210/me.2011-1008
363,10.1038/onc.2012.374
364,10.1371/journal.pgen.1002618
365,10.1101/gad.1983711
366,10.1093/hmg/dds370
367,10.1242/dmm.006908
368,10.1016/j.neuroscience.2011.12.045
369,10.1016/j.brainresbull.2011.08.005
370,10.1007/s00401-011-0928-6
371,10.3791/2558
372,10.1007/978-1-61779-824-5_7
373,10.1093/neuonc/noq146
374,10.1093/neuonc/nor226
375,10.1016/j.expneurol.2011.09.005
376,10.1523/jneurosci.3242-12.2012
377,10.1016/j.tins.2012.12.002
378,10.1002/ana.23793
379,10.1371/journal.pone.0066024
380,10.1016/j.tcb.2012.04.006
381,10.1016/j.semcdb.2012.08.001
382,10.1038/ncb2884
383,10.1016/j.cell.2014.03.060
384,10.1016/j.cell.2013.12.043
385,10.1007/s00401-011-0905-0
386,10.1158/0008-5472.can-10-4558
387,10.1158/0008-5472.can-10-2167
388,10.1002/ajmg.a.35760
389,10.1038/cddis.2010.83
390,10.18632/aging.100263
391,10.1177/1947601911418498
392,10.1038/cddis.2012.36
393,10.6026/97320630008731
394,10.1007/s00018-012-1127-x
395,10.4161/rna.21998
396,10.1016/j.devcel.2011.08.028
397,10.1002/pro.751
398,10.1038/s41467-017-00346-5
399,10.1371/journal.pone.0013791
400,10.1073/pnas.1107489109
401,10.1016/j.devcel.2010.06.015
402,10.1016/j.devcel.2010.09.011
403,10.1016/j.cell.2013.08.025
404,10.1158/1541-7786.mcr-11-0425-t
405,10.18632/oncotarget.4858
406,10.1038/onc.2012.579
407,10.1002/ajmg.a.36754
408,10.1002/jbmr.2298
409,10.1038/nature13561
410,10.1016/j.cell.2013.01.053
412,10.1371/journal.pone.0046900
413,10.1002/jbmr.1992
414,10.1158/1541-7786.mcr-12-0116
415,10.2217/cns.12.18
416,10.1097/j.pain.0000000000001026
417,10.1016/j.neuroscience.2018.04.002
418,10.1097/j.pain.0000000000001002
419,10.1074/jbc.m112.378695
420,10.4161/chan.24224
421,10.1242/jcs.131409
422,10.2217/fnl.12.68
423,10.1016/j.devcel.2011.09.014
424,10.1016/j.cell.2012.06.034
425,10.1002/stem.1186
426,10.1016/j.ccell.2014.09.009
427,10.1016/j.celrep.2013.12.001
428,10.1177/0883073817739196
429,10.1038/srep43315
430,10.1016/j.bpsc.2016.12.003
431,10.1002/hbm.22937
432,10.1007/s00401-013-1209-3
433,10.1097/nen.0000000000000201
434,10.1212/wnl.0000000000002932
436,10.1097/nen.0000000000000126
437,10.1371/journal.pone.0096733
438,10.1016/j.ajpath.2015.10.023
440,10.1016/j.ajpath.2012.11.017
441,10.1182/blood-2014-05-574582
442,10.1038/ng.2526
443,10.1016/j.bbapap.2013.04.007
444,10.1586/14789450.2015.1064771
445,10.1038/onc.2016.269
446,10.1016/j.celrep.2014.07.054
447,10.1016/j.celrep.2015.02.041
448,10.1038/nn.4185
449,10.1212/wnl.0000000000000652
450,10.4161/rdis.28341
451,10.1124/dmd.115.066274
452,10.1016/j.bbr.2017.06.024
453,10.1158/2159-8290.cd-14-0159
454,10.1172/jci85183
455,10.18632/oncotarget.11133
456,10.1016/j.cub.2016.09.010
457,10.1242/jcs.174433
458,10.1371/journal.pone.0107311
459,10.1093/hmg/ddx423
460,10.1073/pnas.1525518113
461,10.1016/j.nbd.2015.05.021
462,10.4103/1673-5374.175045
463,10.1158/0008-5472.can-16-2643
464,10.18632/oncotarget.2810
465,10.1016/j.trsl.2014.12.007
466,10.3791/55827
467,10.1097/mao.0000000000001180
468,10.1038/srep36215
469,10.1093/neuonc/now099
470,10.4161/15384047.2014.972765
471,10.1038/srep18599
472,10.1167/iovs.17-22588
473,10.1016/j.freeradbiomed.2016.06.002
474,10.1093/hmg/ddv635
475,10.1093/neuonc/noz002
476,10.1097/pas.0000000000000564
477,10.1088/1748-605x/aa61d1
478,10.1002/jbm.a.36204
479,10.1038/s41467-018-07452-y
480,10.1038/s41388-018-0663-8
481,10.2196/11008
482,10.1007/s00439-002-0871-7
483,10.1055/s-2007-973687
484,10.1016/s0887-8994(02)00403-4
485,10.1093/oxfordjournals.aje.a010118
486,10.1212/wnl.54.8.1646
487,10.1542/peds.105.3.608
488,10.1034/j.1399-0004.2000.580501.x
489,10.1002/1096-8628(20001113)95:2<108::aid-ajmg4>3.0.co;2-0
490,10.1086/320121
491,10.1002/(sici)1096-8628(19990611)84:5<413::aid-ajmg5>3.0.co;2-1
492,10.1002/(sici)1096-8628(19970516)70:2<138::aid-ajmg7>3.0.co;2-u
493,10.1136/jmg.37.12.933
494,10.1212/wnl.52.7.1517-d
495,10.1002/1098-2272(200012)19:4<429::aid-gepi13>3.0.co;2-n
496,10.1002/(sici)1096-8628(19990326)89:1<1::aid-ajmg3>3.0.co;2-8
497,10.1002/(sici)1096-8628(20000529)92:3<224::aid-ajmg12>3.0.co;2-j
498,10.1046/j.1471-4159.2001.00378.x
499,10.1006/exnr.1999.7081
500,10.1038/sj.onc.1201978
501,10.1002/(sici)1097-4652(199811)177:2<334::aid-jcp15>3.0.co;2-9
502,10.1101/gad.12.21.3357
503,10.1002/jnr.1046
504,10.1046/j.1523-1747.2000.00994.x
505,10.1177/088307380201700803
506,10.1097/00125817-199909000-00002
507,10.1007/s00439-002-0714-6
508,10.1002/1098-2264(200008)28:4<425::aid-gcc8>3.0.co;2-e
509,10.1148/radiology.218.2.r01fe40434
510,10.1212/wnl.56.9.1222
511,10.1007/s100480050060
512,10.1007/s100480000088
513,10.1016/s1071-9091(98)80003-x
514,10.1097/00125817-200105000-00012
515,10.1101/gad.12.8.1121
516,10.1126/science.286.5447.2172
517,10.1038/79075
518,10.1038/sj.ejhg.5200400
519,10.1182/blood.v96.6.2310.h8002310_2310_2313
521,10.1093/hmg/9.1.35
522,10.1093/hmg/10.13.1387
524,10.1006/mcne.2000.0836
525,10.1073/pnas.97.1.436
526,10.1126/science.286.5447.2176
527,10.1002/(sici)1097-0029(19990515/01)45:4/5<210::aid-jemt4>3.0.co;2-f
528,10.1006/mcne.1998.0670
529,10.1523/jneurosci.18-24-10420.1998
530,10.1038/sj.onc.1202524
531,10.1002/(sici)1096-8628(19990326)89:1<14::aid-ajmg5>3.0.co;2-4
532,10.1128/jvi.75.19.9427-9434.2001
533,10.1038/86898
535,10.1016/s1534-5807(01)00009-0
536,10.2214/ajr.180.2.1800419
537,10.1007/s00234-003-0964-6
538,10.1177/088307380201700817
539,10.1111/j.1750-3639.2002.tb00424.x
540,10.1016/s0002-9440(10)61673-2
541,10.2214/ajr.184.3.01840962
542,10.1007/s00247-004-1352-z
543,10.1002/humu.9018
544,10.1212/wnl.58.10.1461
545,10.1086/337952
546,10.1007/s10024001-0126-y
547,10.1093/hmg/9.11.1567
548,10.1093/hmg/10.8.825
549,10.1093/hmg/11.25.3179
550,10.1093/hmg/11.25.3167
551,10.1006/bbrc.2001.6178
552,10.1093/hmg/ddl023
553,10.1038/35002593
554,10.1074/jbc.m909857199
555,10.1042/bj3560377
556,10.1016/s0002-9440(10)63944-2
557,10.1074/jbc.m006635200
558,10.1002/jez.a.10312
559,10.1016/s0969-9961(03)00031-7
561,10.1212/01.wnl.0000055090.78351.c1
563,10.1111/j.1469-8749.2006.tb01268.x
564,10.1212/01.wnl.0000179303.72345.ce
565,10.1007/s00247-006-0267-2
566,10.1111/j.1469-8749.2004.tb01014.x
567,10.1111/j.1365-2214.2006.00717.x
568,10.1002/ajmg.a.20489
569,10.1007/s00335-003-3011-3
570,10.1093/hmg/11.25.3221
571,10.3892/ijmm.13.2.273
572,10.1016/j.tig.2003.12.008
573,10.1093/hmg/10.3.271
574,10.1007/s00109-003-0458-3
575,10.1038/cgt.2009.71
576,10.1089/104303403767740786
577,10.1038/sj.neo.7900265
579,10.1093/hmg/10.26.3009
580,10.1038/sj.onc.1205693
581,10.1101/gad.226302
582,10.1101/gad.862101
583,10.1016/s0304-419x(00)00026-3
584,10.1016/s0304-419x(00)00014-7
585,10.1038/sj.neo.7900249
586,10.1074/jbc.c200125200
587,10.1016/s0304-419x(01)00041-5
588,10.1128/mcb.22.14.5100-5113.2002
589,10.1182/blood-2002-07-2250
590,10.1074/jbc.m200083200
591,10.1006/excr.2000.5138
592,10.1006/scbi.2001.0372
593,10.1038/nrc866
594,10.1126/science.1068452
595,10.1002/glia.10206
596,10.1002/glia.10340
597,10.1107/s0907444904026861
598,10.1038/sj.embor.7400602
599,10.1038/sj.onc.1207053
600,10.1136/jmg.40.2.122
601,10.1002/gcc.20065
602,10.1002/gcc.10206
603,10.1093/hmg/ddl021
604,10.1016/j.bbrc.2005.07.083
605,10.1016/s0898-6568(01)00173-5
606,10.1124/jpet.102.036061
607,10.1086/422700
608,10.1136/jmg.40.10.e109
609,10.3171/jns.2002.96.2.0223
610,10.1002/ajmg.a.20354
611,10.1002/gepi.1129
612,10.1136/jmg.2004.029504
613,10.1002/gepi.10238
614,10.1136/jmg.40.10.758
615,10.1086/342716
616,10.1212/01.wnl.0000035638.74084.f4
617,10.1002/gepi.10181
618,10.1091/mbc.12.10.3060
619,10.1016/s0925-4773(01)00325-2
620,10.1074/jbc.m306149200
621,10.1074/jbc.m313916200
622,10.1016/j.mcn.2004.11.014
623,10.1212/01.wnl.0000032370.68306.8a
624,10.1017/s135561770286012x
625,10.1002/ajmg.a.20656
626,10.1016/s0002-9440(10)63992-2
627,10.1002/glia.10324
628,10.1016/j.nbd.2007.07.015
629,10.1128/mcb.25.8.3151-3162.2005
630,10.1212/01.wnl.0000158653.81008.49
631,10.1111/j.1528-1167.2005.00289.x
632,10.1002/glia.20036
633,10.1074/jbc.m313874200
635,10.1038/nn1566
636,10.1101/gad.1256804
637,10.1083/jcb.200405130
638,10.1165/rcmb.2005-0374oc
639,10.1165/rcmb.2005-0300oc
640,10.1128/mcb.02136-06
641,10.4161/sgtp.2.4.16703
642,10.1038/onc.2010.393
643,10.1534/genetics.106.056895
644,10.1534/genetics.109.105379
645,10.1158/0008-5472.can-06-1122
646,10.1158/0008-5472.can-15-1287
647,10.1073/pnas.0608510104
648,10.2144/000112257
649,10.1101/gr.111492.110
650,10.1186/1471-2105-9-482
651,10.1002/ana.21058
652,10.1007/s00467-009-1416-2
653,10.1055/s-0030-1269906
654,10.1159/000320891
655,10.1534/genetics.107.083097
656,10.1007/s00018-006-6036-4
657,10.1212/wnl.0b013e3181e04325
658,10.1093/cercor/bhs310
659,10.1111/j.1528-1167.2009.02438.x
660,10.1016/j.ajpath.2010.11.031
661,10.1007/s00401-012-0950-3
662,10.1111/j.1749-6632.2009.05117.x
663,10.1097/nen.0b013e3181eac1f5
664,10.1111/j.1750-3639.2009.00341.x
665,10.1038/ncb1547
666,10.1016/j.devcel.2010.11.020
667,10.1101/gad.1461206
668,10.1038/sj.emboj.7601900
669,10.1126/science.1147379
670,10.1371/journal.pone.0030722
671,10.1371/journal.pone.0000375
672,10.1002/dneu.22086
673,10.1126/science.1157535
674,10.1016/j.tcb.2014.03.003
675,10.1126/science.1199498
676,10.1016/j.cell.2010.02.024
677,10.1016/j.molcel.2010.05.017
678,10.1021/ac101235k
679,10.1074/jbc.m900301200
680,10.1016/j.nbd.2011.02.014
681,10.1016/j.nbd.2012.10.014
683,10.1074/jbc.m705231200
684,10.1074/mcp.m900326-mcp200
685,10.1093/hmg/ddn384
686,10.1186/1471-2350-9-10
687,10.1002/humu.21451
688,10.1002/humu.22007
689,10.1002/humu.22202
690,10.1016/j.bbadis.2010.06.004
691,10.1097/nen.0b013e3181b9a699
692,10.1186/1471-2350-10-88
693,10.1038/ejhg.2008.184
694,10.1038/ejhg.2008.170
695,10.1371/journal.pone.0012362
696,10.1158/1078-0432.ccr-10-0993
698,10.1016/j.ajo.2011.10.033
699,10.1371/journal.pone.0043889
700,10.1146/annurev-biochem-062209-094414
701,10.1126/science.1259472
703,10.1038/nrm3522
704,10.1016/j.tibs.2013.01.004
705,10.1074/jbc.c110.102483
706,10.1016/j.molcel.2009.08.010
707,10.4161/cc.8.7.8124
708,10.1038/cdd.2010.82
709,10.1038/ncb2168
710,10.1101/gad.16968011
711,10.1074/jbc.c109.064766
712,10.1016/j.ymeth.2012.06.014
713,10.1016/j.str.2012.06.013
714,10.1126/scisignal.2000029
715,10.1074/jbc.m109.064691
716,10.1089/lrb.2009.0031
717,10.7326/0003-4819-154-12-201106210-00008
718,10.1038/ncomms1236
719,10.1002/dneu.20765
720,10.1186/s13041-019-0427-6
721,10.3389/fnmol.2018.00409
722,10.1016/j.jvir.2016.05.029
723,10.1371/journal.pone.0031900
724,10.1038/ncb2763
725,10.1038/embor.2013.5
726,10.1038/nature13492
727,10.1021/bi400714v
728,10.1016/j.ccr.2010.10.019
729,10.1038/s41467-017-00902-z
730,10.1210/en.2011-1527
732,10.1038/onc.2013.273
733,10.1158/0008-5472.can-13-1729
734,10.1101/gad.214049.113
735,10.1242/dmm.005587
736,10.1242/dmm.011494
737,10.1371/journal.pgen.1003279
738,10.1513/annalsats.201610-824oc
739,10.1378/chest.12-2813
740,10.1016/s2213-2600(13)70090-0
741,10.1172/jci44909
742,10.1016/j.neulet.2015.11.038
743,10.1016/j.tins.2012.09.004
744,10.1523/jneurosci.1840-12.2013
745,10.1093/hmg/ddt018
746,10.1093/hmg/ddr511
747,10.1016/b978-0-12-387036-0.00008-6
748,10.1016/j.jpedsurg.2011.10.035
749,10.1523/jneurosci.3454-16.2017
750,10.2165/11634580-000000000-00000
751,10.1001/jamadermatol.2018.0464
752,10.1177/0883073815601501
753,10.1212/wnl.0000000000003002
754,10.1212/wnl.0000000000000568
755,10.1177/0883073812465122
756,10.1007/s10803-013-1887-7
757,10.1177/0883073815587328
758,10.1016/j.pcl.2015.03.003
759,10.1038/onc.2012.431
760,10.1152/ajprenal.00441.2011
761,10.1074/jbc.m112.431056
762,10.1038/nature10658
763,10.1016/j.neuron.2013.03.030
765,10.1073/pnas.1207846109
766,10.1126/scisignal.2003520
767,10.1016/j.molcel.2012.12.001
768,10.1073/pnas.1208138109
769,10.1111/epi.13429
770,10.1210/me.2013-1059
771,10.1530/erc-15-0505
772,10.1007/s12672-012-0128-4
773,10.1523/eneuro.0046-15.2015
774,10.1016/j.ajpath.2013.04.002
775,10.1007/s00262-016-1920-8
776,10.1158/1538-8514.pi3k14-b10
777,10.1158/1541-7786.mcr-17-0077
778,10.1016/j.chest.2017.01.033
779,10.1016/j.chest.2018.08.1029
780,10.1016/j.neuron.2014.07.040
781,10.1126/scisignal.aab3729
782,10.1016/j.cmet.2016.12.009
783,10.1172/jci92893
784,10.1016/j.molcel.2015.05.031
785,10.1371/journal.pone.0064224
786,10.1016/j.nbd.2015.04.018
787,10.1165/rcmb.2014-0379rc
788,10.1101/gad.265116.115
789,10.1038/ncomms3135
790,10.1016/j.pediatrneurol.2013.12.002
791,10.1084/jem.20160446
792,10.1097/wco.0000000000000186
793,10.1016/j.molcel.2014.11.013
794,10.1080/23723556.2015.1010958
795,10.1074/jbc.m117.777805
796,10.1183/16000617.0004-2016
797,10.1158/0008-5472.can-16-2755
798,10.1242/bio.031302
799,10.1038/nmeth.3208
800,10.1016/j.molcel.2018.01.019
801,10.1093/nar/gkx808
802,10.1016/j.molcel.2017.10.002
803,10.1261/rna.058180.116
804,10.1007/978-1-4939-3067-8_19
805,10.1016/j.cell.2015.10.012
806,10.1038/nsmb.3217
807,10.1080/15384101.2015.1125240
808,10.1080/21690731.2015.1138018
809,10.3389/fcell.2014.00069
810,10.18632/oncoscience.375
811,10.1158/0008-5472.can-17-0925
812,10.1016/j.nbd.2017.10.004
813,10.1074/mcp.m115.055079
814,10.1038/mp.2017.225
815,10.14814/phy2.13983
816,10.1158/1541-7786.mcr-18-1292
817,10.1108/aia-01-2016-0004
818,10.1038/s41388-019-0957-5
819,10.1038/s41380-018-0018-4
820,10.3390/biom7030051
821,10.1016/bs.mie.2016.09.068
822,10.7554/elife.25237.026
823,10.1073/pnas.1713362114
824,10.21769/bioprotoc.3112
825,10.1074/jbc.m117.799593
826,10.1074/jbc.m115.678490
827,10.1007/s11515-016-1407-1
828,10.1002/cpmb.37
829,10.1093/nar/gky340
830,10.1158/1078-0432.ccr-17-3693
831,10.2105/ajph.80.8.984
832,10.1038/sj.cgt.7700900
834,10.1074/jbc.m104446200
837,10.1021/bi0119520
840,10.1074/jbc.274.37.26369
842,10.1016/s1097-2765(02)00654-8
845,10.1038/35089575
848,10.1038/35074618
851,10.1155/2010/473453
853,10.1210/endo.143.6.8846
855,10.1038/sj.bjc.6600654
857,10.1016/s0002-9440(10)61676-8
859,10.1016/s0002-9440(10)63760-1
862,10.1128/mcb.25.19.8581-8591.2005
864,10.1158/0008-5472.can-04-4315
867,10.1083/jcb.200403003
868,10.1007/1-4020-7847-1_2
