"Proposal Title","Principal Investigator","Proposal Number","Award Number","Institution","Program","Mechanism","Research Topic","Fiscal Year","Award Amount"
"Racial Differences in Prostate Cancer Molecular Biology: An Evaluation of Tumor Suppressor Genes BCL2, p53 and RB in Black and White Africans","BAKER, WILLIAM ","MP980011","DAMD17-99-1-9038","Institution: CALIFORNIA, UNIVERSITY OF, DAVIS","PCRP","Minority Population Focused Training Award","Primary: Tumor Suppresor Genes","1997","$49,477.00"
"Comparision of Efficacy and Frequency of Screening and Selected Treatment Modalities for Prostate Cancer in African American and White Men","DEMISSIE, KITAW ","MP980012","DAMD17-99-1-9051","Institution: NEW JERSEY, UNIVERSITY OF MEDICINE AND DENTISTRY OF, ROBERT WOOD JOHNSON MEDICAL SCHOOL","PCRP","Minority Population Focused Training Award","Primary: Descriptive Epidemiology/ Surveillance","1997","$50,000.00"
"Antisense Down Regulation of metallothionein: A Therapeutic Approach for Prostate Cancer","ABDEL-MAGEED, ASIM ","MP980013","DAMD17-99-1-9039","Institution: TULANE UNIVERSITY","PCRP","Minority Population Focused Training Award","Primary: Progression/ Invasion/ Metastasis","1997","$49,721.00"
"Race/Ethnic Based Genetic Variations in Human Genes: Defining the Genetic Evidence for Disparity of Prostate Cancer Risk and Mortality","FRANKLIN, JOHN ","MP980014","DAMD17-99-1-9049","Institution: COLUMBIA UNIVERSITY","PCRP","Minority Population Focused Training Award","Primary: Gene and/or Environmental Epidemiology","1997","$44,341.00"
"Determining Prostate Cancer and Lifestyle Practices Among African American SDA and Non-SDA Men","GWEBU, EPHRAIM ","MP980015","DAMD17-99-1-9050","Institution: OAKWOOD COLLEGE, HUNTSVILLE","PCRP","Minority Population Focused Training Award","Primary: Behavioral EpidemiologySecondary: Lifestyle","1997","$45,656.00"
"Development of Prostate Cancer Survey Measures for African American Urban Men","KLASSEN, ANN ","MP980016","DAMD17-99-1-9047","Institution: JOHNS HOPKINS UNIVERSITY","PCRP","Minority Population Focused Training Award","Primary: Basic BehavioralSecondary: Communities","1997","$49,996.00"
"Assessment of Spirituality as a Function of Quality of Life in Prostate Cancer Patients","BOWIE, JANICE ","MP980017","DAMD17-99-1-9048","Institution: JOHNS HOPKINS UNIVERSITY","PCRP","Minority Population Focused Training Award","Primary: Quality of Life","1997","$41,035.00"
"Genetic Epidemiology of Prostate Cancer","WITTE, JOHN ","PC000001","DAMD17-98-1-8589","Institution: CASE WESTERN RESERVE UNIVERSITY","PCRP","Phase II Idea Development Award","Primary: Gene and/or Environmental EpidemiologySecondary: Familial and Hereditary Disorders","2000","$580,220.00"
"Development of Novel Cytotoxic Telomerase Inhibitors","BASU, HIRAK ","PC000005","DAMD17-01-1-0008","Institution: SLIL BIOMEDICAL CORPORATION","PCRP","Phase II New Investigator Award","Primary: Drug DevelopmentSecondary: Targeted Therapies","2000","$298,955.00"
"PTP(mu) Regulates Cell Adhesion and Signaling in Human Prostate Cancer Cells","BRADY-KALNAY, SUSANN ","PC000008","DAMD17-98-1-8586","Institution: CASE WESTERN RESERVE UNIVERSITY","PCRP","Phase II New Investigator Award","Primary: Signal TransductionSecondary: Cellular Structure","2000","$459,000.00"
"Inhibition of Ligand-Independent Activation of the Androgen Receptor: A Potential Mechanism for Blocking Malignant Tumor Progression of Prostate Cancer","SADAR, MARIANNE ","PC000009","DAMD17-98-1-8577","Institution: PROVINCIAL HEALTH SERVICES AUTHORITY","PCRP","Phase II Idea Development Award","Primary: Mechanism of Hormone Action","2000","$346,798.00"
"Herpes Virus Therapy of Prostate Cancer","MARTUZA, ROBERT ","PC000011","DAMD17-98-1-8490","Institution: MASSACHUSETTS GENERAL HOSPITAL","PCRP","Phase II Idea Development Award","Primary: Gene Therapy (Includes Vector Development)Secondary: Immunotherapies","2000","$811,264.00"
"Chemotherapeutic and Immunotherapeutic Effects of 15-Deoxy-(delta)12,14-Prostaglandin J(2) on Prostate Cancer","YOUNG, CHARLES ","PC000012","DAMD17-98-1-8523","Institution: MAYO CLINIC","PCRP","Phase II Idea Development Award","Primary: Tumor ImmunologySecondary: Immunotherapies","2000","$542,995.00"
"NKX3.1 in Prostate Cancer","GELMANN, EDWARD ","PC000016","DAMD17-98-1-8484","Institution: GEORGETOWN UNIVERSITY","PCRP","Phase II Idea Development Award","Primary: Genomic InstabilitySecondary: Biomarkers","2000","$924,105.00"
"G-Rich Oligonucleotides as Novel Therapeutic Agents for Prostate Cancer","MILLER, DONALD -","PC000017","DAMD17-98-1-8583","Institution: UNIVERSITY OF LOUISVILLE RESEARCH FOUNDATION, INC.","PCRP","Phase II Idea Development Award","Primary: Drug DevelopmentSecondary: Chemotherapy","2000","$657,171.00"
"Centrosome Defects, Genetic Instability and Prostate Cancer Progression","DOXSEY, STEPHEN ","PC000018","DAMD17-98-1-8521","Institution: MASSACHUSETTS, UNIVERSITY OF, MEDICAL CENTER","PCRP","Phase II Idea Development Award","Primary: Cellular StructureSecondary: Biomarkers","2000","$777,154.00"
"Identification of Class I HLA-Restricted Prostatic Epitopes for Specific T Cell Immunotherapy of Human Prostate Cancer","PEACE, DAVID ","PC000020","DAMD17-98-1-8489","Institution: ILLINOIS, UNIVERSITY OF, AT CHICAGO","PCRP","Phase II Idea Development Award","Primary: VaccinesSecondary: Tumor Immunology","2000","$641,106.00"
"Design and Synthesis of New Prostate Cancer Chemotherpeutic Agents","WINKLER, JEFFREY ","PC000021","DAMD17-98-1-8547","Institution: PENNSYLVANIA, UNIVERSITY OF","PCRP","Phase II Idea Development Award","Primary: Drug DevelopmentSecondary: Chemotherapy","2000","$513,419.00"
"Characterization of an ICI182,780-Induced, Estrogen Receptor (ER)(beta)-Mediated Apoptotic Pathway in Prostatic Cancer Cells and Establishment of ER(beta)-Regulated Electrophile-Processing Phase II Enzyme Downregulation as a Promotional Factor in Human Pr","HO, SHUK MEI ","PC000023","DAMD17-98-1-8606","Institution: MASSACHUSETTS, UNIVERSITY OF, MEDICAL CENTER","PCRP","Phase II Idea Development Award","Primary: Mechanism of Hormone ActionSecondary: Apoptosis","2000","$684,789.00"
"Effect of Selenium Supplementation on Molecular Biomarkers of Carcinogenesis in the Aged Dog Prostate","WATERS, DAVID ","PC000025","DAMD17-98-1-8550","Institution: PURDUE UNIVERSITY","PCRP","Phase II Idea Development Award","Primary: PharmacologySecondary: Chemoprevention","2000","$734,026.00"
"Transgenic Models for Prostate Cancer","SAWYERS, CHARLES ","PC000027","DAMD17-98-1-8569","Institution: CALIFORNIA, UNIVERSITY OF, LOS ANGELES","PCRP","Phase II Idea Development Award","Primary: Signal TransductionSecondary: Animal Models","2000","$723,846.00"
"Bioactive Lipids: Role in Prostate Cancer Angiogenesis, Part II","HONN, KENNETH ","PC000029","DAMD17-98-1-8502","Institution: WAYNE STATE UNIVERSITY","PCRP","Phase II Idea Development Award","Primary: AngiogenesisSecondary: Signal Transduction","2000","$550,764.00"
"(beta)1 and (beta)3 Integrins in Prostate Cancer","LANGUINO, LUCIA ","PC000030","DAMD17-98-1-8506","Institution: MASSACHUSETTS, UNIVERSITY OF, MEDICAL SCHOOL","PCRP","Phase II Idea Development Award","Primary: Cellular Structure","2000","$717,719.00"
"Tumor-Specific Regulation of C-CAM Cell Adhesion Molecule in Prostate Carcinogenesis","LIN, SUE HWA ","PC000034","DAMD17-98-1-8465","Institution: M.D. ANDERSON CANCER CENTER, UNIVERSITY OF TEXAS","PCRP","Phase II Idea Development Award","Primary: Tumor Suppresor GenesSecondary: Cellular Structure","2000","$441,930.00"
"Forkhead Transcription Factors as Downstream Effectors of PTEN Function","SELLERS, WILLIAM ","PC000041","DAMD17-98-1-8596","Institution: DANA-FARBER CANCER INSTITUTE","PCRP","Phase II New Investigator Award","Primary: Functional Study of Biological MoleculesSecondary: Cell Cycle","2000","$500,900.00"
"(90)Y-DOTA-huJ591, Humanized Monoclonal Antibody Specific to the Extracellular Domain of PSMA: Dose Escalation Trial in Patients With Prostate Cancer","VALLABHAJOSULA, SHANKAR ","PC000042","DAMD17-98-1-8594","Institution: JOAN AND SANFORD I WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY","PCRP","Phase II Idea Development Award","Primary: Targeted TherapiesSecondary: Radiotherapy","2000","$804,126.00"
"Targeted Gene Therapy for Advanced Prostate Cancer: Pre-Clinical Studies Using the Pro-Apoptotic TRAIL Gene Controlled by an Enhanced PSA Promoter With In-Vivo Monitoring by Non-Invasive PET Imaging","BELLDEGRUN, ARIE ","PC000046","DAMD17-98-1-8564","Institution: CALIFORNIA, UNIVERSITY OF, LOS ANGELES","PCRP","Phase II Idea Development Award","Primary: Gene Therapy (Includes Vector Development)Secondary: Nulcear Medicine Imaging","2000","$710,055.00"
"Study of Prostate Cancer Screening and Mortality among Black and White Men in the Five Atlanta Area SEER Counties","ASAL, NABIH -","PC001001","DAMD17-01-1-0078","Institution: FLORIDA, UNIVERSITY OF","PCRP","Idea Development Award with nested HBCU/MI Traineeship","Primary: Behavioral Epidemiology","2000","$578,005.52"
"Formulated Delivery of Enzyme/Pro-Drug and Cytokine Gene Therapy to Promote Immune Reduction of Treated and Remote Tumors in Mouse Models of Prostate Cancer","RUSSELL, PAMELA ","PC001007","DAMD17-02-1-0107","Institution: NEW SOUTH WALES, UNIVERSITY OF","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Gene Therapy (Includes Vector Development)","2001","$522,000.00"
"Induced Expression of Androgen Receptor in Androgen-Independent Prostate Cancer Cells Using an I (kappa) B (alpha) Super-Repressor","KALIKIN, LINDA M.","PC001008","DAMD17-01-1-0077","Institution: MICHIGAN, UNIVERSITY OF","PCRP","Postdoctoral Traineeship Award","Primary: Gene Therapy (Includes Vector Development)Secondary: Hormonal Therapy","2000","$98,000.00"
"Smad-Mediated Signaling during Prostate Growth and Development","SHULER, CHARLES F","PC001019","DAMD17-01-1-0100","Institution: UNIVERSITY OF SOUTHERN CALIFORNIA","PCRP","New Investigator Award","Primary: Signal Transduction","2000","$365,625.00"
"Human Prostate Cancer in a Tissue Recombination Model","WILLIAMS, KARIN ","PC001035","DAMD17-01-1-0037","Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCO","PCRP","Postdoctoral Traineeship Award","Primary: Progression/ Invasion/ MetastasisSecondary: Animal Models","2000","$99,793.00"
"Prostate Cancer Detection Using Near Infrared Spectral Polarization Imaging","ALFANO, ROBERT ","PC001040","DAMD17-01-1-0084","Institution: NEW YORK, CITY UNIVERSITY OF, CITY COLLEGE OF NEW YORK","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Other Imaging","2000","$536,956.00"
"Augmentation of a Novel Enzyme/Pro-Drug Gene Therapy Distant Bystander Effect to Target Prostate Cancer Metastasis","ZHANG, BING ","PC001041","DAMD17-01-1-0083","Institution: NEW SOUTH WALES, UNIVERSITY OF","PCRP","Postdoctoral Traineeship Award","Primary: Gene Therapy (Includes Vector Development)Secondary: Tumor Immunology","2000","$97,850.00"
"Multi-Modality Transurethral and Transvesicle Prostate Imaging for Diagnostics, Treatment Planning, and Therapy Monitoring","ASHBY, ANDREA ","PC001046","DAMD17-01-1-0066","Institution: LAWRENCE LIVERMORE NATIONAL LABORATORY","PCRP","New Investigator Award","Primary: UltrasonographySecondary: Digital Imaging","2000","$489,022.00"
"Dietary Methionine Restriction: Novel Treatment for Hormone-Independent Prostate Cancer","EPNER, DANIEL ","PC001052","DAMD17-01-1-0019","Institution: BAYLOR COLLEGE OF MEDICINE","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: PharmacologySecondary: Nutraceuticals","2000","$564,375.00"
"Modulation of T Cell Tolerance in a Murine Model for Immunotherapy of Prostatic Adenocarcinoma","HURWITZ, ARTHUR -","PC001053","DAMD17-01-1-0085","Performing Institution: NATIONAL CANCER INSTITUTEContracting Institution: T.R.U.E. RESEARCH FOUNDATION","PCRP","New Investigator Award","Primary: ImmunotherapiesSecondary: Tumor Immunology","2000","$337,562.00"
"Synthesis of Acetogenin Analogs as Potential Therapeutics for Treating Prostate Cancer","PAGENKOPF, BRIAN ","PC001059","DAMD17-01-1-0109","Institution: TEXAS, UNIVERSITY OF, AT AUSTIN","PCRP","New Investigator Award","Primary: Drug Development","2000","$335,689.00"
"Characterization of the HPCX Prostate Cancer Susceptibility Gene","BURK, ROBERT ","PC001076","DAMD17-01-1-0014","Institution: ALBERT EINSTEIN COLLEGE OF MEDICINE","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Familial and Hereditary DisordersSecondary: Gene and/or Environmental Epidemiology","2000","$626,971.00"
"A Genomic Approach to Identifying Novel Targets for Early Detection and Intervention of Prostate Cancer","LAM, WAN ","PC001078","DAMD17-01-1-0028","Institution: PROVINCIAL HEALTH SERVICES AUTHORITY","PCRP","New Investigator Award","Primary: Genomics and Proteomics","2000","$224,905.00"
"Endothelial Vehicles as a Novel Anti-Angiogenic Gene Therapy in Cancer of the Prostate","ARAFAT, WALEED ","PC001082","DAMD17-01-1-0012","Institution: ALABAMA, UNIVERSITY OF, AT BIRMINGHAM","PCRP","Postdoctoral Traineeship Award","Primary: AngiogenesisSecondary: Gene Therapy (Includes Vector Development)","2000","$83,095.62"
"Hierarchical Nonlinear Mixed Effect Modeling: Defining Post-Radiation Therapy Relapse in Prostate Cancer Patients","HANLON, ALEXANDRA ","PC001099","DAMD17-01-1-0056","Institution: FOX CHASE CANCER CENTER","PCRP","Postdoctoral Traineeship Award","Primary: Statistical ModelsSecondary: Clinical Biomarkers","2000","$99,800.00"
"Mechanism and Regulation of Gene Expression by Androgen Receptor in Prostate Cancer","WANG, ZHENGXIN ","PC001101","DAMD17-01-1-0097","Institution: M.D. ANDERSON CANCER CENTER, UNIVERSITY OF TEXAS","PCRP","New Investigator Award","Primary: Endocrine PathogenesisSecondary: Mechanism of Hormone Action","2000","$339,179.64"
"The Role of Stat3 Activation in Androgen Receptor Signaling and Prostate Cancer","GAO, ALLEN ","PC001104","DAMD17-01-1-0089","Institution: ROSWELL PARK CANCER INSTITUTE, BUFFALO","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Signal TransductionSecondary: Hormone Receptors","2000","$433,932.00"
"L-Plastin Expression and Its Role for Invasion and Metastasis in Prostate Carcinoma","ZHENG, JIANPING ","PC001108","DAMD17-01-1-0101","Institution: UNIVERSITY OF SOUTHERN CALIFORNIA","PCRP","New Investigator Award","Primary: Mechanism of Hormone ActionSecondary: Progression/ Invasion/ Metastasis","2000","$365,625.00"
"Studies of Prostate Tumor Development via Cre/LoxP Technology","CONTI, CLAUDIO ","PC001116","DAMD17-01-1-0068","Institution: M.D. ANDERSON CANCER CENTER, UNIVERSITY OF TEXAS","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Progression/ Invasion/ Metastasis","2000","$562,499.00"
"The Role of Chemokines in Prostate Cancer","LILLARD, JAMES ","PC001118","DAMD17-01-1-0079","Institution: MOREHOUSE SCHOOL OF MEDICINE, ATLANTA","PCRP","New Investigator Award","Primary: Growth Factors/Cytokines","2000","$334,022.00"
"Identification of Tumor-Associated Antigens and Development of DNA Vaccines for Prostate Cancer","YOUNG, CHARLES ","PC001122","DAMD17-01-1-0074","Institution: MAYO CLINIC","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: VaccinesSecondary: Molecular Immunology","2000","$517,736.00"
"The Role of Steroid Receptor Coactivators (SCRs) in the Development of Prostate Cancer","CHO, JANG H","PC001137","DAMD17-01-1-0020","Institution: BAYLOR COLLEGE OF MEDICINE","PCRP","Postdoctoral Traineeship Award","Primary: Mechanism of Hormone Action","2000","$97,766.00"
"The p202 Gene as a Tumor Suppressor in Prostate Cancer Cells","HUNG, MIEN- CHIE ","PC001138","DAMD17-01-1-0071","Institution: M.D. ANDERSON CANCER CENTER, UNIVERSITY OF TEXAS","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Functional Study of Biological MoleculesSecondary: Cell Cycle","2000","$455,679.00"
"Cell Motility in Tumor Invasion","WELLS, ALAN ","PC001142","DAMD17-01-1-0093","Institution: PITTSBURGH, UNIVERSITY OF","PCRP","Idea Development Award with nested HBCU/MI Traineeship","Primary: Cellular Structure","2000","$668,715.00"
"Intermittent Ultrasound Imaging of Prostate Cancer","HALPERN, ETHAN ","PC001147","DAMD17-01-1-0061","Institution: THOMAS JEFFERSON UNIVERSITY","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Ultrasonography","2000","$587,854.00"
"Evaluation of the Role of the Metastasis-Suppressor Gene MKK4/SEK1 in Transgenic Models of Prostate Cancer","RINKER-SCHAEFFER, CARRIE ","PC001149","DAMD17-01-1-0700","Institution: CHICAGO, UNIVERSITY OF","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Functional Study of Biological MoleculesSecondary: Signal Transduction","2000","$528,062.00"
"A New Pathway of Chemotherapy-Induced Apoptosis in a Prostate Cancer Cell Line","LAZEBNIK, YURI ","PC001156","DAMD17-01-1-0044","Institution: COLD SPRING HARBOR LABORATORY","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: ApoptosisSecondary: Signal Transduction","2000","$623,148.00"
"Screening and Functional Characterization of Protein Tyrosine Kinases Differentially Regulated in Human Prostate Cancer","WU, YI-MI ","PC001158","DAMD17-01-1-0063","Institution: CALIFORNIA, UNIVERSITY OF, DAVIS","PCRP","Postdoctoral Traineeship Award","Primary: Genomics and ProteomicsSecondary: Biomarkers","2000","$84,487.00"
"Adenoviral Gene Therapy Vectors Targeted to Prostate Cancer","VON SEGGERN, DANIEL ","PC001172","DAMD17-01-1-0098","Institution: SCRIPPS RESEARCH INSTITUTE","PCRP","New Investigator Award","Primary: Gene Therapy (Includes Vector Development)","2000","$395,739.00"
"Genetic Alteration of Metabolism and Tumorigenicity of Prostate Cancer Cells","FENG, PEI ","PC001174","DAMD17-01-1-0072","Institution: MARYLAND, UNIVERSITY OF, BALTIMORE","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Metabolism","2000","$554,048.00"
"Protease Profiling in Prostate Cancer","SMITH, JEFFREY ","PC001186","DAMD17-01-1-0031","Institution: SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE, LA JOLLA","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Genomics and ProteomicsSecondary: Biomarkers","2000","$730,629.00"
"Development and Validation of a Model of Prostate Cancer Screening in African-American Men","ODEDINA, FOLAKEMI ","PC001193","DAMD17-01-1-0055","Institution: FLORIDA A&M UNIVERSITY, TALLAHASSEE","PCRP","New Investigator Award","Primary: Basic Behavioral","2000","$318,608.00"
"G Protein Dependent Progression of Prostate Cancer","DAAKA, YEHIA ","PC001204","DAMD17-01-1-0053","Institution: DUKE UNIVERSITY MEDICAL CENTER","PCRP","New Investigator Award","Primary: Signal TransductionSecondary: Endocrine Pathogenesis","2000","$345,663.00"
"EphA2 Kinase Agonists as Novel Suppressors of Both Prostate Cancer Cell Motility and Growth: Structure-Function Relations and the Role of RAS/MAPK Pathway","WANG, BINGCHENG ","PC001209","DAMD17-99-1-9019","Institution: CASE WESTERN RESERVE UNIVERSITY","PCRP","Phase II New Investigator Award","Primary: Signal TransductionSecondary: Structural Chemistry","2000","$410,796.00"
"An Innovative Strategy for the Prevention and Treatment of Metastatic Prostate Cancer: Modified Tetracyclines as Chemotherapeutics II","LOKESHWAR, BALAKRISHNA ","PC001210","DAMD17-98-1-8526","Institution: MIAMI, UNIVERSITY OF, SCHOOL OF MEDICINE","PCRP","Phase II Idea Development Award","Primary: ChemotherapySecondary: Radiotherapy","2000","$1,083,392.00"
"Whole-Body Optical Imaging of Prostate Cancer Metastasis and Gene Expression","HOFFMAN, ROBERT ","PC001212","DAMD17-01-1-0016","Institution: ANTICANCER INCORPORATED","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Other ImagingSecondary: Animal Models","2000","$418,997.00"
"Enhanced Peptide Radiotherapy of Prostate Cancer Using Targeted Adenoviral Vectors","ROGERS, BUCK ","PC001216","DAMD17-01-1-0013","Institution: WASHINGTON UNIVERSITY","PCRP","New Investigator Award","Primary: RadiotherapySecondary: Gene Therapy (Includes Vector Development)","2000","$322,875.00"
"Development of Effective Immunotherapy for Prostate Cancer","FOX, BERNARD ","PC001228","DAMD17-01-1-0094","Institution: PROVIDENCE PORTLAND MEDICAL CENTER","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Tumor ImmunologySecondary: Gene Therapy (Includes Vector Development)","2000","$525,364.00"
"Endourethral MRI Guidance for Prostatic RF Ablation","ATALAR, ERGIN ","PC001229","DAMD17-01-1-0064","Institution: JOHNS HOPKINS UNIVERSITY","PCRP","New Investigator Award","Primary: Magnetic Resonance ImagingSecondary: Not Otherwise Specified","2000","$368,112.00"
"Prostate Cancer Metastases to Bone: Role of High Bone Turnover Induced by Androgen Deprivation","PADALECKI, SUSAN ","PC001237","DAMD17-01-1-0105","Institution: TEXAS, UNIVERSITY OF, HEALTH SCIENCE CENTER AT SAN ANTONIO","PCRP","Postdoctoral Traineeship Award","Primary: Animal ModelsSecondary: Endocrine Pathogenesis","2000","$97,966.00"
"Functional Analysis of p53 Acetylation in Prostate Tumor Suppression","YAO, TSO-PANG ","PC001243","DAMD17-01-1-0054","Institution: DUKE UNIVERSITY MEDICAL CENTER","PCRP","New Investigator Award","Primary: Tumor Suppresor GenesSecondary: Transcription, Translation and Modification","2000","$344,308.00"
"Neurotrophic Factors, Tyrosine Kinases, and Androgen Independence in PCA","MA, AI-HONG ","PC001247","DAMD17-01-1-0034","Institution: CALIFORNIA, UNIVERSITY OF, DAVIS","PCRP","Postdoctoral Traineeship Award","Primary: Mechanism of Hormone ActionSecondary: Signal Transduction","2000","$95,123.00"
"An Experimental System to Evaluate LOH in Prostate Cancer","STRAUSS, WILLIAM ","PC001263","DAMD17-99-1-9032","Institution: COLORADO, UNIVERSITY OF, BOULDER","PCRP","Phase II New Investigator Award","Primary: Animal ModelsSecondary: Genomic Instability","2000","$495,760.00"
"Role of IKKs and Transcription Factor NF-(kappa)B in Prostate Tumorigenesis","BUDUNOVA, IRINA ","PC001264","DAMD17-01-1-0015","Institution: NORTHWESTERN UNIVERSITY MEDICAL SCHOOL","PCRP","New Investigator Award","Primary: Signal TransductionSecondary: Apoptosis","2000","$380,155.00"
"Molecular Markers of Retinoid Action in Human Prostate","LI, RONG ","PC001265","DAMD17-01-1-0048","Institution: JOAN AND SANFORD I WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY","PCRP","Postdoctoral Traineeship Award","Primary: Genomics and ProteomicsSecondary: Biomarkers","2000","$97,570.00"
"Identification of Signaling Proteins That Modulate Androgen Receptor Activity","SONGYANG, ZHOU ","PC001266","DAMD17-01-1-0022","Institution: BAYLOR COLLEGE OF MEDICINE","PCRP","New Investigator Award","Primary: Signal TransductionSecondary: Hormone Receptors","2000","$361,125.00"
"Design, Synthesis, and Evaluation of Activated Doxorubicin Targeted to Advanced Prostate Cancer","KOCH, TAD ","PC001272","DAMD17-01-1-0046","Institution: COLORADO, UNIVERSITY OF, BOULDER","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Drug DevelopmentSecondary: Targeted Therapies","2000","$532,291.00"
"Aberrant Chromatin Modification as a Mechanism of Prostate Cancer Progression","CHEN, HONGWU ","PC001276","DAMD17-01-1-0033","Institution: CALIFORNIA, UNIVERSITY OF, DAVIS","PCRP","New Investigator Award","Primary: Chromosome StructureSecondary: Mechanism of Hormone Action","2000","$332,136.00"
"Genetic Variation in the HSD3B2 Gene and Prostate Cancer","REICHARDT, JUERGEN ","PC001280","DAMD17-01-1-0099","Institution: UNIVERSITY OF SOUTHERN CALIFORNIA","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Hormone MetabolismSecondary: Gene and/or Environmental Epidemiology","2000","$570,894.00"
"Development of Gene Therapy with TRAIL for Prostate","SONG, YOUNG ","PC001283","DAMD17-01-1-0092","Institution: PITTSBURGH, UNIVERSITY OF","PCRP","Postdoctoral Traineeship Award","Primary: Gene Therapy (Includes Vector Development)","2000","$97,932.00"
"Development of Immortalized and Tumorigenic Prostate Cell Lines of Defined Genetic Constitution","HAHN, WILLIAM ","PC001288","DAMD17-01-1-0049","Institution: DANA-FARBER CANCER INSTITUTE","PCRP","New Investigator Award","Primary: Stromal-Epithelial InteractionsSecondary: Cell Lines","2000","$385,563.00"
"Bone Mineral Density, Sex Steroid Genes, Race, and Prostate Cancer Risk","MODUGNO, FRANCESMARY ","PC001296","DAMD17-01-1-0091","Institution: PITTSBURGH, UNIVERSITY OF","PCRP","Idea Development Award without nested HBCU/MI Traineeship","Primary: Gene and/or Environmental EpidemiologySecondary: Endocrine Pathogenesis","2000","$560,495.00"
