"Proposal Title","Principal Investigator","Proposal Number","Award Number","Institution","Program","Mechanism","Research Topic","Fiscal Year","Award Amount"
"Growth Mechanisms of Schwann Cell Tumors in NF2","STEMMER RACHAMIMOV, ANAT O","NF000020","DAMD17-01-1-0716","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","New Investigator Award","Primary: Genomics and ProteomicsSecondary: Clinical Biomarkers","2000","$518,970.00"
"Neurofibroma Schwann Cell Gene Expression Analysis","RATNER, NANCY ","NF000022","DAMD17-01-1-0704","Institution: UNIVERSITY OF CINCINNATI","NFRP","Idea Award","Primary: Genomics and Proteomics","2000","$306,000.00"
"Role of Neurofibromin in Gliogenesis and Astrogliosis","RIZVI, TILAT A","NF000023","DAMD17-01-1-0705","Institution: UNIVERSITY OF CINCINNATI","NFRP","New Investigator Award","Primary: Cellular Development","2000","$457,600.00"
"Proton MR Spectroscopic Imaging in NF-1","BARKER, PETER B","NF000024","DAMD17-01-1-0713","Institution: JOHNS HOPKINS UNIVERSITY","NFRP","Investigator-Initiated Award w/o Nested Postdoc","Primary: Magnetic Resonance ImagingSecondary: Basic Behavioral","2000","$596,935.00"
"Structure-Function Relationships in Merlin, The Product of the NF2 Causal Gene","DEREWENDA, ZYGMUNT S","NF000025","DAMD17-01-1-0720","Institution: VIRGINIA, UNIVERSITY OF","NFRP","Investigator-Initiated Research with Optional Nested Post-doctoral Traineeship(s)","Primary: Functional Study of Biological MoleculesSecondary: Structural Chemistry","2000","$815,791.00"
"Regulation of Bone Homeostasis in a Mouse Model of Neurofibromatosis Type 1 (NF1)","HOCK, JANET M","NF000026","DAMD17-01-1-0712","Institution: INDIANA UNIVERSITY, INDIANAPOLIS","NFRP","Idea Award","Primary: Not Otherwise SpecifiedSecondary: Signal Transduction","2000","$296,451.00"
"A Phase ll Trial of the Farnesyltransferase Inhibitor R115777 in Pediatric Patients with Neurofibromatosis Type 1","WIDEMANN, BRIGITTE C","NF000027","1LCDN9M1152","Institution: NATIONAL INSTITUTES OF HEALTH","NFRP","Clinical Trial Award","Primary: PharmacologySecondary: Transcription, Translation and Modification","2000","$365,683.00"
"Therapeutic Effect of Targeted Hyaluronan Binding Peptide on Neurofibromatosis","UNDERHILL, CHARLES ","NF000029","DAMD17-01-1-0708","Institution: GEORGETOWN UNIVERSITY","NFRP","New Investigator Award","Primary: Drug DevelopmentSecondary: Apoptosis","2000","$465,531.00"
"Novel Signaling Pathways for the NF1 Gene","FIELD, JEFFREY M","NF000032","DAMD17-01-1-0719","Institution: PENNSYLVANIA, UNIVERSITY OF","NFRP","Investigator-Initiated Award w/o Nested Postdoc","Primary: Signal Transduction","2000","$884,370.00"
"Biochemical and Phenotypic Effects of Heterozygous Inactivation of N(f)1 in Mast Cells","CLAPP, DAVID W","NF000035","DAMD17-01-1-0711","Institution: INDIANA UNIVERSITY, INDIANAPOLIS","NFRP","Investigator-Initiated Research with Optional Nested Post-doctoral Traineeship(s)","Primary: Signal Transduction","2000","$641,885.00"
"Development of Mouse Models of NF2-Associated Meningioma: The Role of Nf2 and Protein 4.1B Gene Mutations in Meningioma Tumorigenesis","GIOVANNINI, MARCO ","NF010016","DAMD17-02-1-0645","Institution: INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM), MONTPELLIER","NFRP","Investigator-Initiated Award w/o Nested Postdoc","Primary: Animal Models","2001","$785,230.00"
"CD44-related Function of Merlin, the Gene Product of the Neurofibromatosis Type 2 (NF2)","YU, QIN ","NF010022","DAMD17-02-1-0650","Institution: PENNSYLVANIA, UNIVERSITY OF","NFRP","New Investigator Award","Primary: Cellular StructureSecondary: Progression/ Invasion/ Metastasis","2001","$475,500.00"
"Phase I and Phase II Studies of Pirfenidone in Children with Neurofibromatosis Type 1 and Progressive Plexiform Neurofibromas","PACKER, ROGER J","NF010042","DAMD17-02-1-0641","Institution: CHILDREN'S NATIONAL MEDICAL CENTER","NFRP","Clinical Trial Award","Primary: PharmacologySecondary: Chemotherapy","2001","$1,460,142.00"
"Post Transcriptional Regulation of the Neurofibromatosis 2 Gene","CHANG, LONG-SHENG ","NF010051","DAMD17-02-1-0680","Institution: CHILDREN'S HOSPITAL, COLUMBUS","NFRP","Investigator-Initiated Award w/o Nested Postdoc","Primary: Transcription, Translation and ModificationSecondary: Tumor Suppresor Genes","2001","$697,557.00"
"Driving Neurofibroma Formation in Mice","RATNER, NANCY -","NF010054","DAMD17-02-1-0679","Institution: CHILDREN'S HOSPITAL, CINCINNATI","NFRP","Investigator-Initiated Award w/o Nested Postdoc","Primary: Animal ModelsSecondary: Functional Study of Biological Molecules","2001","$706,506.00"
"Therapy of Experimental Nerve Sheath Tumors Using Oncolytic Viruses","RABKIN, SAMUEL D","NF010057","DAMD17-02-1-0648","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Therapeutic Development Award","Primary: Not Otherwise SpecifiedSecondary: Immunotherapies","2001","$781,749.00"
"Neurofibromin and Neuronal Apoptosis","VOGEL, KRISTINE S","NF010059","DAMD17-02-1-0653","Institution: TEXAS, UNIVERSITY OF, HEALTH SCIENCE CENTER AT SAN ANTONIO","NFRP","Idea Award","Primary: ApoptosisSecondary: Signal Transduction","2001","$331,575.00"
"Health-Related Quality of Life for Pediatric NF1 Patients","BRADLYN, ANDREW S","NF010064","DAMD17-02-1-0654","Institution: WEST VIRGINIA UNIVERSITY","NFRP","Idea Award","Primary: Survey / Instrument Development and ValidationSecondary: Quality of Life","2001","$427,504.00"
"Whole Genome Analysis of Gene Expression Changes Caused by NF2/Merlin Mutations","HAASE, STEVEN B","NF010070","DAMD17-02-1-0644","Institution: DUKE UNIVERSITY","NFRP","Idea Award","Primary: Genomics and Proteomics","2001","$462,367.00"
"Preclinical Mouse Models of Neurofibromatosis","SHANNON, KEVIN M","NF010093","DAMD17-02-1-0638","Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCO","NFRP","Therapeutic Development Award","Primary: Animal Models","2001","$4,169,173.00"
"Chromosomal Changes in NF Tumors by CGH Array Analysis","GUSELLA, JAMES F","NF010096","DAMD17-02-1-0646","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Idea Award","Primary: Genomics and ProteomicsSecondary: Genomic Instability","2001","$519,000.00"
"Role of a Novel Merlin-Specific Interacting Protein in NF2","GUSELLA, JAMES F","NF010097","DAMD17-02-1-0647","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Investigator-Initiated Award w/o Nested Postdoc","Primary: Functional Study of Biological MoleculesSecondary: Animal Models","2001","$1,191,027.00"
"Signaling Pathways Controlling the Growth and Proliferation of Drosophila Perineural Glial Cells","STERN, MICHAEL ","NF010100","DAMD17-02-1-0651","Institution: RICE UNIVERSITY","NFRP","Idea Award","Primary: Signal Transduction","2001","$437,298.00"
"NF1-Dependent Gene Regulation in Drosophila Melanogaster","ZHONG, YI ","NF010111","DAMD17-02-1-0643","Institution: COLD SPRING HARBOR LABORATORY","NFRP","Idea Award","Primary: Genomics and ProteomicsSecondary: Biomarkers","2001","$332,000.00"
"Modulation of Ras Signaling by NF1 and CRKL in Development","IMAMOTO, AKIRA ","NF010112","DAMD17-02-1-0639","Institution: CHICAGO, UNIVERSITY OF","NFRP","Idea Award","Primary: Signal TransductionSecondary: Cellular Development","2001","$452,966.00"
"Characterization of Cytoplasmic Merlin and Molecular Mechanisms Underlying Its Translocation to the Plasma Membrane","LAMBERT, STEPHEN ","NF010126","DAMD17-02-1-0649","Institution: MASSACHUSETTS, UNIVERSITY OF, MEDICAL CENTER","NFRP","New Investigator Award","Primary: Genomics and ProteomicsSecondary: Functional Study of Biological Molecules","2001","$475,876.00"
"The Role of RASGRF1 in Neurofibromatosis-Validating a Potential Therapeutic Target","SOLOWAY, PAUL D","NF010130","DAMD17-02-1-0652","Institution: ROSWELL PARK CANCER INSTITUTE, BUFFALO","NFRP","Idea Award","Primary: Functional Study of Biological MoleculesSecondary: Not Otherwise Specified","2001","$510,165.00"
"Biological Basis of Neurodevelopmental Deficits in NF: Insights Through Expression Profiling","HOFFMAN, ERIC P,","NF010138","DAMD17-02-1-0642","Institution: CHILDREN'S NATIONAL MEDICAL CENTER","NFRP","New Investigator Award","Primary: Genomics and ProteomicsSecondary: Functional Study of Biological Molecules","2001","$449,919.00"
"Molecular and Cellular Mechanisms Underlying the Learning Deficits Associated with NF1","SILVA, ALCINO J","NF010144","DAMD17-02-1-0637","Institution: CALIFORNIA, UNIVERSITY OF, LOS ANGELES","NFRP","Investigator-Initiated Award w/o Nested Postdoc","Primary: Signal TransductionSecondary: Electrophysiology","2001","$389,575.78"
"Transcriptional Regulation of the Neurofibromatosis Type 1 Gene","CHONG, JAYHONG A","NF010149","DAMD17-02-1-0640","Institution: CHILDREN'S HOSPITAL, BOSTON","NFRP","New Investigator Award","Primary: Signal TransductionSecondary: Transcription, Translation and Modification","2001","$119,785.19"
"Modeling NF1-Associated Astrocytomas In Vitro and In Vivo","GUTMANN, DAVID ","NF020005","DAMD17-03-1-0215","Institution: WASHINGTON UNIVERSITY","NFRP","Investigator-Initiated Research with Optional Nested Post-doctoral Traineeship(s)","Primary: Tumor Suppresor Genes","2002","$1,448,199.00"
"Genomic and Expression Profiling of Benign and Malignant Nerve Sheath
Tumors in Neurofibromatosis Patients","VAN DE RIJN, MATT J","NF020008","DAMD17-03-1-0297","Institution: LELAND STANFORD JUNIOR UNIVERSITY, THE","NFRP","Investigator-Initiated Research with Optional Nested Post-doctoral Traineeship(s)","Primary: Genomics and ProteomicsSecondary: Biomarkers","2002","$1,472,013.00"
"Neurofibromatosis 2 Tumor Suppressor, Merlin, Inhibits PIKE/PI 3-Kinase
Signaling","YE, KEQIANG ","NF020013","DAMD17-03-1-0316","Institution: EMORY UNIVERSITY","NFRP","New Investigator Award","Primary: Signal TransductionSecondary: Tumor Suppresor Genes","2002","$554,180.00"
"Molecular Identification of the Schwannomatosis Locus","MACCOLLIN, MIA ","NF020015","DAMD17-03-1-0445","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Investigator-Initiated Research with Optional Nested Post-doctoral Traineeship(s)","Primary: Genomic Instability","2002","$1,288,434.00"
"The Role of Schwann Cell-Mast Cell Interactions in Neurofibroma
Formation","CLAPP, DAVID W","NF020026","DAMD17-03-1-0216","Institution: INDIANA UNIVERSITY, INDIANAPOLIS","NFRP","Investigator-Initiated Research with Optional Nested Post-doctoral Traineeship(s)","Primary: Tumor Suppresor GenesSecondary: Signal Transduction","2002","$3,038,845.00"
"Growth Factor Actions on Nf1 Haploinsufficient Sensory Neurons","HINGTGEN, CYNTHIA M","NF020029","DAMD17-03-1-0227","Institution: INDIANA UNIVERSITY, INDIANAPOLIS","NFRP","New Investigator Award","Primary: Growth Factors/Cytokines","2002","$658,651.00"
"Investigating the Regulation and Function of the NF1 Tumor Suppressor","CICHOWSKI, KAREN -","NF020033","DAMD17-03-1-0350","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","NFRP","New Investigator Award","Primary: Signal TransductionSecondary: Functional Study of Biological Molecules","2002","$778,020.00"
"Studies of Neurofibromatosis-1 Modifier Genes","BERNARDS, ANDRE ","NF020035","DAMD17-03-1-0438","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Investigator-Initiated Research with Optional Nested Post-doctoral Traineeship(s)","Primary: Genomics and ProteomicsSecondary: Biomarkers","2002","$1,416,876.00"
"Merlin, Lipid Rafts and Growth Regulation","IP, WALLACE S","NF020037","DAMD17-03-1-0351","Institution: UNIVERSITY OF CINCINNATI","NFRP","Idea Award","Primary: Cellular StructureSecondary: Signal Transduction","2002","$690,750.00"
"Clinical and Molecular Consequences of NF1 Microdeletion","STEPHENS, KAREN G","NF020040","DAMD17-03-1-0203","Institution: WASHINGTON, UNIVERSITY OF","NFRP","Investigator-Initiated Research with Optional Nested Post-doctoral Traineeship(s)","Primary: Genomics and Proteomics","2002","$1,511,266.00"
"Role of Schwannomin and Paxillin in Cell Growth Control","FERNANDEZ-VALLE, CRISTINA M","NF020042","DAMD17-03-1-0211","Institution: CENTRAL FLORIDA, UNIVERSITY OF","NFRP","Investigator-Initiated Research with Optional Nested Post-doctoral Traineeship(s)","Primary: Signal TransductionSecondary: Functional Study of Biological Molecules","2002","$926,698.00"
"Role of Paxillin in Merlin Function","THOMAS, SHEILA ","NF020045","DAMD17-03-1-0171","Institution: BETH ISRAEL DEACONESS MEDICAL CENTER, BOSTON","NFRP","New Investigator Award","Primary: Signal TransductionSecondary: Cellular Structure","2002","$680,241.30"
"Identification of Functions of Neurofibromin Distinct from the RasGAP
Domain","MCCORMICK, FRANK ","NF020046","DAMD17-03-1-0170","Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCO","NFRP","Idea Award","Primary: Signal Transduction","2002","$670,831.00"
"Therapeutic Approaches to the N-Ras Pathway in Type I
Neurofibromatosis","MATTINGLY, RAYMOND ","NF020054","DAMD17-03-1-0182","Institution: WAYNE STATE UNIVERSITY","NFRP","Idea Award","Primary: Signal TransductionSecondary: Drug Development","2002","$637,586.00"
"Neurofibromatosis as a Bone Dysplasia ? Analyzing the Role of Neurofibromin in Maintenance and Development of the Skeleton","MUNDLOS, STEFAN ","NF020061","DAMD17-03-1-0183","Institution: MAX-PLANCK-INSTITUTE FOR MOLECULAR GENETICS","NFRP","Idea Award","Primary: Functional Study of Biological MoleculesSecondary: Transcription, Translation and Modification","2002","$405,172.00"
"Angiogenesis and Therapeutic Approaches to NF1 Tumors","MUIR, DAVID F","NF020064","DAMD17-03-1-0224","Institution: FLORIDA, UNIVERSITY OF","NFRP","Investigator-Initiated Research with Optional Nested Post-doctoral Traineeship(s)","Primary: Anti-angiogenicsSecondary: Angiogenesis","2002","$1,548,903.00"
"Nonsense Suppression as a Novel Therapy for Neurofibromatosis Type 1","FRIESEN, WESTLEY J","NF020086","DAMD17-03-1-0386","Institution: PTC THERAPEUTICS, INC.","NFRP","Therapeutic Development Award","Primary: Drug Development","2002","$614,740.00"
"Biochemical Characterization of Native Schwannomin/Merlin","CHISHTI, ATHAR H","NF020087","DAMD17-03-1-0647","Institution: ILLINOIS, UNIVERSITY OF, AT CHICAGO","NFRP","Career Development Award","Primary: Functional Study of Biological MoleculesSecondary: Cellular Structure","2002","$216,000.00"
"Control of Growth Within Drosophila Peripheral Nerves by Ras and Protein Kinase A","STERN, MICHAEL ","NF030006","W81XWH-04-1-0272","Institution: RICE UNIVERSITY","NFRP","Investigator-Initiated Research Award","Primary: Signal Transduction","2003","$1,209,480.79"
"Identification of the NF2 Phenotype Modifying Gene(s) and Detailed Functional Characterization of the NF2 Locus","DUMANSKI, JAN P","NF030008","W81XWH-04-1-0269","Institution: UPPSALA UNIVERSITY","NFRP","Investigator-Initiated Research Award","Primary: Genomics and Proteomics","2003","$1,820,393.00"
"Drug Treatments Targeting Active Ras: A Novel Class of Ras Inhibitors as a Potential Therapeutic Approach for Neurofibromatosis Type 1","KLOOG, YOEL ","NF030009","W81XWH-04-1-0207","Institution: TEL AVIV UNIVERSITY","NFRP","Therapeutic Development Award","Primary: ChemotherapySecondary: Pharmacology","2003","$599,773.00"
"Therapeutic targets for neurofibromas: identification by cross-species gene expression analysis","RATNER, NANCY -","NF030010","W81XWH-04-1-0273","Institution: CHILDREN'S HOSPITAL, CINCINNATI","NFRP","Investigator-Initiated Research Award","Primary: Genomics and Proteomics","2003","$3,867,779.00"
"Notch Signaling and Schwann Cell Transformation: Development of a Model System and Application to Human MPNSTs","KADESCH, TOM R","NF030012","W81XWH-04-1-0209","Performing Institution: PENNSYLVANIA, UNIVERSITY OF, SCHOOL OF MEDICINEContracting Institution: PENNSYLVANIA, UNIVERSITY OF","NFRP","Investigator-Initiated Research Award","Primary: Signal Transduction","2003","$976,981.00"
"Early Identification of Cognitive Deficits in Children with Neurofibromatosis Type 1","NORTH, KATHRYN N","NF030015","W81XWH-04-1-0510","Performing Institution: CHILDREN'S HOSPITAL AT WESTMEADContracting Institution: CHILDREN'S HOSPITAL, WESTMEAD","NFRP","Investigator-Initiated Research Award","Primary: Basic BehavioralSecondary: Behavioral Epidemiology","2004","$1,101,272.00"
"Functional Analysis of Protein 4.1 Tumor Suppressors","GUTMANN, DAVID ","NF030020","W81XWH-04-1-0266","Institution: WASHINGTON UNIVERSITY","NFRP","Investigator-Initiated Research Award","Primary: Tumor Suppresor Genes","2003","$1,183,129.00"
"A Prospective, Randomized Clinical Trial of Celecoxib for the Control of Symptomatic Plexiform Neurofibroma in Neurofibromatosis 1","GUSELLA, JAMES ","NF030032","W81XWH-04-1-0119","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Clinical Trial Development Award","Primary: Centers, Clinical Centers, or ConsortiaSecondary: Chemotherapy","2003","$150,000.00"
"HSV Vector Therapy for NF2 Lesions in Mouse Models","MARTUZA, ROBERT L","NF030039","W81XWH-04-1-0237","Performing Institution: HARVARD UNIVERSITY, BOSTONContracting Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Therapeutic Development Award","Primary: Gene Therapy (Includes Vector Development)Secondary: Animal Models","2003","$2,647,746.00"
"Functional Analysis of Drosophila NF1","BERNARDS, ANDRE ","NF030056","W81XWH-04-1-0238","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Investigator-Initiated Research Award","Primary: Signal Transduction","2003","$1,419,553.00"
"Functional Analysis of Human NF1 by Expression in Drosophila melanogaster","HANNAN, FRANCES -","NF030058","W81XWH-04-1-0258","Institution: NEW YORK MEDICAL COLLEGE","NFRP","New Investigator Award","Primary: Signal Transduction","2003","$681,435.00"
"A Functional Genomic Analysis of NF1-Associated Learning Disabilities","TANG, SHAO-JUN ","NF030063","W81XWH-04-1-0261","Institution: CALIFORNIA, UNIVERSITY OF, IRVINE","NFRP","New Investigator Award","Primary: Genomics and Proteomics","2003","$666,174.31"
"The Role of Drosophila Merlin in the Control of Mitosis Exit and Development","CHANG, LONG-SHENG ","NF030070","W81XWH-04-1-0509","Performing Institution: CHILDREN'S HOSPITAL, COLUMBUSContracting Institution: RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL","NFRP","Idea Award","Primary: Cell CycleSecondary: Tumor Suppresor Genes","2004","$636,452.00"
"Malignant Peripheral Nerve Sheath Tumors in Neurofibromatosis Type 1: A Multicenter Project with 3 Clinical Trials","VISKOCHIL, DAVID H","NF030073","W81XWH-04-1-0502","Institution: UTAH, UNIVERSITY OF","NFRP","Clinical Trial Development Award","Primary: Centers, Clinical Centers, or Consortia","2003","$112,445.12"
"Novel Gbeta Mimic Kelch Proteins Gpb1 and Gpb2 Connect G-Protein Signaling to Ras via Yeast Neurofibromin Homologs Ira1 and Ira2: A Model for Human NF1","HEITMAN, JOSEPH -","NF030078","W81XWH-04-1-0208","Institution: DUKE UNIVERSITY","NFRP","Idea Award","Primary: Signal TransductionSecondary: Functional Study of Biological Molecules","2003","$692,998.49"
"The Role of the Neurofibromin-Syndecan-CASK Complex in the Regulation of Synaptic Ras-MAPK Signaling and Dendritic Spine Plasticity","WU, GANG-YI ","NF030086","W81XWH-04-1-0260","Institution: BAYLOR COLLEGE OF MEDICINE","NFRP","New Investigator Award","Primary: Functional Study of Biological MoleculesSecondary: Signal Transduction","2003","$677,250.00"
"Novel Molecular Interactions and Biological Functions of the Neurofibromatosis 2 Tumor Suppressor Protein, Merlin","CARPEN, OLLI ","NF043008","W81XWH-05-1-0469","Institution: HELSINKI, UNIVERSITY OF","NFRP","Investigator-Initiated Research Award","Primary: Tumor Suppresor GenesSecondary: Signal Transduction","2004","$630,000.00"
"Mouse Models of Hrs-Nf2 Interaction","PULST, STEFAN M","NF043015","W81XWH-05-1-0188","Institution: UTAH, UNIVERSITY OF","NFRP","Investigator-Initiated Research Award","Primary: Animal Models","2004","$1,035,244.00"
"Function of Neurofibromin in Endothelial Cells","INGRAM, DAVID A","NF043019","W81XWH-05-1-0185","Institution: INDIANA UNIVERSITY, INDIANAPOLIS","NFRP","New Investigator Award","Primary: AngiogenesisSecondary: Signal Transduction","2004","$677,250.00"
"Identification of the Biochemical Mechanisms Underlying the Pathological Increase in de novo Cytokine Production in Murine Nf1+/- and Human NF1 Mast Cells","YANG, FENG-CHUN ","NF043032","W81XWH-05-1-0161","Institution: INDIANA UNIVERSITY, INDIANAPOLIS","NFRP","New Investigator Award","Primary: Growth Factors/Cytokines","2004","$673,296.55"
"High Throughput Screening for Allosteric, Chemical Inhibitors of Pak1","PETERSON, JEFFREY R","NF043037","W81XWH-05-1-0200","Institution: FOX CHASE CANCER CENTER","NFRP","New Investigator Award","Primary: Drug DevelopmentSecondary: Chemotherapy","2004","$500,000.00"
"Function of Merlin in the controlling the membrane distribution of and signaling from growth factor receptors.","MCCLATCHEY, ANDREA I","NF043040","W81XWH-05-1-0189","Institution: MASSACHUSETTS GENERAL HOSPITAL","NFRP","Investigator-Initiated Research Award","Primary: Functional Study of Biological MoleculesSecondary: Cellular Structure","2004","$830,034.00"
"Regulation of Merlin Function","IP, WALLACE S","NF043043","W81XWH-05-1-0230","Institution: UNIVERSITY OF CINCINNATI","NFRP","Investigator-Initiated Research Award","Primary: Signal TransductionSecondary: Functional Study of Biological Molecules","2004","$1,446,167.00"
"Preclinical Mouse Models of Neurofibromatosis","SHANNON, KEVIN M","NF043050","W81XWH-05-1-0265","Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCO","NFRP","Investigator-Initiated Research Award","Primary: Animal Models","2004","$4,501,783.00"
"c-met Induction in the Hippocampus of NF1-null Mice","SHERMAN, LARRY S","NF043061","W81XWH-05-1-0196","Institution: OREGON HEALTH AND SCIENCE UNIVERSITY","NFRP","Concept Award","Primary: BiomarkersSecondary: Oncogenes","2004","$100,000.00"
"Elucidating the Role of Phosphorylation in NF1 Tumor Suppressor Function","CICHOWSKI, KAREN M","NF043064","W81XWH-05-1-0190","Institution: BRIGHAM AND WOMEN'S HOSPITAL, INC.","NFRP","Investigator-Initiated Research Award","Primary: Tumor Suppresor GenesSecondary: Functional Study of Biological Molecules","2004","$799,983.00"
"Protein Kinase A and Its Role as a Mediator of Both NF1 and NF2-Associated Schwann Cell Tumorigenesis","KIRSCHNER, LAWRENCE S","NF043067","W81XWH-05-1-0141","Institution: OHIO STATE UNIVERSITY, THE","NFRP","Concept Award","Primary: Signal TransductionSecondary: Genomic Instability","2004","$96,287.48"
"An Essential Function of the N-Terminus of Ira/Neurofibromin","DING, VIVIANNE ","NF043070","W81XWH-05-1-0169","Institution: CALIFORNIA, UNIVERSITY OF, SAN FRANCISCO","NFRP","Concept Award","Primary: Functional Study of Biological Molecules","2004","$99,995.00"
"Potassium Channels in Neurofibromatosis-1","CHEN, MINGKUI ","NF043080","W81XWH-05-1-0168","Performing Institution: MARYLAND, UNIVERSITY OF, SCHOOL OF MEDICINEContracting Institution: MARYLAND, UNIVERSITY OF, BALTIMORE","NFRP","Concept Award","Primary: Electrophysiology","2004","$100,000.00"
"Merlin Exerts Its Tumor Suppressor Function by Inhibiting the Intracellular Cleavage of E-Cadherin","YU, QIN ","NF043084","W81XWH-05-1-0191","Institution: PENNSYLVANIA, UNIVERSITY OF","NFRP","Concept Award","Primary: Functional Study of Biological MoleculesSecondary: Tumor Suppresor Genes","2004","$100,000.00"
"Functional Analysis of Human NF1 in Drosophila","ZHONG, YI ","NF043090","W81XWH-05-1-0142","Institution: COLD SPRING HARBOR LABORATORY","NFRP","Investigator-Initiated Research Award","Primary: Signal TransductionSecondary: Animal Models","2004","$1,338,044.00"
"Large-scale Isolation of Full-length Neurofibromin from the Fruit Fly Drosophila Melanogaster","SCHEFFZEK, KLAUS ","NF043102","W81XWH-05-1-0162","Institution: EUROPEAN MOLECULAR LABORATORY","NFRP","Concept Award","Primary: Structural ChemistrySecondary: Not Otherwise Specified","2004","$99,315.76"
"Development of a Zebrafish Model of NF1","SCHMALE, MICHAEL C","NF043103","W81XWH-05-1-0192","Institution: MIAMI, UNIVERSITY OF, ROSENSTIEL SCHOOL OF MARINE AND ATMOSPHERIC SCIENCE","NFRP","Concept Award","Primary: Animal Models","2004","$99,164.18"
"Does Subcellular Re-localization Control Neurofibromin Function?","MATTINGLY, RAYMOND R","NF043107","W81XWH-05-1-0193","Institution: WAYNE STATE UNIVERSITY","NFRP","Concept Award","Primary: Cell LinesSecondary: Functional Study of Biological Molecules","2004","$99,660.82"
"Identification of Surrogate Serum Markers for Tumors in NF-1","KURTZ, ANDREAS C","NF043115","W81XWH-05-1-0201","Institution: CHARITE UNIVERSITY HOSPITAL","NFRP","Investigator-Initiated Research Award","Primary: Genomics and ProteomicsSecondary: Clinical Biomarkers","2004","$586,743.00"
