"Proposal Title","Principal Investigator","Proposal Number","Award Number","Institution","Program","Mechanism","Research Topic","Fiscal Year","Award Amount"
"Targeting Musculoskeletal Regeneration by Hypoxic Recruitment of Mesenchymal Stem Cells","HAUSCHKA, PETER V","OR090192","W81XWH-10-1-0760","Institution: CHILDREN'S HOSPITAL, BOSTON","PRORP","Idea Development Award","Primary: Targeted TherapiesSecondary: Functional Study of Biological Molecules","2009","$692,030.00"
"Notch Signaling in Bone Regeneration","HANKENSON, KURT D","OR090203","W81XWH-10-1-0825","Institution: PENNSYLVANIA, UNIVERSITY OF","PRORP","Translational Research Partnership Award","Primary: Growth Factors/CytokinesSecondary: Not Otherwise Specified","2009","$600,000.00"
"Notch Signaling in Bone Regeneration","MEHTA, SAMIR ","OR090203P1","W81XWH-10-1-0826","Institution: PENNSYLVANIA, UNIVERSITY OF","PRORP","Translational Research Partnership Award","Primary: Growth Factors/CytokinesSecondary: Not Otherwise Specified","2009","$359,993.07"
"Notch Signaling in Bone Regeneration","BURDICK, JASON A","OR090203P2","W81XWH-10-1-0827","Institution: PENNSYLVANIA, UNIVERSITY OF","PRORP","Translational Research Partnership Award","Primary: Growth Factors/CytokinesSecondary: Not Otherwise Specified","2009","$240,000.00"
"Promoting Angiogenesis in Contaminated Open Fractures","GILBERT, SHAWN R","OR090206","W81XWH-10-1-0725","Institution: ALABAMA, UNIVERSITY OF, AT BIRMINGHAM","PRORP","Idea Development Award","Primary: AngiogenesisSecondary: Injury","2009","$472,935.69"
"Novel Therapy to Reduce Infection after Operative Treatment of Fractures at High Risk of Infection: A Multicenter Randomized, Controlled Trial","O'TOOLE, ROBERT V","OR090221","W81XWH-10-2-0134","Institution: MARYLAND, UNIVERSITY OF, BALTIMORE","PRORP","Clinical Trial Award","Primary: Device DevelopmentSecondary: Surgery","2009","$2,447,136.00"
"Development of siRNA Technology to Prevent Scar Formation in Tendon Repair","O'KEEFE, REGIS J","OR090244","W81XWH-10-1-0841","Institution: ROCHESTER, UNIVERSITY OF","PRORP","Idea Development Award","Primary: Translation and ModificationSecondary: Growth Factors/Cytokines","2009","$590,960.01"
"Photodynamic Therapy Treatment to Enhance Fracture Healing","AKENS, MARGARETE K","OR090260","W81XWH-10-1-0997","Institution: SUNNYBROOK HEALTH SCIENCES CENTRE","PRORP","Hypothesis Development Award","Primary: Photodynamic Therapy","2009","$99,664.85"
"Modulating Wnt Signaling Pathway to Enhance Allograft Integration in Orthopaedic Trauma Treatment","VIRDI, AMARJIT S","OR090261","W81XWH-10-1-1054","Institution: RUSH UNIVERSITY MEDICAL CENTER","PRORP","Idea Development Award","Primary: Targeted TherapiesSecondary: Signal Transduction","2009","$597,966.00"
"Improving Joint Function Using Photochemical Hydrogels for Articular Surface Repair","RANDOLPH, MARK A","OR090275","W81XWH-10-1-0791","Performing Institution: MASSACHUSETTS GENERAL HOSPITAL","PRORP","Technology Development Award","Primary: Photodynamic TherapySecondary: Surgery","2009","$3,014,699.00"
"Heterotopic Ossification Following Extremity Blast Amputation: An Animal Model in the Sprague Dawley Rat","PELLEGRINI, VINCENT D","OR090278","W81XWH-10-1-0975","Institution: MEDICAL UNIVERSITY OF SOUTH CAROLINA","PRORP","Idea Development Award","Primary: Targeted Therapies","2009","$598,022.00"
"Harnessing Autologous Stem Cells to Reconstruct Skeletal Muscle with Innervation Potential","ALLEN, MARGARET D","OR090306","W81XWH-10-1-0789","Institution: BENAROYA RESEARCH INSTITUTE AT VIRGINIA MASON","PRORP","Idea Development Award","Primary: Surgery","2009","$719,599.00"
"A Clinically Realistic Large Animal Model of Intra-Articular Fracture","GOETZ, JESSICA E","OR090331","W81XWH-10-1-0864","Institution: IOWA, UNIVERSITY OF","PRORP","Technology Development Award","Primary: Animal Models","2009","$1,344,406.74"
"High-Performance Prosthetic Socket with Proprioceptive Haptic Feedback and Prognostic Pressure Monitor","WHEELER, JASON ","OR090333","MIPR0LDATM0147","Institution: SANDIA NATIONAL LABORATORIES","PRORP","Technology Development Award","Primary: RehabilitationSecondary: Personalized Therapy","2009","$2,158,382.00"
"Treatment of Early Post-Op Wound Infection after Internal Fixation","OBREMSKEY, WILLIAM T","OR090346","W81XWH-10-2-0133","Institution: VANDERBILT UNIVERSITY MEDICAL CENTER","PRORP","Clinical Trial Award","Primary: PharmacologySecondary: Centers, Clinical Centers, or Consortia","2009","$2,972,205.00"
"Improved Socket Performance and Fit for Transfemoral Amputees","FAHEEM, FAHEEM ","OR090365","W81XWH-10-1-0902","Institution: QINETIQ INC.","PRORP","Technology Development Award","Primary: RehabilitationSecondary: Survey / Instrument Development and Validation","2009","$1,671,738.00"
"Accelerating Treatment for Orthopaedic Trauma Wounds","POTTER, BENJAMIN K","OR090373","W81XWH-10-2-0096","Performing Institution: WALTER REED ARMY MEDICAL CENTERContracting Institution: HENRY M. JACKSON FOUNDATION","PRORP","Clinical Trial Award","Primary: PharmacologySecondary: Nanotechnology","2009","$138,342.16"
"Enhanced Soft Tissue Attachment and Fixation Using a Mechanically Stimulated Cytoselective Tissue-Specific ECM Coating","HAGGARD, WARREN O","OR090447","W81XWH-10-1-0768","Institution: MEMPHIS, UNIVERSITY OF","PRORP","Hypothesis Development Award","Primary: Targeted Therapies","2009","$133,731.03"
"Inhibition of Orthopaedic Implant Infections by Immunomodulatory Effects of Host Defense Peptides","GREENFIELD, EDWARD M","OR090451","W81XWH-10-1-0872","Institution: CASE WESTERN RESERVE UNIVERSITY","PRORP","Idea Development Award","Primary: Targeted Therapies","2009","$606,793.00"
"Novel Bioactive Coatings to Improve Allograft Incorporation","CUI, QUANJUN ","OR090467","W81XWH-10-1-0928","Institution: VIRGINIA, UNIVERSITY OF","PRORP","Idea Development Award","Primary: Animal ModelsSecondary: Targeted Therapies","2009","$577,310.71"
"Enhanced Healing of Segmental Bone Defects by Modulation of the Mechanical Environment","EVANS, CHRISTOPHER H","OR090468","W81XWH-10-1-0888","Institution: BETH ISRAEL DEACONESS MEDICAL CENTER, BOSTON","PRORP","Idea Development Award","Primary: SurgerySecondary: Pharmacology","2009","$695,824.00"
"Virtual Stress Test of Healing Fractures","NESTI, LEON ","OR090474","W81XWH-10-2-0079","Performing Institution: WALTER REED NATIONAL MILITARY MEDICAL CENTERContracting Institution: HENRY M. JACKSON FOUNDATION","PRORP","Translational Research Partnership Award","Primary: Computer-aided DiagnosisSecondary: X-ray Imaging","2009","$104,702.04"
"Virtual Stress Test of Healing Fractures","KOPPERDAHL, DAVID ","OR090474P1","W81XWH-10-1-0896","Institution: O.N. DIAGNOSTICS, LLC.","PRORP","Translational Research Partnership Award","Primary: Computer-aided DiagnosisSecondary: X-ray Imaging","2009","$910,012.00"
"NMP-Potentiated BMP-2 Presentation for Enhancing Bone Formation with Adipose Stem Cells","LEACH, KENT ","OR090488","W81XWH-10-1-0956","Institution: CALIFORNIA, UNIVERSITY OF, DAVIS","PRORP","Idea Development Award","Primary: Stem Cell TherapySecondary: Pharmacology","2009","$599,498.00"
"Development of a Novel Translational Model of Vibration Injury to the Spine to Study Acute Injury in Vivo","WINKELSTEIN, BETH A","OR090496","W81XWH-10-2-0140","Institution: PENNSYLVANIA, UNIVERSITY OF","PRORP","Technology Development Award","Primary: Descriptive Epidemiology/ SurveillanceSecondary: Animal Models","2009","$3,126,303.00"
"Antibiotic-Impregnated Calcium Sulfate Use in Treating Open Fractures","HODGE, JONETTE ","OR090499","W81XWH-10-2-0136","Institution: WRIGHT MEDICAL TECHNOLOGY, INC.","PRORP","Clinical Trial Award","Primary: PharmacologySecondary: Symptom Management","2009","$0.00"
"Integrated Proteomic Analysis and siRNA Therapy for Treatment of Heterotropic Ossification","ROTH, CHARLES ","OR090518","W81XWH-10-2-0139","Institution: RUTGERS, NEW JERSEY, STATE UNIVERSITY OF","PRORP","Idea Development Award","Primary: NanotechnologySecondary: Proteomics","2009","$478,709.75"
"Electrical Stimulation of Titanium for the Prevention and/or Eradication of A. baumannii and S. aureus Biofilm Infections on Osseointegrated Prostheses","EHRENSBERGER, MARK ","OR090536","W81XWH-10-1-0696","Institution: NEW YORK, STATE UNIVERSITY OF, BUFFALO","PRORP","Idea Development Award","Primary: Physical PreventionSecondary: Not Otherwise Specified","2009","$621,221.61"
"Stem Cell-Based Neurotrophic Enhancement of an Aligned Nanofiber Scaffold for Nerve Repair","TUAN, ROCKY S","OR090539","W81XWH-10-2-0084","Institution: PITTSBURGH, UNIVERSITY OF","PRORP","Translational Research Partnership Award","Primary: Neural Plasticity/RepairSecondary: Rehabilitation","2009","$418,638.00"
"Stem Cell-Based Neurotrophic Enhancement of an Aligned Nanofiber Scaffold for Nerve Repair","NESTI, LEON ","OR090539P1","W81XWH-10-2-0085","Performing Institution: NATIONAL INSTITUTES OF HEALTHContracting Institution: HENRY M. JACKSON FOUNDATION","PRORP","Translational Research Partnership Award","Primary: Neural Plasticity/RepairSecondary: Rehabilitation","2009","$313,643.00"
"Stem Cell-Based Neurotrophic Enhancement of an Aligned Nanofiber Scaffold for Nerve Repair","PATEL, SHYAM ","OR090539P2","W81XWH-10-2-0086","Institution: NANONERVE, INC.","PRORP","Translational Research Partnership Award","Primary: Neural Plasticity/RepairSecondary: Rehabilitation","2009","$266,463.00"
"Multifunctional, Aligned Collagen Materials for Tendon/Ligament Repair","CHENG, XINGGUO ","OR090556","W81XWH-10-1-0986","Institution: SOUTHWEST RESEARCH INSTITUTE","PRORP","Idea Development Award","Primary: Cellular DevelopmentSecondary: Rehabilitation","2009","$597,023.00"
"Optimizing Segmental Bone Regeneration Using Functionally Graded Scaffolds","YANG, YUNZHI ","OR090562","W81XWH-10-1-0966","Institution: LELAND STANFORD JUNIOR UNIVERSITY, THE","PRORP","Idea Development Award","Primary: Rehabilitation","2009","$583,076.06"
"sarA as a Target for the Treatment and Prevention of Staphylococcal Biofilm-Associated Infection","SMELTZER, MARK S","OR090571","W81XWH-10-1-0991","Institution: ARKANSAS, UNIVERSITY OF, FOR MEDICAL SCIENCES","PRORP","Idea Development Award","Primary: Drug DevelopmentSecondary: Chemoprevention","2009","$574,905.13"
"Diagnosis of Compartment Syndrome Based on Tissue Oxygenation","KIM, HUBERT ","OR090580","W81XWH-10-1-1024","Institution: NORTHERN CALIFORNIA INSTITUTE FOR RESEARCH AND EDUCATION","PRORP","Idea Development Award","Primary: Injury","2009","$573,964.00"
"Inductive Microenvironment for Improved Osseous Integration","NAIR, LAKSHMI ","OR090591","W81XWH-10-1-0653","Institution: UCONN HEALTH","PRORP","Idea Development Award","Primary: AngiogenesisSecondary: Targeted Therapies","2009","$614,253.39"
"Acceleration of the Angiogenesis and Soft Tissue Regeneration for the Hind Limb Complex Wound by a Novel Approach: Combined Use of SDF-1betaP2G with FGF and Zinc","CAI, LU ","OR090617","W81XWH-10-1-0677","Institution: UNIVERSITY OF LOUISVILLE RESEARCH FOUNDATION, INC.","PRORP","Idea Development Award","Primary: Growth Factors/CytokinesSecondary: Drug Development","2009","$581,086.00"
"Multicenter Clinical Trial of Keratin Biomaterials for Peripheral Nerve Regeneration","LI, ZHONGYU ","OR090621","W81XWH-10-1-0894","Institution: WAKE FOREST UNIVERSITY HEALTH SCIENCES","PRORP","Clinical Trial Award","Primary: RehabilitationSecondary: Neural Plasticity/Repair","2009","$637,993.70"
"Novel Cell Targets for Enhancing Osteogenesis","O'CONNOR, J. P","OR090638","W81XWH-10-1-0944","Institution: NEW JERSEY, UNIVERSITY OF MEDICINE AND DENTISTRY OF, NEWARK","PRORP","Hypothesis Development Award","Primary: InflammationSecondary: Regulation of the Immune Response","2009","$150,049.00"
"A New Paradigm in Tissue Engineering of Articular Cartilage","YOU, ZONGBING ","OR090645","W81XWH-10-1-0937","Institution: TULANE UNIVERSITY","PRORP","Hypothesis Development Award","Primary: Rehabilitation","2009","$149,000.00"
"Mesenchymal Stem Cell Therapy for Nerve Regeneration and Immunomodulation after Composite Tissue Allotransplantation","LEE, W.P. ANDREW ","OR090652","W81XWH-10-1-0927","Institution: JOHNS HOPKINS UNIVERSITY","PRORP","Hypothesis Development Award","Primary: Cellular DevelopmentSecondary: Neural Plasticity/Repair","2009","$119,573.49"
"Novel Biomimetic Bone Surrogate for Traumatic Facial Fractures","MATTHEW, HOWARD ","OR090654","W81XWH-10-1-0892","Institution: WAYNE STATE UNIVERSITY","PRORP","Hypothesis Development Award","Primary: InjurySecondary: Rehabilitation","2009","$151,193.47"
"Degradable Bone Graft Substitute for Effective Delivery of Multiple Growth Factors in the Treatment of Nonunion Fractures","BUSH, JOSHUA R","OR090657","W81XWH-10-1-0886","Institution: VIRGINIA, UNIVERSITY OF","PRORP","Hypothesis Development Award","Primary: Targeted TherapiesSecondary: Rehabilitation","2009","$146,904.64"
"The Role of Soft Tissue in Fracture Fixation Stability of Upper and Lower Extremity","OUELLETTE, ELIZABETH A","OR090660","W81XWH-10-1-0940","Institution: HAND PLACE LLC","PRORP","Hypothesis Development Award","Primary: SurgerySecondary: Rehabilitation","2009","$90,556.00"
"Strategies to Address Infection Prevention and Treatment in the Reduced Inflammatory Milieu of Irrigated Open Wound","TSUKAYAMA, DEAN T","OR090663","W81XWH-10-1-0695","Performing Institution: HENNEPIN HEALTHCARE SYSTEM, INC.Contracting Institution: MINNEAPOLIS MEDICAL RESEARCH FOUNDATION","PRORP","Hypothesis Development Award","Primary: InflammationSecondary: Injury","2009","$127,255.00"
"Mechanical Loading for Peripheral Nerve Stabilization and Regeneration","SHAH, SAMEER B","OR090669","W81XWH-10-1-0773","Institution: CALIFORNIA, UNIVERSITY OF, SAN DIEGO","PRORP","Hypothesis Development Award","Primary: RehabilitationSecondary: Neural Plasticity/Repair","2009","$149,999.90"
"Compliance and Adaptive Underactuation for Prosthetic Terminal Devices","DOLLAR, AARON ","OR090671","W81XWH-10-1-0921","Institution: YALE UNIVERSITY","PRORP","Hypothesis Development Award","Primary: RehabilitationSecondary: Device Development","2009","$159,778.00"
"Development and Characterization of a Novel Strategy to Enhance Delivery of Stem Cells to Improve Healing in Traumatic Musculoskeletal Injuries","HALL, SUSAN L","OR090678","W81XWH-10-1-0779","Performing Institution: VA MEDICAL CENTER, LOMA LINDA, CAContracting Institution: LOMA LINDA VETERANS ASSOCIATION FOR RESEARCH AND EDUCATION (LLVARE)","PRORP","Hypothesis Development Award","Primary: RadiotherapySecondary: Targeted Therapies","2009","$151,800.00"
"Promoting Cartilage Stem Cell Activity to Improve Recovery from Joint Fracture","MARTIN, JAMES  ","OR090686","W81XWH-10-1-0702","Institution: IOWA, UNIVERSITY OF","PRORP","Hypothesis Development Award","Primary: InjurySecondary: Regulation of the Immune Response","2009","$143,753.00"
"Controlled Delivery of Cis-2-Decenoic Acid for the Prevention of Infection by Bacterial Biofilms","JENNINGS, JESSICA A","OR090687","W81XWH-10-1-0812","Institution: MEMPHIS, UNIVERSITY OF","PRORP","Hypothesis Development Award","Primary: ChemopreventionSecondary: Drug Development","2009","$140,918.00"
"Battlefield-Acquired Immunogenicity to Metals Affects Orthopaedic Implant Outcome","HALLAB, NADIM J","OR090690","W81XWH-10-2-0138","Institution: RUSH UNIVERSITY MEDICAL CENTER","PRORP","Hypothesis Development Award","Primary: InjurySecondary: Regulation of the Immune Response","2009","$150,000.00"
"Peptide-Modified Bioceramic-Loaded Hydrogel for Deploying Human Progenitor Cells and Accelerating Bone Repair","LEACH, J. K","OR090693","W81XWH-10-1-0984","Institution: CALIFORNIA, UNIVERSITY OF, DAVIS","PRORP","Hypothesis Development Award","Primary: AngiogenesisSecondary: Rehabilitation","2009","$146,107.00"
"Salmon Thrombin as a Treatment to Attenuate Acute Pain and Promote Tissue Healing by Modulating Local Inflammation","WINKELSTEIN, BETH A","OR090700","W81XWH-10-1-1002","Institution: PENNSYLVANIA, UNIVERSITY OF","PRORP","Hypothesis Development Award","Primary: InjurySecondary: Regulation of the Immune Response","2009","$160,000.00"
"Development of a Novel Method for Stabilizing Traumatic Craniofacial Injuries","WHYNE, CARI M","OR090701","W81XWH-10-1-0995","Institution: SUNNYBROOK HEALTH SCIENCES CENTRE","PRORP","Hypothesis Development Award","Primary: SurgerySecondary: Rehabilitation","2009","$100,000.00"
"Development of Intra-Articular Drug Delivery to Alter Progression of Arthritis Following Joint Injury","OLSON, STEVEN A. ","OR090702","W81XWH-10-1-0890","Performing Institution: DUKE UNIVERSITYContracting Institution: DUKE UNIVERSITY MEDICAL CENTER","PRORP","Hypothesis Development Award","Primary: Targeted TherapiesSecondary: Inflammation","2009","$156,823.98"
"microRNA, Angiogenesis, and Skeletal Anabolic Response to Mechanical Strain","KESAVAN, CHANDRAKESEKAR ","OR090703","W81XWH-10-1-0718","Performing Institution: VA MEDICAL CENTER, LOMA LINDA, CAContracting Institution: LOMA LINDA VETERANS ASSOCIATION FOR RESEARCH AND EDUCATION (LLVARE)","PRORP","Hypothesis Development Award","Primary: AngiogenesisSecondary: Translation and Modification","2009","$148,433.00"
"Anabolic Steroid Reversal of Denervation Atrophy","ISAACS, JONATHAN E","OR090713","W81XWH-10-1-0932","Institution: VIRGINIA COMMONWEALTH UNIVERSITY","PRORP","Hypothesis Development Award","Primary: Neural Plasticity/RepairSecondary: Hormonal Therapy","2009","$107,950.26"
"Regeneration of Musculoskeletal Tissues by Prolonged Low-Grade Inflammation","AKKUS, OZAN ","OR090717","W81XWH-10-1-0965","Institution: PURDUE UNIVERSITY","PRORP","Hypothesis Development Award","Primary: InflammationSecondary: Injury","2009","$152,500.00"
"Phonomyography as a Noninvasive Continuous Monitoring Technique for Acute Compartment Syndrome in Military Trauma Patients","BERRY, GREGORY ","OR090732","W81XWH-10-1-1001","Institution: MCGILL UNIVERSITY HEALTH CENTRE RESEARCH INSTITUTE","PRORP","Hypothesis Development Award","Primary: UltrasonographySecondary: Injury","2009","$116,926.00"
"Shock Wave-Stimulated Periosteum for Cartilage Repair","SPECTOR, MYRON ","OR090741","W81XWH-10-1-0914","Performing Institution: VA BOSTON HEALTHCARE SYSTEMContracting Institution: BOSTON VA RESEARCH INSTITUTE, INC. (BVARI)","PRORP","Hypothesis Development Award","Primary: Rehabilitation","2009","$122,900.00"
"A Prosthesis to Train the Proprioceptive Capabilities of the Residual Limb of Military Personnel Recovering from Lower Limb Amputation","GLAISTER, BRIAN ","OR090742","W81XWH-10-1-0573","Institution: CADENCE BIOMEDICAL, INC","PRORP","Hypothesis Development Award","Primary: Rehabilitation","2009","$137,768.72"
"Investigation of Bacterial Collagenlike Proteins as Surface Grafting Agents with 
Antibacterial Properties","BARBU, ELENA ","OR090754","W81XWH-10-1-0866","Institution: M.D. ANDERSON CANCER CENTER, UNIVERSITY OF TEXAS","PRORP","Hypothesis Development Award","Primary: Physical Prevention","2009","$153,930.00"
"Remotely Activated, Submicron Vibrating Surfaces for Controlling Infections and Uncontrolled Fibrosis at the Osseointegrated Limb Interfaces","ONG, KEAT G","OR090762","W81XWH-10-1-0879","Institution: MICHIGAN TECHNOLOGICAL UNIVERSITY","PRORP","Hypothesis Development Award","Primary: Drug DevelopmentSecondary: Rehabilitation","2009","$146,764.00"
"Early Detection of Heterotopic Ossification for Effective Prevention and Treatment","ZHANG, ZIJUN ","OR090763","W81XWH-10-1-0982","Institution: MEDSTAR HEALTH RESEARCH INSTITUTE","PRORP","Hypothesis Development Award","Primary: Fluorescence ImagingSecondary: Injury","2009","$149,512.27"
"Determination of Long-Term Motor Control and Cutaneous Sensory Properties of a High-Resolution Peripheral Nerve Interface Technology for Limb Amputees","EDELL, DAVID J","OR090772","W81XWH-10-1-0871","Institution: INNERSEA TECHNOLOGY, INC.","PRORP","Hypothesis Development Award","Primary: RehabilitationSecondary: Neural Plasticity/Repair","2009","$187,793.00"
"Development of Immunomodulatory Biomaterials for Musculoskeletal Tissue Regeneration","NAIR, LAKSHMI ","OR090775","W81XWH-10-1-0947","Institution: UCONN HEALTH","PRORP","Hypothesis Development Award","Primary: Cell AdhesionSecondary: Not Otherwise Specified","2009","$153,308.00"
"Laser Application on Orthopaedic Bone Repair","SENA, KOTARO ","OR090783","W81XWH-10-1-0627","Institution: RUSH UNIVERSITY MEDICAL CENTER","PRORP","Hypothesis Development Award","Primary: SurgerySecondary: Laser Technology","2009","$150,000.00"
"Duffy Antigen Receptor for Chemokines and Skeletal Repair","EDDERKAOUI, BOUCHRA ","OR090784","W81XWH-10-1-0952","Performing Institution: VA MEDICAL CENTER, LOMA LINDA, CAContracting Institution: LOMA LINDA VETERANS ASSOCIATION FOR RESEARCH AND EDUCATION (LLVARE)","PRORP","Hypothesis Development Award","Primary: Growth Factors/CytokinesSecondary: Inflammation","2009","$151,679.75"
