,Proposal Number,Publication
46,OR090169,"Parreno J, Raju S, Niaki MN, et al.  2014.  Expression of type I collagen and tenascin C is regulated by actin polymerization through MRTF in dedifferentiated chondrocyte.  FEBS Lett 588(20):3677-3684."
47,OR090169,"Hu Y, Shanjani Y, Toyserkani E, et al.  2013.  Porous calcium polyphosphate bone substitutes:  Additive manufacturing versus conventional gravity sinter processing: Effect on structure and mechanical properties.  J Biomed Mater Res B Appl Biomater 101B (1):1-8."
48,OR090169,"Shanjani Y, Hu Y, Toyserkani E, et al.  2013.  Solid freeform fabrication of porous calcium polyphosphate structures for bone substitute applications: in vivo studies.  J Biomed Mater Res B Appl Biomater 101(6):972-980."
49,OR090169,Vlasea M and Toyserkani E.  2013.  Experimental characterization and numerical modeling of a micro-syringe deposition system for dispensing sacrificial photopolymers on particulate ceramic substrates.  J Mater Process Technol 213.
50,OR090169,"Vlasea M, Shanjani Y, Bothe A, et al.  2013.  A combined additive manufacturing and micro-syringe deposition technique for realization of bio-ceramic structures with micro-scale channels Int J Adv Manuf Technol 68:2261-2269."
51,OR090175,"Vorys GC, Bai H, Chandhanayingyong C, et al.  2015.  Optimal internal fixation of anatomically shaped synthetic bone grafts for massive segmental defects of long bones.  Clin Biomech (Bristol, Avon) 30(10):1114-1118."
52,OR090203,"Dishowitz MI, Terkhorn SP, Bostic SA, et al.  2012.  Notch signaling components are upregulated during both endochondral and intramembranous bone regeneration.  J Orthop Res 30(2):296-303.

"
53,OR090203,"Lin GL and Hankenson KD.  2011.  Integration of BMP, Wnt, and notch signaling pathways in osteoblast differentiation.  J Cell Biochem 112(12):3491-501."
54,OR090203,"Zhu F, Sweetwyne MT, and Hankenson KD.  2013.  PKCdelta is required for Jagged¿1 induction of human mesenchymal stem cell osteogenic differentiation.  Stem Cells 31(6):1181-1192."
55,OR090203,"Dishowitz MI, Mutyaba PL, Takacs JD, et al.  2013.  Systemic inhibition of canonical Notch signaling results in sustained callus inflammation and alters multiple phases of fracture healing.  PLoS One 8(7):e68726."
56,OR090203,"Mutyaba PL, Belkin NS, Lopas L, et al.  2014.  Notch signaling in mesenchymal stem cells harvested from geriatric mice.  J Orthop Trauma 28 Suppl 1:S20-3."
57,OR090203,"Dishowitz MI, Zhu F, Sundararaghavan HG, et al.  2014.  Jagged1 immobilization to an osteoconductive polymer activates the Notch signaling pathway and induces osteogenesis.  J Biomed Mater Res A 102(5):1558-1567."
58,OR090203P1,"Dishowitz MI, Zhu F, Sundararaghavan HG, et al.  2014.  Jagged1 immobilization to an osteoconductive polymer activates the Notch signaling pathway and induces osteogenesis.  J Biomed Mater Res A 102(5):1558-1567."
59,OR090203P1,"Mutyaba PL, Belkin NS, Lopas L, et al.  2014.  Notch signaling in mesenchymal stem cells harvested from geriatric mice.  J Orthop Trauma 28-1:S20-3."
60,OR090203P1,"Dishowitz MI, Mutyaba PL, Takacs JD, et al.  2013.  Systemic inhibition of canonical Notch signaling results in sustained callus inflammation and alters multiple phases of fracture healing.  PLoS One 8(7):e68726."
61,OR090203P1,"Zhu F, Sweetwyne MT, Hankenson KD.  2013.  PKCgamma is required for Jagged¿1 induction of human mesenchymal stem cell osteogenic differentiation.  Stem Cells 31(6):1181-1192."
62,OR090203P1,"Dishowitz MI, Terkhorn SP, Bostic SA, et al.  2012.  Notch signaling components are upregulated during both endochondral and intramembranous bone regeneration.  J Orthop Res 30(2):296-303."
63,OR090203P1,"Lin GL and Hankenson KD.  2011.  Integration of BMP, Wnt, and notch signaling pathways in osteoblast differentiation.  J Cell Biochem 112(12):3491¿501."
64,OR090203P2,"Dishowitz MI, Zhu F, Sundararaghavan HG, et al.  2014.  Jagged1 immobilization to an osteoconductive polymer activates the Notch signaling pathway and induces osteogenesis.  J Biomed Mater Res A 102(5):1558-1567."
65,OR090203P2,"Zhu F, Sweetwyne MT, and Hankenson KD.  2013.  PKCdelta is required for Jagged¿1 induction of human mesenchymal stem cell osteogenic differentiation.  Stem Cells 31(6):1181-1192."
66,OR090203P2,"Lin GL and Hankenson KD.  2011.  Integration of BMP, Wnt, and notch signaling pathways in osteoblast differentiation.  J Cell Biochem 112(12):3491-3501."
67,OR090203P2,"Mutyaba PL, Belkin NS, Lopas L, et al.  2014.  Notch signaling in mesenchymal stem cells harvested from geriatric mice.  J Orthop Trauma 28 Suppl 1:S20-3."
68,OR090203P2,"Dishowitz MI, Mutyaba PL, Takacs JD, et al.  2013.  Systemic inhibition of canonical Notch signaling results in sustained callus inflammation and alters multiple phases of fracture healing.  PLoS One 8(7):e68726."
69,OR090203P2,"Dishowitz MI, Terkhorn SP, Bostic SA, et al.  2012.  Notch signaling components are upregulated during both endochondral and intramembranous bone regeneration.  J Orthop Res (2):296-303."
70,OR090206,"Kim H, McKay J, Zelickson A, George M, et al.  2013.  SPECT and micro-CT imaging of an extremity leg-injury rat model.  J Nuclear Med 54(2):1204."
71,OR090206,"Gilbert SR, Camera J, Camera R, et al.  2015.  Contaminated open fracture and crush injury:  A murine model.  Bone Res 3:14050."
72,OR090221,"Paryavi E, Stall A, Gupta R, Scharfstein DO, Castillo RC, Zadnik M, Hui E, O'Toole RV. Predictive model for surgical site infection risk after surgery for high-energy lower-extremity fractures: development of the risk of infection in orthopedic trauma surgery score. J Trauma Acute Care Surg. 2013 Jun;74(6):1521-7. doi: 10.1097/TA.0b013e318292158d. PubMed PMID: 23694882."
73,OR090275,"Sridhar BV, Brock JL, Silver JS, et al.  2015.  Development of a cellularly degradable PEG hydrogel to promote articularcartilage extracellular matrix deposition.  Adv Healthc Mater 4(5):702-713."
74,OR090275,"Sridhar BV, Doyle NR, Randolph MA, et al.  2014.  Covalently tethered TGF-beta-1 with encapsulated chondrocytes in a PEG hydrogel system enhances extracellular matrix production.  J Biomed Mater Res A 102(12):4464-4472."
75,OR090275,"Sridhar BV, Dailing EA, Brock JL, et al.  2015.  Biosynthetic scaffold that facilitates chondrocyte-mediated degradation and promotes articular cartilage extracellular matrix deposition.  Regen Eng Transl Med 1(1-4):11-21."
76,OR090275,"Omobono MA, Zhao X, Furlong MA, et al.  2015.  Enhancing the stiffness of collagen hydrogels for delivery of encapsulated chondrocytes to articular lesions for cartilage regeneration.  J Biomed Mater Res A 103(4):1332-1338."
77,OR090275,"Meppelink AM, Zhao X, Griffin DJ, et al.  2016.  Hyaline articular matrix formed by dynamic self-regenerating cartilage and hydrogels.  Tissue Eng Part A 22(13-14):962-970."
78,OR090278,"Jaffe DE, Yoo D, Blevins J, et al.  2015.  Does blast medium affect heterotopic ossification in a blast-amputation model?  Clin Orthopaedics Related Res.  473(8):2680-2687."
79,OR090331,"Tochigi Y, Buckwalter JA, Martin JA, et al.  2011.  Distribution and progression of chondrocyte damage in a whole-organ model of human intra-articular fracture.  J Bone Joint Surg Am 93(6):533-539."
80,OR090331,"Tochigi, Y, Zhang, P, Rudert, MJ, et al. 2013.  A novel impaction technique to create experimental
articular fractures in large animal joints. Osteoarthritis Cartilage 21(1):200-208."
81,OR090331,"Diestelmeier BW, Rudert MJ, Tochigi Y, et al.  2014.  An instrumented pendulum system for measuring energy absorption during fracture insult to large animal joints in vivo. J Biomech Eng 136(6):064502."
82,OR090333,"Sanders JE, Cagle JC, Harrison DS, et al.  2013.  How does adding and removing liquid from socket bladders affect residual limb fluid volume?  J Rehabil Res Dev 50(6) 845-860."
83,OR090333,"Wheeler JW, Dabling JG, Chinn D, et al.  2011.  MEMS-based bubble pressure sensor for prosthetic socket interface pressure measurement.  Conf Proc IEEE Eng Med Biol Soc 2925-2928."
84,OR090451,"Choe H, Narayanan AS, Gandhi D, et al.  2015.  Immunomodulatory peptide IDR-1018 decreases implant infection and preserves osseointegration.  Clin Orthop Rel Res 473(9):2898-2907."
85,OR090467,Das A and Botchwey E.  2011.  Evaluation of angiogenesis and osteogenesis.  Tissue Engr B 17(6):403-414.
86,OR090467,"Huang CS, Das A, Barker DA, et al.  2012.  Local delivery of FTY720 accelerates cranial allograft incorporation and bone formation.  Cell Tissue Res 347(3):553-566."
87,OR090468,"Glatt V, Miller M, Ivkovic A, et al.  2012.  Improved healing of large segmental defects in the rat femur by reverse dynamization in the presence of bone morphogenetic protein-2.  J Bone Joint Surg Am 94(22):2063-2073."
88,OR090488,"Bhat A and Leach JK.  2012.  Bone tissue engineering:  Fabrication and use of electrospun meshes.  Encyclopedia of Agricultural, Food, and Biological Engineering, Second Edition (Heldman DR and Moraru CI, Eds.), Taylor & Francis, New York.  "
89,OR090488,Ingavle GC and Leach JK.  201.  Advancements in electrospinning of polymeric nanofibrous scaffolds for tissue engineering.  Tissue Eng Part B Rev 20(4):277-293.
90,OR090496,"Baig HA, Dorman DB, Bulka BA, et al.  2014.  Characterization of the frequency and muscle responses of the lumbar and thoracic spines of seated volunteers during sinusoidal whole body vibration.  J Biomech Eng 136(10):101002-1."
91,OR090496,"Kartha S, Zeeman ME, Baig HA, et al.  2014.  Upregualtion of BDNF & NGF in cervical intervertebral discs exposed to painful whole-body vibration.  Spine 39(19):1542-1548."
92,OR090496,"Zeeman ME, Kartha S, and Winkelstein B.  2016.  Low back pain and sustained inflammatory activity in the lumbar spinal cord are induced in response to whole body vibration.  J Orthopaedic Res 34(8):1439-1446."
93,OR090496,"Sperry MM, Ita ME, Kartha S, et al.  2017.  The interface of mechanics and nociception in jount pathophysiology: Insights from the facet & temporomandibular joints.  J Biomech Eng 139(2):021003."
94,OR090496,"Kartha S, Zeeman ME, Baig HA, et al.  2014.  Upregulation of BDNF &NGF in cervical intervertebral discs exposed to painful whole-body vibration.  Spine 39(19):1542-1548."
95,OR090496,"Zeeman ME, Kartha S, Jaumard NV, et al.  2015.  Whole body vibration at thoracic resonance induces sustained pain and widespread cervical neuroinflammation in the rat.  Clinical Orthopaedics & Related Research 473(9):2936-2947."
96,OR090496,"Baig HA, Guarino BB, Lipschutz DE, et al.  2013.  Whole body vibration induces forepaw and hind paw behavioral hypersensitivity in the rat.  J Orthop Res 31(11):1739-1744."
97,OR090496,"Jaumard NV, Leung J, Gokhale AJ, et al.  2015.  Anatomy and morphology of the rat spine: Relevant measurements by CT and considerations for rodent models of human spine trauma.  Spine 40(20):E1084-E1092."
98,OR090496,"Ita ME, and Winkelstein BA.  2016.  Pain signaling systems from injured cervical facet joints.  In: Whiplash Injury: A Model for Development of Chronic Pain, (Jensen TS, Turk D, Kasch H, Eds.).  pg 15-33."
99,OR090518,"Peddada LY, Garbuzenko OB, Devore DI, et al.  2014.  Delivery of antisense oligonucleotides using poly(alkylene oxide)-poly(propylacrylic acid) graft copolymers in conjunction with cationic liposomes. J Control Release 194:103-12."
100,OR090518,"Mishra S, Peddada LY, Devore DI, et al.  2012.  Poly(alkyene oxide) copolymers for nucleic acid delivery.  Acc Chem Res 45(7):1057-1066."
101,OR090518,"Mishra S, Vaugh AD, Devore DI, et al.  2012.  Delivery of siRNA silencing Runx2 using a multifunctional polymer-liposome nanocomplex inhibits osteogenesis in a cell culture model of heterotopic ossification.  Integr Biol (Camb) 4(12):1498-1507.

"
102,OR090536,"Ehrensberger MT, Tobias ME, Nodzo S, et al.  2015.  Cathodic voltage controlled electrical stimulation of titanium implants as treatment for MRSA periprosthetic infections.  Biomaterials  41:97-105."
103,OR090539,"Bulken-Hoover JD, Jackson WM, Ji Y, et al.  2012.  Inducible expression of neurotrophic factors by mesenchymal progenitor cells derived from traumatically injured human muscle.  Mol Biotechnol 51(2):128-136."
104,OR090539,"Jackson WM, Alexander PG, Bulken-Hoover JD, et al.  2013.  Mesenchymal progenitor cells derived from traumatized muscle enhance neurite growth.  J Tissue Eng Regen Med 7(6):443-451."
105,OR090539P1,"Bulken-Hoover JD, Jackson WM, Ji Y, et al.  2012.  Inducible expression of neurotrophic factors by mesenchymal progenitor cells derived from traumatically injured human muscle.  Mol Biotechnol 51(2):128-136."
106,OR090539P1,"Jackson WM, Alexander PG, Bulken-Hoover JD, et al.  2013.  Mesenchymal progenitor cells derived from traumatized muscle enhance neurite growth.  J Tissue Eng Regen Med 7(6):443-451."
107,OR090556,"Cheng XG, Tsao C, Saul JM, et al.  2013.  Comparison of two nanoparticle formulations for localized delivery of platelet-derived growth factor (PDGF) from aligned collagen fibers.  Pharmaceutical Nanotechnology 1:(1):1-10."
108,OR090556,Cheng X and Desai SA.  2012.  Preparation of nanoparticle-containing aligned collagen fibers for dense connective tissue repair and regeneration.  Cambridge Journals Online 1417:5.
109,OR090556,"Cheng XG, Tsao C, Sylvia VL, et al.  2014.  Platelet-derived growth-factor-releasing aligned collagen-nanoparticle fibers promote the proliferation and tenogenic differentiation of adipose-derived stem cells.  Acta Biomater 10(3):1360-1369."
110,OR090556,"Cheng XG, Poenitzsch V, Cornell L, et al.  2013.  Electrochemical bioencapsulation of nanomaterials into collagen for biomedical applications.  Journal of Encapsulation and Adsorption Science 3:16-23."
111,OR090562,"Sweet L, Kang Y, Czisch C, et al.  2015.  Geometrical versus random beta-TCP scaffolds: Exploring the effects on Schwann cell growth and behavior.  Plos One 10(10):e0139820."
112,OR090562,"Shanjani Y, Pan C-C, Elomaa L, et al.  2015.  A novel bioprinting method and system for forming hybrid tissue engineering constructs.  Biofabrication 7(4):045008."
113,OR090562,"Mercado-Pagán AE, Stahl A, Shanjani Y, et al.  2015.  Vascularization in bone tissue engineering constructs.  Special Issue 'Scaffolds for Regenerative Medicine,' Annals Biomedical Engineering 43(3):718-729."
114,OR090562,"Santa Maria PL, Kim S, Varsak KY, et al.  2015.  Heparin binding epidermal growth factor-like growth factor for the regeneration of chronic tympanic membrane perforations in mice.  Tissue Engineering Part A 21(9-10):1483-1494."
115,OR090562,"Santa Maria PL, Wieirich K, Kim S, et al.  2015.  Heparin binding epidermal growth factor-like growth factor heals chronic tympanic membrane perforations with advantage over fibroblast growth factor 2 and epidermal growth factor in an animal model.  Otol Neurotol 36(7):1279-1283."
116,OR090562,"Sun X, Kang Y, Zhang Y, et al.  2013.  Modeling vascularized bone regeneration within a porous biodegradable CaP scaffold loaded with growth factors.  Biomaterials 34(21):4971-4981."
117,OR090562,"Lim H-P, Mercado-Pagan AE, Yun KD, et al.  2013.  The effect of rhBMP-2 and PRP delivery by biodegradable beta-tricalcium phosphate scaffolds on new bone formation in a non-through rabbit cranial defect model.  J Materials Science, Materials in Medicine 24(8):1895-1903."
118,OR090562,"Ren L, Kang Y, Browne C, et al.  2014.  Fabrication, vascularization and osteogenic properties of a novel synthetic biomimetic induced membrane for the treatment of large bone defects. Bone 64:173-182."
119,OR090562,"Kim S, Kang Y, Mercado-Pagán AE, et al.  2014.  In vitro evaluation of photo-cross-linkable chitosan-lactide hydrogels for growth factor delivery.  JBiomed Materials Res: Part B - Applied Biomaterials 102(7):1393-1406."
120,OR090562,"Kim S, Bedigrew K, Guda T, et al.  2014.  Novel osteoinductive photo-cross-linkable chitosan-lactide-fibrinogen hydrogels enhance bone regeneration in critical size segmental bone defects.  Acta Biomaterialia 10(12):5021-5033."
121,OR090562,"Elomaa L, Kang Y, Seppälä JV, et al.  2014.  Biodegradable photocrosslinkable poly(depsipeptide-co-caprolactone) for tissue engineering: synthesis, characterization, and in vitro evaluation.  J Polymer Science Part A 52(23):3307-3315."
122,OR090562,"Ker DF, Sharma R, Wang ET, et al.  2015.  Development of mRuby2-transfected C3H10T1/2 fibroblasts for musculoskeletal tissue engineering.  Plos One 10(9):e0139054."
123,OR090562,"Elomaa L, Pan C-C, Shanjani Y, et al.  2015.  Three-dimensional fabrication of cell-laden biodegradable poly(ethylene glycol-co-depsipeptide) hydrogels by visible light stereolithography.  J Materials Chem B 3:8348-8358."
124,OR090562,"Yang J, Kang Y, Browne C, et al.  2015.  Graded porous beta-TCP scaffolds enhance bone regeneration in mandible augmentation.  J Craniofacial Surg 26(2):e148-53."
125,OR090562,"Mercado-Pagán AE, Kang Y, Ker DFE, et al.  2013.  Synthesis and characterization of novel elastomeric poly (D,L-lactide urethane) maleate composites for bone tissue engineering. European Polymer J 49(10):3337-3349."
126,OR090562,"Kang Y, Kim S, Fahrenholtz M, et al.  2012.  Osteogenic and angiogenic potentials of monocultured and co-cultured human-bone-marrow-derived mesenchymal stem cells and human-umbilical-vein endothelial cells on three-dimensional porous beta-tricalcium phosphate scaffold.  Acta Biomater 9(1):4906-4915."
127,OR090562,"Nguyen LH, Annabi N, Nikkhah M, et al.  2012.  Vascularized bone tissue engineering: Approaches for potential improvement.  Tissue Eng Part B Rev 18(5):363-382."
128,OR090562,"Kang Y, Kim S, Bishop J, et al.  2012.  The osteogenic differentiation of human bone marrow MSC on HUVEC-derived extracellular matrix (ECM) and beta-TCP scaffold.  Biomaterials 33(29):6998-7007."
129,OR090562,"Sun X, Su J, Bao J, et al.  2012.  Cytokine combination therapy prediction for bone remodeling in tissue engineering based on the intracellular signaling pathway.  Biomaterials 33(33):8265-8276. "
130,OR090562,"Nguyen AH, Kim S, Maloney WJ, et al.  2012.  Effect of co-administration of vancomycin and BMP-2 on co-cultured staphylococcus aureus and W-20-17 mouse bone marrow stromal cells in vitro.  Antimicrob Agents Chemother 56(7):3776-3784.

"
131,OR090562,"Kim S, Kang Y, Krueger CA, et al.  2012.  Sequential delivery of BMP-2 and IGF-1 using a chitosan gel with gelatin microspheres enhances osteoblastic differentiation.  Acta Biomater 8(5):1768-1777."
132,OR090562,"Mercado-Pagán AE, Fei D, Ker E, et al.  2014.  Hemocompatibility evaluation of elastomeric hollow fiber membranes as vascular grafts.  J Biomaterials Applications 29(4):557-565."
133,OR090562,"Kang Y, Ren L, and Yang YP.  2014.  Engineering vascularized bone grafts by integrating a biomimetic periosteum and beta-TCP scaffold.  ACS Applied Materials & Interfaces 6:9622-9633."
134,OR090562,"Kang Y, Mochizuki N, Ren L, et al.  2015.  Engineering a vascularized collagen-beta-tricalcium phosphate graft using an electrochemical approach.  Acta Biomaterialia 11:449-458."
135,OR090571,"Beenken KE, Mrak LN, Zielinska AK,  et al.  2014.  Impact of the functional status of saeRS on in vivo phenotypes of Staphylococcus aureus¿sarA mutants. Mol Microbiol 92(6):1299-1312."
136,OR090571,"Loughran AJ, Atwood DN, Anthony AC, et al.  2014.  Impact of individual extracellular proteases on Staphylococcus aureus biofilm formation in diverse clinical isolates and their isogenic sarA mutants. Microbiologyopen 3(6):897-909."
137,OR090580,"Hansen EN, Manzano G, Kandemir U, et al.  2013.  Comparison of tissue oxygenation and compartment pressure following tibia fracture.  Injury 44(8):1076-1080."
138,OR090580,"Mok JM, Hansen EN, Kim H, et al.  2012.  Diagnosis of acute compartment syndrome: direct measurement of tissue oxygenation.  Techniques in Orthopaedics 27(1):22-29."
139,OR090591,"Cui Z, Wright L, Guzzo R, et al.  2013.  PDLA/PCL nanofiber- thermogelling chitosan gel composite scaffolds for osteochondral tissue regeneration in a rat model.  J Bioactive Compatible Polymers 28:115."
