"","Proposal Number","Publication"
"38","NF010016","Mcclatchey AI and Giovannini M.  2005.  Membrane organization and tumorigenesis-the NF2 tumor suppressor, Merlin.  Genes Dev 19(19):2265-2277."
"39","NF010022","Xu Y YQ (2003):  E-cadherin negatively regulates CD44-hyaluronan interaction and CD44-mediated tumor invasion and branching morphogenesis. J. Biol Chem  278:8661-8668."
"40","NF010042","Babovic-Vuksanovic D, Widemann BC, Dombi E, et al.  2007.  Phase I trial of pirfenidone in children with neurofibromatosis 1 and plexiform neurofibromas.  Pediatr Neurol 36:293-300."
"41","NF010051","Akhmametyeva EM, Mihaylova M, Luo H, et al.  2006.  Regulation of the neurofibromatosis 2 (NF2) promoter expression during early embryonic development.  Dev Dyn 23:2771-85."
"42","NF010051","Golovnina K, Blinov A, Akhmametyeva EM, et al.  2005.  Evolution and origin of merlin, the product of the neurofibromatosis type 2 tumor-suppressor gene.  J Evol Biol 5:69."
"43","NF010051","Neff BA, Welling DB, Akhmametyeva EM, et al.  2006.  The molecular biology of vestibular schwannomas: Dissecting the pathogenic process at the molecular level.  Otol Neurotol 27:197-208."
"44","NF010051","Neff, BA, Oberstein E, Lorenz M, et al.  2006.  Cyclin D1 and D3 Expression in Vestibular Schwannomas.  Laryngoscope 116:423-426."
"45","NF010051","Chang LS, Akhmametyeva EM, Mihaylova M,  et al.  2005.  Dissecting the molecular pathways in vestibular schwannoma tumorigenesis.  Recent Research Development in Genes & Genomes 1:1-33."
"46","NF010054","Aguirre A, Rizvi TA, Ratner N, et al.  2005.  Overexpression of the EGF receptor confers migratory properties to non-migratory postnatal neural progenitors.  J Neuroscience 25:11092-106."
"47","NF010054","Wu J, Crimmins J, Monk K, et al.  2006.  Perinatal EGFR blockade prevents peripheral nerve disruption in a model reminiscent of WHO Grade 1 neurofibroma.  Am J Pathol 168:1686-1696."
"48","NF010059","Ling BC, Wu J, Miller SJ, et al.  2005.  Role for the epidermal growth factor receptor in neurofibromatosis-related peripheral nerve tumorigenesis.  Cancer Cell 7:65-75."
"49","NF010059","Garza R, Hudson RW, Walter CA, et al. 2007. A mild mutator phenotype arises in malignancies associated with neurofibromatosis type 1.  Mutat Res 615:98-110."
"50","NF010059","Miller SJ, Li H, Rizvi TA, et al.  2003.  Brain lipid binding protein in axon-Schwann cell interactions and peripheral nerve tumorigenesis.  Mol Cell Biol 23:2213-2224."
"51","NF010093","·Denisenko-Nehrbass N, Goutebroze L, Galvez T, et al.  2003.  Association of Caspr/paranodin with tumor suppressor schwannomin/merlin and b1 integrin in the CNS.  J. Neurochem. 84:209-221.
"
"52","NF010093","Zhu Y, Guignard F, Zhao D, et al.  2005.  Early inactivation of p53 tumor suppressor gene cooperating with NF1 loss induces malignant astrocytoma.  Cancer Cell 8:119-130."
"53","NF010093","Kuns R, Kissil JL, Newsham IF, et al.  2005.  Protein 4.1B expression is induced in mammary epithelial cells during pregnancy and regulates their proliferation.  Oncogene 24:6502-6515."
"54","NF010093","Chao RC, Pyzel U, Firdlyand J, et al.  2005.  Therapy-induced malignant neoplasms in NF1 mutant mice.  Cancer Cell 8:337-348."
"55","NF010093","Stemmer-Rachamimov A, Louis D, Nielsen P, et al.  2004.  Comparative pathology of nerve sheath tumors in mouse models and humans.  Cancer Research 64:3718-3724."
"56","NF010093","Saotome I, Curto M, and McClatchey AI.  2004.  Ezrin is essential for epithelial organization and villus morphogenesis in the developing intestine.  Dev Cell 6:855-864."
"57","NF010093","Robanus-Maandag E, Giovannini M, et al.  2004.  Early Nf2 inactivation in neural crest derived cells hemizygous for p53 converts the tumor spectrum from osteogenic to peripheral nerve sheath tumors.  Oncogene 23:6541-6547."
"58","NF010093","·Le DT and Shannon KM.  2002.  Ras processing as a therapeutic target in hematologic malignancies.  Curr. Opin. Hematol. 9:308-315.
"
"59","NF010093","·Crone SA, Negro A, Trumpp A, Giovannini M, and Lee KF.  2003.  Colonic epithelial expression of ErbB2 is required for postnatal maintenance of the enteric nervous system.  Neuron 37(1):29-40.
"
"60","NF010093","Zhu Y, Harada T, Guignard F, et al.  2005.  Ablation of NF1 in CNS causes transient neural progenitor hyperplasia and is sufficient to induce optic gliomas.  Development 132:5577-5588."
"61","NF010093","·Fleury-Feith J, Lecomte C, Renier A, et al.  2003.  Hemizygosity of Nf2 is associated with increased susceptibility to asbestos-induced peritoneal tumours.  Oncogene 22:3799-3805.
"
"62","NF010093","·Gitler AD, Zhu Y, Lu MM, Parada LF, and Epstein JA.  2003.  Nf1 has an essential role in endothelial cells.  Nat. Genet. 33(1):75-79.
"
"63","NF010093","·Gutmann DH, Baker SJ, Giovannini M, Garbow J, and Weiss W.  2003.  Mouse models of human cancer consortium symposium on nervous system tumors.  Cancer Res. 63(11):3001-3004.
"
"64","NF010093","·Kissil JL, Wilker EW, Johnson KC, et al.  2003.  Merlin, the product of the Nf2 tumor suppressor gene, is an inhibitor of the p21-activated kinase, Pak1.  Mol Cell 12(4):841-849.
"
"65","NF010093","·Lallemand D, Curto M, Saotome I, Giovannini M, and McClatchey AI.  2003.  NF2 deficiency promotes tumorigenesis and metastasis by destabilizing adherens junctions.  Genes & Dev. 17(9):1090-1100.
"
"66","NF010093","·Manent J, Oguievetskaia X, Bayer J, Ratner N, and    Giovannini M.  2003.  Magnetic cell sorting for enriching Schwann cells from adult mouse peripheral nerves.            J. Neuroscience Meth. 123:167-173.
"
"67","NF010093","·McLaughlin ME and Jacks T.  2003.  Progesterone receptor expression in neurofibromas.  Cancer Research 63(4):752-755.
"
"68","NF010093","·McLaughlin ME and Jacks T.  2002.  Thinking beyond the tumor cell: Nf1 haploinsufficiency in the tumor environment.  Cancer Cell.
"
"69","NF010093","·McLaughlin ME and Jacks T.  2003.  Neurofibromatosis type 1.  Methods Mol Biol 222:223-237.
"
"70","NF010093","·McClatchey AI.  2003.  Merlin and ERM proteins: Unappreciated roles in cancer development?  Nat. Rev. Cancer 3:877-883.
"
"71","NF010093","·Utermark T, Aleko A, Lerche H, et al.  2003.  Quinidine impairs proliferation of neurofibromatosis type 2-deficient human malignant mesothelioma cells.  Cancer 97:1955-1962.
"
"72","NF010093","·Weiss BG and Shannon KM.  2003.  Mouse cancer models as a platform for performing preclinical therapeutic trials.  Curr. Opin. Genet. Dev. 13(1):84-89.
"
"73","NF010093","·Yajnik V, Paulding C, Sordella R, et al.  DOCK4, a GTPase activator, is disrupted during tumorigenesis.  Cell 112(5):673-684.
"
"74","NF010093","Le DT, Kong N, Zhu Y, et al.  2004.  Somatic inactivation of NF1 in hematopoietic cells results in a progressive myeloproliferative disorder.  Blood 103:4243-4250."
"75","NF010093","Weiss BG and Shannon KM.  2004.  Preclinical trials in mouse cancer models.  In Holland EC (Ed.), Mouse Models of Human Cancer.  Wiley-Liss, Hoboken, New Jersey."
"76","NF010093","Reilly KM, Tuskan RG, Christy E, et al.  2004.  Susceptibility to astrocytoma in mice mutant for Nf1 and Trp53 is linked to chromosome 11 and subject to epigenetic effects.  PNAS USA 101:3008-3013."
"77","NF010097","Wiederhold T, Lee MF, James M, et al.  2004.  Magicin, a novel cytoskeletal protein associates with the NF2 tumor suppressor merlin and Grb2.  Oncogene 23:8815-8825."
"78","NF010112","Li L Guris DL Okura M Imamoto A (2003): Translocation of CrkL to focal adhesions mediates integrin-induced migration downstream of Src family kinases. Mol Cell Biol. 23:2883-92."
"79","NF010126","Gatto CL, Walker BJ, and S Lambert.  2007.  Asymmetric ERM activation at the Schwann cell process tip is required in axon-associated motility.  J Cell Physio 210:122-132."
"80","NF010130","Yoon B, Herman H, Hu B, et al.  2005.  Rasgfr1 imprinting is regulated by a CTCF-dependent methylation-sensitive enhancer blocker.  Mol Cell Biol 25(24):11184-11190."
"81","NF010138","Donarum EA, Halperin RF., Stephan DA., et al. 2006. Cognitive dysfunction in NF1 knock-out mice may result from altered vescular trafficking of APP/DRD3 complex. BMC Neurosci. 8:7-22."
"82","NF010144","Li W, Cui Y, Kushner SA, et al.  2005.  The HMG-CoA reductase inhibitor Lovastatin reverses the learning and attention deficits in a mouse model of neurofibromatosis type 1.  Curr Biol 15:1961-1967."
"83","NF010149","Chong JA, Moran MM, Teichmann M, et al. 2005. TATA-binding protein (TBP)-like factor (TLF) is a functional regulator of transcription: reciprocal regulation of the neurofibromatosis type 1 and c-fos genes by TLF/TRF2 and TBP.
Mol Cell Biol. 25(7):2632-43. 
"
"84","NF020005","Dasgupta B, Dugan LL, and Gutmann DH.  2003.  The neurofibromatosis 1 gene product neurofibromin regulates pituitary adenylate cyclase activating polypeptide-mediated signaling in astrocytes.  J Neurosci 23:8949-8954."
"85","NF020005","Dasgupta B, Li W, Perry A, et al.  2005.  Glioma formation in neurofibromatosis 1 (NF1) reflects preferential activation of 
K-RAS in astrocytes.  Cancer Res 65:236-245.
"
"86","NF020005","Bajenaru ML, Hernandez MR, Perry A, et al.  2003.  Optic nerve glioma in mice requires astrocyte Nf1 gene inactivation and Nf1 brain heterozygosity.  Cancer Res 63:8573-8577."
"87","NF020005","Su W, Xing R, Guha A, et al.  2007.  Mice with GFAP-targeted loss of neurofibromin demonstrate increased axonal MET expression with aging.  Glia 55:723-733."
"88","NF020005","Daginakatte GC and Gutmann DH.  2007.  Neurofibromatosis-1 (Nf1) heterozygous brain microglia elaborate paracrine factors that promote Nf1-deficient astrocyte and glioma growth.  Hum Mol Genet 16:1098-1112."
"89","NF020005","Warrington NM, Woerner BM, Daginakatte GC, et al.  2007.  Spatiotemporal differences in CXCL12 expression and cyclic AMP underlie the unique pattern of optic glioma growth in neurofibromatosis type 1.  Cancer Res 67:8588-95."
"90","NF020005","Read TA, Hegedus B, Wechsler-Reya R, et al.  2006.  The nurobiology of neuro-oncology. 
Ann Neurol 60:3-11.
"
"91","NF020005","Gutmann DH, Hunter-Schaedle K, and Shannon KM.  2006.  Harnessing preclinical mouse models to inform human clinical cancer trials.  J Clin Invest 116:847-852."
"92","NF020005","Zhu Y, Harada T, Liu L, et al.  2005.  Inactivation of NF1 in CNS causes increased glial progenitor proliferation and optic glioma formation. Dev 132:5577-5588."
"93","NF020005","Dasgupta B, Yi Y, Hegedus B, et al.  2005.  Cerebrospinal fluid proteomic analysis reveals dysregulation of methionine aminopeptidase-2 expression in human and mouse neurofibromatosis 1-associated glioma. Cancer Res 65:9843-9850."
"94","NF020005","Bajenaru ML, Garbow JR, Perry A, et al.  2005.  Natural history of NF1-associated optic nerve glioma formation in mice.  Ann Neurol 57:119-127.
"
"95","NF020005","Rubin JB, Gutmann DH.  2005.  Neurofibromatosis 1:  A model for nervous system tumor formation?  Nature Rev Cancer 5:557-564."
"96","NF020005","Bajenaru ML, Garbow JR, Perry A, et al.  2005.  Natural history of NF1-associated optic nerve glioma formation in mice.  Ann Neurol 57:119-127."
"97","NF020005","Dasgupta B, Yi Y, Chen DY, et al.  2005.  Proteomic analysis reveals hyperactivation of the mTOR pathway in NF1-associated human and mouse brain tumors.  Cancer Res 65:2755-2760."
"98","NF020008","Terry J, Saito T, Subramanian S, et al.  2007.  TLE1 as a diagnostic immunohistochemical marker for synovial sarcoma emerging form gene expression profiling studies. Am J Surg Path 31:240-6."
"99","NF020013","Tang X, Jnag S-W, Brat D, et al.  2007.  Akt phosphorylation and phosphatodylinositol (3,4,5)P3 binding synergistically inhibit the tumor suppressive activity of merlin.  Nature Cell Biol 9(10):1199-207."
"100","NF020013","Rong R, Surace EI, Haipek CA, et al.  2004.  Serine 518 phosphorylation modulates merlin intramolecular association and binding to critical effectors important for NF2 growth suppression.  Oncogene 23:8447-8454."
"101","NF020013","Rong R, Tang X, Gutmann DH, et al.  2004.  Neurofibromatosis 2 (NF2) tumor suppressor merlin inhibits phosphatidylinositol 3-kinase through binding to PIKE-L.  Proc Natl Acad Sci USA 101:18200-18205."
"102","NF020015","Boyd C, Smith MJ, Kluwe L, et al.  2008.  Alterations in the SMARCB1 (INI1) tumor suppressor gene in familial schwannomatosis.  Clin Genet 74(4):358-366."
"103","NF020015","MacCollin M, Chiocca EA, Evans DG, et al.  2005.  Diagnostic criteria for schwannomatosis.  Neurology 64:1838-1845."
"104","NF020026","Yang FC, Chen S, Clegg T, et al., 2006.  Nf1+/-mast cells induce neurofibroma like phenotypes through secreted TGF-beta signaling.  Hum Mol Genet 15(16):2421-2437.

"
"105","NF020029","Wang Y, Nicol GD, Clapp DW, et. al  2005.  Sensory neurons from Nf1 haploinsufficient mice exhibit increased excitability.  J Neurophysiol 94:3670-3676."
"106","NF020029","Hingtgen CM, Roy SL, Clapp DW, et al.  2006.  Stimulus-evoked release of neuropeptides is enhanced in sensory neurons from mice with a heterozygous mutation of the Nf1 gene.  Neuroscience 137:637-645."
"107","NF020033","
Cox S, Willliams S, Reczek E, et al.  2007.  A negative feedback signaling network underlies oncogene-induced senescence.  Cancer Cell 10(6):459-472.
"
"108","NF020033","Cox S, Willliams S, Reczek E, et al.  2006.  A negative feedback signaling network underlies oncogene-induced senescence.  Cancer Cell 10:459-72."
"109","NF020033","Johannessen C, Reczeck E, James MD, et al.  2005.  The mTOR pathway is critically regulated by the NF1 tumor suppressor. Proc Natl Acad Sci 102:8573-8578."
"110","NF020035","Bernards A and Settleman J.  2004.  GAP control: Regulating the regulators of small GTPases.  Trends Cell Biol 14:377-385."
"111","NF020035","2006.  Regulators and effectors of small GTPases: Ras family.  Balch WE, Der CJ, Hall A, Eds. pp 1-9."
"112","NF020035","Bernards A and Settleman J.  2005.  GAPs in growth factor signaling.  Growth Factors 23:143-9.

"
"113","NF020035","Bernards A.  2005.  Superfamily and interacting proteins database.  Regulators and Effectors of Small GTPases: Ras Family (Balch WE, Dr CJ, and Hall A Eds.)  Methods in Enzymology Volume 407."
"114","NF020035","Bernards A and Settleman J.  2007.  GEFs in growth factor signaling.  Growth Factors 25:355-361."
"115","NF020037","Stickney JT, Bacon WC, Rojas M, et al. 2004. Activation of the tumor suppressor merlin modulates its interaction with lipid rafts. Cancer Research 65: 2717-2724."
"116","NF020037","Meng JJ, Rojas M, Bacon WC, et al.  2004.  Analyzing protein-protein interactions of the cytoskeleton:  Special problems and issues, in Epidermal Cells:  Methods and Protocols, K. Turksen, ed. Humana Press, Inc. 289:341-357."
"117","NF020037","Kumar G, Co C, Ip W, et al.  2005.  Cell motility assays on tissue culture dishes via non-invasive confinement and release of cells, Langmuir 21: 9267-9272."
"118","NF020040","Stephens K.  2006.  Neurofibromatosis 1.  In Genomic Disorders: The Genomic Basis of Disease (Lupski JR and Stankiewicz PT Eds).  New Jersey: Humana Press, pp 207-219."
"119","NF020040","Siegel DH and Sybert VP.  2006.  Mosaicism in genetic skin disorders.  Pediatr Dermatol 23:87-92."
"120","NF020040","Lombillo VA and Sybert VP.  2005.  Mosaicism in cutaneous pigmentation.  Curr Opin Pediatr 17:494-500."
"121","NF020040","Stephens K.  2006.  Clinical molecular genetics of the neurofibromatoses.  In Neurocutaneous Syndromes in Children (Curatolo P and Riva D, Eds).  Mariani Foundation Pediatric Neurology Series, n.15.  Montrouge: John Libbey Eurotext."
"122","NF020040","De Raedt T, Stephens M, Heyns I, et al.  2006.  Conservation of hotspots for recombination in low-copy repeats associated with the NF1 microdeletion.  Nat Genet 38:1419-1423."
"123","NF020040","Stephens K, Weaver M, Leppig KA, et al.  Interstitial uniparental isodisomy at clustered breakpoint intervals is a frequent mechanism of NF1 inactivation in myeloid malignancies.  Blood 108:1684-9."
"124","NF020040","Stephens K.  Neurofibromatosis.  In Molecular Pathology in Clinical Practice (Leonard DGB, Ed).  New York: Springer ¿ Verlag (in press)."
"125","NF020042","Thaxton C, Lopera J, Bott M.  2006.  Phosphorylation of the NF2 tumor suppressor in schwann cells is mediated by Cdc42/Pak and requires paxillin binding.  Mol Cell Neurosci 34:231-242.

"
"126","NF020042","Thaxton C, Lopera J, Bott M, et al.  2008.  Neuregulin and laminin stimulate schwannomin phosphorylation in subconfluent schwann cells.  Oncogene 27(19):2705-2715."
"127","NF020042","Iacovelli J, Lopera J, Bott M, et al.  Forskolin reduces p27Kip levels to promote schwann cell proliferation in vitro.  Glia 55(16):1638-1647."
"128","NF020054","Clark MK, Scott SA, Wojtkowiak JW, et al.  2007.  Synthesis, biochemical, and cellular evaluation of farnesyl monophosphate prodrugs as farnesyltransferase inhibitors  J Med Chem 50:3274-82."
"129","NF020054","Donelson JL, Hodges B, MacDougall DD, et al.  2006.  Amide-substituted farnesyl cysteine analogs as inhibitors of human isoprenylcysteine carboxymethyltransferase. Biorg Med Chem Lett 16:4420-3."
"130","NF020054","Dilworth JT, Kraniak JM, Wojtkowiak JW, et al.  2006.  Molecular targets for emerging anti-tumor therapies for neurofibromatosis Type 1. Biochem Pharmacol 72:1485-92.

"
"131","NF020054","Mattingly RR, Kraniak JM, Dilworth JT, et al.  2006.  The MEK inhibitor PD184352/CI-1040 selectively induces apoptosis in malignant schwannoma cell lines. J Pharmacol Exp Ther 316:456-465."
"132","NF020054","Sane KM, Mynderse M, Lalonde DT, et al.  2010.  A novel geranylgeranyl transferase inhibitor in combination with lovastatin inhibits proliferation and induces autophagy in STS-26T MPNST cells.  J Pharmacol Exp Ther. 333(1):23-33.
"
"133","NF020054","Wojtkowiak JW., Gibbs RA., and Mattingly, RR. 2009. Working together: Farnesyl transferase inhibitors and statins block protein prenylation. Mol Cell Pharmacol.1:1-6."
"134","NF020064","Wu M, Wallace MR, and Muir D.  2006.  Nf1 haploinsufficiency augments angiogenesis.  Oncogene 25:2297-2303.
"
"135","NF020064","Wu M, Wallace MR, and Muir D.  2005.  Tumorigenic properties of neurofibromin-deficient Schwann cells in culture and as syngrafts in Nf1 knockout mice.  J Neurosci Res 82:357-367."
"136","NF020064","Perrin GQ, Fishbein L, Thomson SA, et al.  2007.  Plexiform neurofibromas developed in the mouse by xenograft of an NF1 tumor-derived Schwann cell line.  J Neurosci Res 85:1347-57."
"137","NF020064","Perrin GQ, Fishbein L, Thomson SA, et al.  2007.  An orthotopic xenograft model of intraneural NF1 MPNST suggests a potential association between steroid hormones and tumor cell proliferation.  Lab Invest 87:1092-1102."
"138","NF020064","Fishbein L, Zhang X, Fisher LB, et al.  2006.  In vitro studies of steroid hormones in Neurofibromatosis 1 tumors and Schwann cells.  Mol Carcinog 46:512-523."
"139","NF020087","Jindal HK, Yoshinaga K, Seo PS, et al.  2006.  Purification of the NF2 tumor suppressor protein from human erythrocytes.  Can J Neurol Sci 33:394-402."
"140","NF020087","Seo, P., Quinn BJ., Khan AA. et al. 2009. Identification of eythrocyte p55/MPP1 as a binding partner of NF2 tumor suppressor protein/merlin. Exp Biol Med 234:255-262."
"141","NF030006","Lavery W, Hall V, Yager JC, et al.  2007.  Phosphatidyl inositol 3-Kinase and Akt nonautonomously promote perineurial glial growth in Drosophila peripheral nerves.  J Neurosci 27:279-288."
"142","NF030006","
Howlett E, Lin CC, Lavery W, et al.  2008.  A PI3-kinase-mediated negative feedback regulates neuronal excitability.  PLoS Genet 4 e1000277.
"
"143","NF030008","de Bustos C, Diaz de Ståhl T, Piotrowski A, et al. 2006.  Analysis of genomic variation within a region containing complex segmental duplications on 22q11 using high resolution array-CGH. Genomics (in press)."
"144","NF030008","Diaz de Stahl T, Hansson CM, DeBustos C, et al.  2005.  High-resolution array-CGH profiling of germline and tumor- specific copy number alterations on chromosome 22 in patients affected with schwannomas. Hum Genet 118: 35-44."
"145","NF030008","Buckley P, Mantripragada K, Díaz de Ståhl T, et al.  2005.  Identification of genetic aberrationson chromosome 22 outside the NF2 locus in schwannomatosis and neurofibromatosis type. Hum Mut 26: 540-549."
"146","NF030008","Mantripragada KK, Thuresson AC, Piotrowski A, et al.  2005.  Identification of novel deletion breakpoints bordered by segmental duplications in the NF1 locus using high-resolution array-CGH. J Med Genet 43:28-38.

"
"147","NF030008","de Stahl TD, Hartmann C, de Bustos C, et al. 2005.  Chromosome 22 tiling-path array-CGH analysis identifies germ-line- and tumor-specific aberrations in patients with glioblastoma multiforme. Genes Chromosomes Cancer 44:161-169."
"148","NF030008","Ammerlaan A, de Bustos C, Ararou A, et al.  2005.  Localization of a putative low-penetrance ependymoma susceptibility locus to 22q11 using a chromosome 22 tiling-path genomic microarray. Genes Chromosomes Cancer 43:329-38.

"
"149","NF030008","Buckley PG, Jarbo C, Menzel U, et al.  2005.  Comprehensive DNA copy number profiling of meningioma using a chromosome 1 tiling-path microarray identifies novel candidate tumor suppressor loci.  Cancer Res 65:2653-61."
"150","NF030008","Benetkiewicz M, Piotrowski A, Diaz De Stahl T, et al.  2006.  Chromosome 22 array-CGH profiling of breast cancer delimited minimal common regions of genomic imbalances and revealed frequent intra-tumoral genetic heterogeneity.  Int J Oncol 29:935-945."
"151","NF030008","Benetkiewicz M, de Stahl TD, Gordor A, et al.  2006.  Identification of limited regions of genetic aberrations in patients affected with Wilms' tumor using a tiling-path chromosome 22 array.  Int J Cancer (published on line)."
