"","Proposal Number","Publication"
"12","PC000020","Perambakam S, Xie H, Edassery S, et al. 2010. Long-Term Follow-Up of HLA-A2+ Patients with High-Risk, Hormone- Sensitive Prostate Cancer Vaccinated with the Prostate Specific Antigen Peptide Homologue (PSA146-154). Clin Dev Immunol. doi: 10.1155/2010/473453. Epub 2011 Jan 5."
"13","PC000023","Thompson CJ, Tam NNC, Joyce JM, et al.  2002.  Gene expression profiling of changes associated with combined testosterone and estradiol-17beta-induced lateral prostate dysplasia in the noble rats and their response to the pure antiestrogen ICI 182,780.  Endocrinol 143:2093-2105."
"14","PC000023","Murphy LC, Leygue E, Niu Y, et al.  2002.  Relationship of co-regular and estrogen receptor isoform expression to de novo tamoxifen resistance in human breast cancer.  Brit J Cancer 87:1411-1416."
"15","PC000023","Leav I, Lau K-M, Adams JY, et al.  2001.  Comparative studies of estrogen receptor-beta, -alpha and androgen receptor in normal human prostate glands, dysplasia, and in primary and metastic carcinoma.  J Am Pathol 159:79-92."
"16","PC000023","Zhu X, Leav I, Leung YK, et al.  2004.  Dynamic regulation of estrogen receptor-beta expression by DNA methylation during prostate cancer development and metastasis.  Am J Pathol 164:2003-2012."
"17","PC000023","Mobley JA, L¿Esperance JO, Wu M, et al.  2004.  The novel estrogen 17alpha-20Z021-[(4-amino)phenyl]-19-norpregna-1,3,5(10),20-tetraene-3,17beta-diol induces apoptosis in prostate cancer cell lines at nonomolar concentrations in vitro.  Mol Cancer Ther 3:587-595."
"18","PC000023","Pais V, Leav I, Lau K-M, et al.  2003.  Estrogen receptor-beta expression in human testicular germ cell tumors.  Clin Cancer Res 9:4475-4482."
"19","PC000030","Pratap J, Javed A, Languino LR, et al.  2005.  The Runx2 osteogenic transcription factor regulates MMP9 in bone metastatic cancer cells and controls cell invasion.  Mol Cell Biol 25:8581-8591."
"20","PC000030","Goel HL, Breen M, Zhang J, et al.  2005.  Beta-1A integrin expression is required for type 1 insulin-like growth factor receptor mitogenic and transforming activities and localization to focal contacts.  Cancer Res 65:6692-6700."
"21","PC000030","Goel HL, Fornaro M, Moro L, et al.  2004.  Selective modulation of type 1 insulin-like growth factor receptor signaling and functions by beta-1 integrins.  J Cell Biol 166:407-418."
"22","PC000030","Goel HL and Languino LR.  2004.  Integrin signaling in cancer.  Chapter 4.  Molecular Targeting and Signal Transduction (Kumar R, Ed.).  Kluwer Academic Publishers 119:15-33.

"
"23","PC000030","Languino LR.  2004.  Advances in prostate cancer research, Part III.  J Cell Biol 91:647-648."
"24","PC000030","Languino LR.  2004.  Advances in prostate cancer research, Part II.  J Cell Biol 91:431-432."
"25","PC000030","
Languino LR.  2004.  Advances in prostate cancer research, Part I.  J Cell Biol 91:1-2.
"
"26","PC000030","Moro L, Perlino E, Marra E, et al.  2004.  Regulation of beta-1C and beta-1A integrin expression in prostate carcinoma cells.  
J Biol Chem 279:1692-1702.
"
"27","PC000030","Fornaro M, Plescia J, Cheang S, et al.  2003.  Fibronectin protects prostate cancer cells from tumor necrosis factor alpha-induced apoptosis via the AKT/survivin pathway.  J Biol Chem 278:50402-50411."
"28","PC000030","Goel HL, Moro L, King M, et al.  2006.  The beta-1 integrins modulate cell adhesion by regulating IGF-II levels in the microenvironment.  Cancer Res 66:331-42."
"29","PC000030","Simon EL, Goel HL, Teider N, et al.  2005.  High dose fractionated ionizing radiation inhibits prostate cancer cell adhesion and beta-1 integrin expression.  Prostate 64:83-91."
"30","PC000030","Manes T, Zheng D-Q, Loftus J, et al.  2003.  Alpha-v-beta-3 integrin expression upregulates cdc2 which modulates cell migration.  J Cell Biol 164:817-826."
"31","PC001007","Khatri A, and Russell PJ.  2007.  Targeted gene directed enzyme prodrug therapies to tackle diversity and aggression of late stage prostate cancer.  Discov Med 7(37):39-45."
"32","PC001007","Khatri A, Husaini Y, Ow K, et al. 2009.  Cytosine Deaminase-Uracil Phosphoribosyltransferase and Interface Marked by Specific Modulation in Serum Cytokines Interleukin (IL)-12 and IL-18: A Multimodal Anticancer Interface Marked by Specific Modulation in Serum Cytokines.  Clin Cancer Res 15:2323-2334."
"33","PC001007","Khatri A, Russell PJ, Zhang B, et al.  2005.  Combination of cytosine deaminase with uracil phosphoribosyl transferase leads to local and distant bystander effects against RM1 prostate cancer in C57BL/6 mice.  J Gene Med 7(8):1129-1130."
"34","PC001007","Russell PJ, and Khatri A.  2006.  Novel gene-directed enzyme prodrug therapies against prostate cancer.  Expert Opin Investig Drugs 15(8):947-961."
"35","PC001007","Khatri A, Zhang B, Doherty E, et al.  2006.  Combination of cytosine deaminase with uracil phosphoribosyl transferase leads to local and distant bystander effects against prostate cancer in C57BL/6 mice.  J Gene Med 8(9):1086-1096."
"36","PC001008","Tantivejkul K, Loberg RD, Mawocha SC, et al.  2005.  PAR1-mediated NFkappaB activation promotes survival of prostate cancer cells through a Bcl-xL-dependent mechanism.  J Cell Biochem 96(3):641-652."
"37","PC001019","hiomi N, Cui XM, Yamamoto T, Saito T, Shuler CF. 2006. Inhibition of SMAD2 expression prevents murine palatal fusion.  Dev Dyn 235:1785-93.

"
"38","PC001035","Williams K and Hayward SW (2003): Stem cells in glandular organs. In: Stem Cells Handbook. Sell S, ed. Humana Press."
"39","PC001035","Williams, K., Fernandez, S., Stien, X., Ishii, K., Love, H.D., Lau, Y.F., Roberts, R.L., Hayward, S.W. 2005. Unopposed c-MYC expression in benign prostatic epithelium causes a cancer phenotype. Prostate. 63(4):369-384."
"40","PC001040","Ali JH, WB Wang, M Zevallos, and RR Alfano, 2004.  Near infrared spectroscopy and imaging to probe differences in water content in normal and cancer human prostate tissues.  TCRT (Technology in Cancer Research and Treatment) 3:491-498."
"41","PC001040","Pu Y, WB Wang, GC Tang, et al., 2005.  Spectral polarization imaging of human prostate cancer tissue using near-infrared receptor-targeted contrast agent.  TCRT (Technology in Cancer Research and Treatment) 4:429-436."
"42","PC001041","Khatri A, Zhang B, Doherty E, Chapman J, Ow K, Pwint H, Martiniello-Wilks R, Russell PJ. 2006. Combination of cytosine deaminase with uracil phosphoribosyl transferase leads to local and distant bystander effects against RM1 prostate cancer in mice.J Gene Med. 2006 Sep;8(9):1086-96"
"43","PC001052","Lu S, Hoestje SM, Choo EM, Epner DE (2002): Methionine restriction induces apoptosis of prostate cancer cells via the c-Jun N-terminal kinase-mediated signaling pathway. Cancer Lett 179:51-8."
"44","PC001052","Li M, Ittmann MM, Rowley DR, Knowlton AA, Vaid AK, Epner DE (2003): Glutathione S-transferase pi is upregulated in the stromal compartment of hormone independent prostate cancer. Prostate 56:98-105."
"45","PC001052","Lu S, Hoestje SM, Choo E, Epner DE (2003): Induction of caspase-dependent and -independent apoptosis in response to methionine restriction. Int J Oncol 22:415-20."
"46","PC001052","Lu S, Chen GL, Ren C, Kwabi-Addo B, Epner DE (2003): Methionine restriction selectively targets thymidylate synthase in prostate cancer cells. Biochem Pharmacol 66:791-800."
"47","PC001053","Shafer-Weaver KA1, Watkins SK, Anderson MJ, et al.  2009.  Immunity to murine prostatic tumors: continuous provision of T-cell help prevents CD8 T-cell tolerance and activates tumor-infiltrating dendritic cells.  Cancer Res 69(15):6256-6264."
"48","PC001053","Anderson MJ, Shafer-Weaver K, Greenberg NM, et al.  2007.  Tolerization of tumor-specific T cells despite efficient initial priming in a primary murine model of prostate cancer.  J Immunol 178:1268-1276."
"49","PC001053","Watkins SK1, Zhu Z, Riboldi E, et al.  2011.  FOXO3 programs tumor-associated DCs to become tolerogenic in human and murine prostate cancer.  J Clin Invest 121(4):1361-1372."
"50","PC001059","Zhao H, and BL Pagenkopf, 2003.  Stereospecific and efficient alkynylation at the more hindered carbon of trisubstituted epoxides.  Chem. Commun. :2592-3.

"
"51","PC001059","Yu M, and BL Pagenkopf, 2003.  Allylation of donor-acceptor cyclopropanes.  Org. Lett. 5:4639-40.

"
"52","PC001059","Gorman JST, ST Iacono, and BL Pagenkopf, 2004.  Selective oxidation of zirconocyclopentenes via organoboranes.  Org. Lett. 6:67-70."
"53","PC001059","Engers DW, MJ Bassindal, and BL Pagenkopf, 2004.  Synthesis of the C(1)-C(12) segment of peloruside A by an alpha-benzyloxymethyl ketone aldol strategy.  Org. Lett. 6:663-6."
"54","PC001059","Yu M, D Pantos, JL Sessler, and BL Pagenkopf, 2004.  Synthesis of 2,2'-bipyrroles and 2,2'-thienylpyrroles from donor-acceptor cyclopropanes and 2-cyanoheteroles.  Org. Lett. 6:1057-9.

"
"55","PC001059","Cong-Dung Le J, and BL Pagenkopf, 2004.  Asymmetric hydrogenation of Ortho-alkoxy substituted arylenamides.  J. Org. Chem. 69:4177-80."
"56","PC001059","Yu M, Pagenkopf BL (2002): The Regioselective Mono-deprotection of 1,3-Dioxa-2,2-(di-tert-butyl)-2- silacyclohexanes with BF(3).SMe(2). J Org Chem 67:4553-8."
"57","PC001059","Yu M, Pagenkopf BL (2003): Formal [3+2] cycloadditions of donor-acceptor cyclopropanes and nitriles. J Am Chem Soc 125:8122-3."
"58","PC001059","Reichwein JF, Pagenkopf BL (2003): A new Horner-Wadsworth-Emmons type coupling reaction between nonstabilized beta-hydroxy phosphonates and aldehydes or ketones. J Am Chem Soc 125:1821-4."
"59","PC001059","Reichwein JF, Pagenkopf BL (2003): New mixed phosphonate esters by transesterification of pinacol phosphonates and their use in aldehyde and ketone coupling reactions with nonstabilized phosphonates. J Org Chem 68:1459-63."
"60","PC001059","Yu M, and BL Pagenkppf, 2003.  A powerful new strategy for diversity-oriented synthesis of pyrroles from donor-acceptor cyclopropanes and nitriles.  Org. Lett. 5:5099-101.

"
"61","PC001076","Stephan DA, Howell GR, Teslovich TM, et al.  2002.  Physical and transcript map of the hereditary prostate cancer region at Xq27.  Genomics 79:41-50."
"62","PC001078","Siwoski A, Ishkanian A, Garnis C, et al.  2002.  An efficient method for the assessment of DNA quality of archival microdissected specimens. Mod Path 15:889-892."
"63","PC001082","Kaliberov SA, Buchsbaum DJ, Gillespie GY, et al. 2002. Adenovirus-mediated transfer of BAX by the vascular endothelial growth factor promoter induces apoptosis in lung cancer cells. Molecular Therapy, 6(2):190-198.
"
"64","PC001082","Arafat WO, Buchsbaum DJ, Gomez-Navarro J, et al. 2003. An adenovirus encoding proapoptotic Bax synergistically radiosensitizes malignant glioma. Int. J. Radiat. Oncol. Biol. Phys., 55(4):1037-50.
"
"65","PC001101","Yu X, Li P, Roeder RG, and Wang Z. 2001.  Inhibition of androgen receptor-mediated transcription by the amino-terminal enhancer of split, a Groucho/TLE family protein.  Mol Cell Biol 21:4614-4625."
"66","PC001101","Liu GZ, Wang H, Wang Z (2003): Identification of a highly conserved domain in the androgen receptor that suppresses the DNA-binding domain-DNA interactions. J Biol Chem 278:14956-60."
"67","PC001101","Li P, Yu X, Ge K, Melamed J, Roeder RG, Wang Z (2002): Heterogeneous expression and functions of androgen receptor co-factors in primary prostate cancer. Am J Pathol 161:1467-74."
"68","PC001101","Gao S, Liu GZ, and Wang Z. 2004. Modulation of androgen receptor-dependent transcription by resveratrol and genistein in prostate cancer cells.  The Prostate 59:214-225."
"69","PC001101","Hosohata K, Li P, Hosohata Y, Qin J, Roeder RG, Wang Z (2003): Purification and identification of a novel complex which is involved in androgen receptor-dependent transcription. Mol Cell Biol 23:7019-29."
"70","PC001104","Lee SO, Lou W, Johnson CS, et al.  2004.  Interleukin-6 protects LNCaP cells from apoptosis induced by androgen deprivation through the Stat3 pathway.  Prostate 60:178-186.

"
"71","PC001104","Lee SO, Lou W, Qureshi KM, et al.  2004.  RNA interference targeting Stat3 inhibits growth and induces apoptosis of human prostate cancer cells.  Prostate 60(4):303-309."
"72","PC001104","Tan DF, Wu XX, Hou M, et al.  2005.  Interleukin-6 polymorphism is associated with recurrent prostate cancer.  J Urol 174:753-756."
"73","PC001104","Lee SO, Lou W, Nadiminty N, et al.  2005.  Requirement for NF-kappa-B in interleukin-4 induced androgen receptor activation in prostate cancer cells.  Prostate 64:160-167."
"74","PC001104","Lee SO, Nadiminty N, Wu XX, et al.  2005.  Selenium disrupts estrogen signaling by altering estrogen receptor expression and ligand binding in human breast cancer cells.  Cancer Res 65:3487-3492."
"75","PC001104","Lee SO, Nadiminty N, Wu XX, et al.  2005.  Selenium disrupts estrogen signaling by altering estrogen receptor expression and ligand binding in human breast cancer cells. Cancer Res 65(8):3487-3492."
"76","PC001104","DeMiguel F, Lee SO, Lou W, Xiao X, Pflug BR, Nelson JB, Gao AC (2002): Stat3 enhances the growth of LNCaP human prostate cancer cells in intact and castrated male nude mice. Prostate 52:123-9."
"77","PC001104","Lee SO, Lou W, Hou M, de Miguel F, Gerber L, Gao AC (2003): Interleukin-6 promotes androgen-independent growth in LNCaP human prostate cancer cells. Clin Cancer Res 9:370-6."
"78","PC001104","Leman ES, DeMiguel F, Gao AC, Getzenberg RH (2003): Regulation of androgen and vitamin d receptors by 1,25-dihydroxyvitamin D3 in human prostate epithelial and stromal cells. J Urol 170:235-40."
"79","PC001104","Wei D, Le X, Zheng L, Wang L, Frey JA, Gao AC, Peng Z, Huang S, Xiong HQ, Abbruzzese JL, Xie K (2003): Stat3 activation regulates the expression of vascular endothelial growth factor and human pancreatic cancer angiogenesis and metastasis. Oncogene 22:319"
"80","PC001104","Lee SO, Lou W, Hou M, Onate SA, Gao AC (2003): Interleukin-4 enhances prostate-specific antigen expression by activation of the androgen receptor and Akt pathway. Oncogene 22:7981-8."
"81","PC001104","Demiguel F, Lee SO, Onate AA, et al.  2003.  Stat3 enhances transactivation of steroid hormone receptors.  Biomed Central, Nuclear Receptor 1:3.
"
"82","PC001104","Nadiminty N, Lou W, Lee SO, et al.  2006.  Stat3 activation of NF-kB p100 processing involves CBP/p300 mediated acetylation. Proc Natl Acad Sci 103(19):7264-7269."
"83","PC001118","Singh S, Singh UP, Grizzle WE, and Lillard, Jr JW.  2004.  CXCL12-CXCR4 interactions modulate prostate cancer cell migration, metalloproteinase expression and invasion.  Lab Invest 84:1666-76."
"84","PC001118","Singh S, Singh UP, Grizzle WE, and Lillard, Jr JW.  2004.  Expression and functional role of CCR9 in prostate cancer cell migration and invasion.  Clin. Cancer Res. 10:8743-50."
"85","PC001122","Grossmann ME, Madden BJ, Gao F, et al. 2004. Proteomics shows Hsp70 does not bind peptide sequences indiscriminately in vivo. Experimental Cell Research 297:108-117."
"86","PC001122","Wang MH, Grossmann ME, and Young CY. 2004. Forced expression of heat-shock protein 70 increases the secretion of Hsp70 and provides protection against tumour growth. British Journal of Cancer 90(4):926-931.

"
"87","PC001138","Cha TL, L Qiu, Y Wen, and MC Hung, 2005.  Emodin downregulates androgen receptor and inhibits prostate cancer cell growth.  Cancer Res. 65:2287-2295."
"88","PC001138","Wen Y, Giri D, Yan DH, et al.  2003.  Prostate specific antitumor activity by probasin promoter-directed p202 expression.  Mol Carcino 37:130-137."
"89","PC001142","Mamoune A, Luo JH, Lauffenburger DA, Wells A (2003): Calpain-2 as a target for limiting prostate cancer invasion. Cancer Res 63:4632-40."
"90","PC001142","Glading A, Lauffenburger DA, Wells A (2002): Cutting to the chase: calpain proteases in cell motility. Trends Cell Biol 12:46-54."
"91","PC001142","Wells A, and JR Grandis, 2003.  Phospholipase C-gammal in tumor progression.  Clin. & Exper. Metast. 20:285-290."
"92","PC001142","Wells A, Kassis J, Solava J, Turner T, Lauffenburger DA (2002): Growth factor-induced cell motility in tumor invasion. Acta Oncol 41:124-30."
"93","PC001147","Halpern EJ, JR Ramey, SE Strup, et al. 2005.  Detection of prostate cancer with contrast enhanced sonography using intermittent harmonic imaging.  Cancer, 104:2372-83.

"
"94","PC001149","Lotan TL, Lyon M, Huo D, et al.  2007.  Up-regulation of MKK4, MKK6 and MKK7 during prostate cancer progression:  an important role for SAPK signaling in prostatic neoplasia.  Journal of Pathology 212:386-94.

"
"95","PC001156","Lassus P, Opitz-Araya X, Lazebnik Y (2002): Requirement for caspase-2 in stress-induced apoptosis before mitochondrial permeabilization. Science 297:1352-4."
"96","PC001156","Lassus P, Rodriguez J, Lazebnik Y (2002): Confirming specificity of RNAi in mammalian cells. Sci STKE 2002:PL13."
"97","PC001172","Von Seggern DJ, HE Aguilar, K Kinder, et al., 2003.  In vivo transduction of photoreceptors or ciliary body by intravitreal injection of pseudotyped adenovirus vectors.  Molecular Therapy 7:27-34.

"
"98","PC001172","Wu E, SA Trauger, L Pache, et al., 2004.  Membrane cofactor protein Is a receptor for adenoviruses associated with epidemic keratoconjunctivitis.  Journal of Virology, 78:3897-905."
"99","PC001174","Guan Z Kukoyi B Feng P Kennedy MC Franklin RB Costello LC. (2003):  Kinetic identification of a mitochondrial zinc uptake transporter in prostate cells. J. Inorg. Biochem.  97:199-206."
"100","PC001174","Feng P, Li TL, Guan ZX, Franklin RB, Costello LC (2002): Direct effect of zinc on mitochondrial apoptogenesis in prostate cells. Prostate 52:311-8."
"101","PC001174","Franklin RB, Ma J, Zou J, et al.  2003.  HZIP1 is a major zinc uptake transporter for the accumulation of zinc in prostate cells.  J. of Inorganic Biochemistry, 96:435-442."
"102","PC001174","Feng P, Li TL, Guan ZX, et al.  2003.  Effect of zinc on prostatic tumorigenicity in nude mice.  Annals of the New York Academy of Sciences, 1010:316-320."
"103","PC001174","Costello LC, Guan ZX, Franklin RB et al.  2004.  Metallothionein can function as a chaperone for zinc uptake transport into prostate and liver mitochondria.  J. Inorganic Biochem. 98:664-666."
"104","PC001174","Costello LC, Feng P, Milon B, et al.  2004.  The role of zinc in the pathogenesis and treatment of prostate cancer:  critical issues to resolve.  Prostate Cancer and Prostatic Disease, 7:111-117.

"
"105","PC001186","Knowles LM, Axelrod F, Browne CD, et al.  2004.  A fatty acid synthase blockade induces tumor cell cycle arrest by down regulating Skp2.  J Biol Chem 279: 30540-30545."
"106","PC001186","Kridel SJ, Axelrod F, Rozenkrantz N, et al.  2004.  Orlistat is a novel inhibitor of fatty acid synthase with antitumor activity.  Cancer Res 64:2070-2075."
"107","PC001193","Odedina FT, Scrivens J, Emanuel A., et. al. 2004.  A focus group study of factors influencing African- American men's prostate cancer screening behavior.  J. Natl. Med. Assoc., 96:780-8."
"108","PC001193","Odedina FT, Ogunbiyi F, and Ukoli F.  2006.  Prostate cancer burden in African Americans:  Can the origin be traced to ancestral African relatives?  J Natl Med Assoc 98(4):539-543."
"109","PC001193","Odedina FT, Scrivens J, Emanuel A, et al.  2005.  Gift of healthy life for the men in our life.  People in the Community:  Health. www.peopleinthecommunity.com."
"110","PC001193","Odedina FT, Warrick C, Vilme H, et al.  2008.  Pharmacist as health educators and risk communicators in the early detection of prostate cancer. J Soc Adm Pharm 4:59-66."
"111","PC001204","Sivashanmugam P, L Tang, and Y Daaka, 2004.  Interleukin 6 mediates the lysophosphatidic acid-regulated cross talk between stromal and epithelial prostate cancer cells.  J. Biol. Chem., 
279:21154-9"
"112","PC001204","Raj GV, JA Sekula, R Guo, et al., 2004.  Lysophosphatidic acid promotes survival of androgen-insensitive prostate cancer PC3 cells via activation of NF-kappaB.  Prostate, 61:105-13.

"
"113","PC001204","Yowell CW, and Y Daaka, 2002.  G protein-coupled receptors provide survival signals in prostate cancer.  Clinical Prostate Cancer, 1:177-181.

"
"114","PC001204","Daaka Y, 2004.  G proteins in cancer:  The prostate cancer paradigm.  Sci. STKE (216) RE2.

"
"115","PC001204","Kasbohm EA, Guo R, Yowell CW, Bagchi G, Kelly P, Arora P, Casey PJ, Daaka Y. 2005. Androgen receptor activation by G(s) signaling in prostate cancer cells. J Biol Chem 280(12):11583-9."
"116","PC001204","Daaka Y (2002): Mitogenic action of LPA in prostate. Biochim Biophys Acta 1582:265-9."
"117","PC001204","Raj GV, Barki-Harrington L, Kue PF, Daaka Y (2002): Guanosine phosphate binding protein coupled receptors in prostate cancer: a review. J Urol 167:1458-63."
"118","PC001204","Kue PF TJHLPRUADY (2002): Lysophosphatidic acid-regulated mitogenic ERK signaling in androgen-insensitive prostate cancer PC-3 cells.  Intl. J. Cancer 102:572-9."
"119","PC001204","Guo R, Kasbohm EA, Arora P, Sample CJ, Baban B, Sud N, Sivashanmugam P, Moniri NH, Daaka Y. 2006. Expression and function of lysophosphatidic acid LPA1 receptor in prostate cancer cells. Endocrinology 147(10):4883-92."
"120","PC001204","Taub JS, R Guo, LM Leeb-Lundberg, et al., 2003.  Bradykinin receptor subtype 1 expression and function in prostate cancer. Cancer Res. 63:2037-2041."
"121","PC001209","Deroanne C, Vouret-Craviari V, Wang B, et al.  2003.  EphrinA1 inactivates integrin-mediated vascular smooth muscle cell spreading via the Rac/PAK pathway.  J Cell Sci 116:1367-1376."
"122","PC001209","Myshkin E and Wang B.  2003.  Chemometrical classification of ephrin ligands and Eph kinases using GRID/CPCA approach.  J Chem Inf Comput Sci 43:1004-1010."
"123","PC001209","Han DC, Shen TL, Miao H, et al.  2002.  EphB1 associate with Grb7 and regulate cell migration.  Journal of Biological Chemistry 277:45655-45661."
"124","PC001209","Zantek ND, Walker-Daniels J, Stewart J, et al.  2001.  MCF 10A NeoST:  A new cell system for studying cell-ECM and cell-cell interactions in breast cancer.  Clinical Cancer Research 7:3640-3648."
"125","PC001209","Guo H, Miao H, Gerber L, et al.  2006.  Disruption of EphA2 kinase led to increased susceptibility to skin carcinogenesis.  Cancer Research 66:7050-7058."
"126","PC001209","Lakhe-Reddy S, Khan S, Konieczkowski M, et al.  2006.  beta 8 integrin binds Rho GDP dissociation inhibitor-1 and activates Rac1 to inhibit mesangial cell myofibroblast differentiation.  J Biol Chem 281:19688-99."
"127","PC001209","Iida H, Honda M, Kawai HF, et al.  2005.  Ephrin-A1 expression contributes to the malignant characteristics of - fetoprotein-producing hepatocellular carcinoma.  Gut 54:843-851."
"128","PC001209","Miao H, Wei B-R, Peehl DM, et al.  2001.  EphA kinase activation inhibits Ras/MAPK pathway.  Nature Cell Biology 3:527-530."
"129","PC001209","Miao H, Burnett E, Kinch M, et al.  2000.  Activation of EphA2 kinase suppresses integrin function and causes focal-adhesion-kinase dephosphorylatation.  Nature Cell Biology 2:62-69."
"130","PC001209","Jarad G, Wang B, Khan S, et al.  2002.  Fas activation induces renal tubular epithelial cell b8 integrin expression and function in the absence of apoptosis.  J Biol Chem 277:47826-33."
"131","PC001209","Miao H, Guan J-L, Shen TL, et al.  2005.  Inhibition of integrin-mediated cell adhesion and spreading, but not migration requires the catalytic activity of EphB3 kinase.  Journal of Biological Chemistry 280:923-932.  (Published online November 2004)."
"132","PC001209","Miao H, Nickel CH, Cantley LG, et al.  2003.  EphA kinase activation regulates HGF-induced epithelial branching morphogenesis.  J Cell Biol 162:1281-1292."
"133","PC001209","Khan S, Koepke A, Jarad G, et al.  2001.  Apoptosis and JNK activation are differentially regulated by Fas expression level in renal tubular epithelial cells.  Kidney International 60:65-76."
"134","PC001212","Glinsky GV, Glinskii AB, Stephenson AJ, et al.  2004.  Gene expression profiling predicts clinical outcome of prostate cancer.  J Clin Investig 113:913-923."
"135","PC001212","Yang M, Li L, Jiang P, et al.  2003.  Dual-color fluorescence imaging distinguishes tumor cells from induced host angiogenic vessels and stromal cells.  Proc Natl Acad Sci 100:14259-14262."
"136","PC001212","Yamamoto N, Jiang P, Yang M, et al.  2004.  Cellular dynamics visualized in live cells in vitro and in vivo by differential dual-color nuclear-cytoplasmic fluorescent-protein expression.  Cancer Res 64:4251-4256."
"137","PC001212","Glinskii AB, Smith BA, Jiang P, et al.  2003.  Viable circulating metastatic cells produced in orthotopic but not ectopic prostate cancer models.  Cancer Res 63:4239-4243."
"138","PC001212","Berezovskaya O, Schimmer AD, Glinskii AB, et al.  2005. Increased expression of apoptosis inhibitor protein XIAP contributes to anoikis resistance of circulating human prostate cancer metastasis precursor cells.  Cancer Res 65(6):2378-2386."
"139","PC001212","Burton DW, Geller J, Yang M, et al.  2005.  Monitoring of skeletal progression of prostate cancer by GFP imaging, X-ray, and serum OPG and PTHrP. Prostate 62(3):275-281."
"140","PC001212","Yang M, Jiang P, Yamamoto N, et al.  2005.  Real-time whole-body imaging of an orthotopic metastatic prostate cancer model expressing red fluorescent protein. Prostate 62(4):374-379."
"141","PC001212","Deftos LJ, Barken I, Burton DW, et al.  2005. Direct evidence that PTHrP expression promotes prostate cancer progression in bone. Biochem Biophys Res Commun 327(2):468-472."
"142","PC001228","Poehlein CH, Ruttinger D, Ma J, et al.  2005.  Immunotherapy of melanoma: The good, the bad, and the future.  Curr Oncol Rep 7:383-392."
"143","PC001228","Fox BA.  2005.  Review of - Melanoma vaccines: What we know so far.  Oncology 19:112-115."
"144","PC001228","Jensen SM and Fox BA.  2005.  Adoptive cellular immunotherapy of cancer: A three-signal paradigm for translating recent developments into improved treatment strategies.  In: Tumor Immunology and Cancer Vaccines, (Khleif S, Ed.)."
"145","PC001228","Ma J, Poehlein CH, Jensen S, et al.  2004.  Manipulating the host response to autologous tumor vaccines.  Dev Biol Basel 116: 93-107."
"146","PC001229","Chowning SL, Susil RC, Krieger A, Fichtinger G, Whitcomb LL, Atalar E. 2006. A preliminary analysis and model of prostate injection distributions. Prostate. 66(4):344-357."
"147","PC001229","Krieger A, Susil RC, Ménard C, et al.  2005. Design of a novel MRI compatible manipulator for image guided prostate interventions. IEEE Trans Biomed Eng  52(2):306-313."
"148","PC001229","Susil RC, Ménard C, Krieger A, et al. 2006.  Transrectal prostate biopsy and fiducial marker placement in a standard 1.5T magnetic resonance imaging scanner. J Urol 175(1):113-120.  "
"149","PC001229","Ménard C, Susil RC, Choyke P,et al. 2005. An interventional magnetic resonance imaging technique for the molecular characterization of intraprostatic dynamic contrast enhancement.  Mol Imaging 4(1):63-66."
"150","PC001229","Atalar E, Ménard C.  2005. MR-guided interventions for prostate cancer. Magn Reson Imaging Clin N Am 13(3):491-504."
"151","PC001229","Susil RC Krieger A Derbyshire JA Tanacs A Whitcomb LL Fichtinger G Atalar E (2003): A system for MRI guided prostate interventions. Radiology 228:886-94."
"152","PC001229","Yung AC Oner AY Serfaty JM Feneley M Yang X Atalar E (2003): Phased-array MRI of canine prostate using endorectal and endourethral coils. Magn Reson Med.  49:710-5."
