,citations,citations_rank,news,news_rank,twitter,twitter_rank,program,DOI
7563,6.0,2280.0,1.0,200.0,20.0,127.0,PCRP,10.1073/pnas.1802354115
8227,,,1.0,200.0,,,PCRP,10.1073/pnas.251140998
7212,13.0,1757.0,1.0,200.0,58.0,44.0,PCRP,10.1158/2159-8290.cd-16-0960
8240,,,1.0,200.0,1.0,1014.0,PCRP,10.1023/a:1021911517010
7208,3.0,2508.0,1.0,200.0,,,PCRP,10.1117/1.jbo.21.6.066019
8285,6.0,2280.0,1.0,200.0,1.0,1014.0,PRORP,10.1186/s13075-015-0840-x
8316,27.0,1094.0,1.0,200.0,5.0,406.0,PRORP,10.1002/stem.1353
7297,3.0,2508.0,1.0,200.0,3.0,588.0,PCRP,10.1158/1078-0432.ccr-17-1100
7298,17.0,1526.0,1.0,200.0,2.0,766.0,PCRP,10.1002/pros.23024
7185,2.0,2592.0,1.0,200.0,4.0,473.0,PCRP,10.2147/ott.s105725
7299,2.0,2592.0,1.0,200.0,3.0,588.0,PCRP,10.1038/pcan.2014.44
8041,,,1.0,200.0,,,PCRP,10.1021/jm010985a
7182,,,1.0,200.0,22.0,118.0,PCRP,10.1038/s41388-018-0450-6
7509,,,1.0,200.0,3.0,588.0,PCRP,10.1038/s41388-019-0768-8
7228,8.0,2111.0,1.0,200.0,4.0,473.0,PCRP,10.1053/j.gastro.2016.06.004
7503,9.0,2032.0,1.0,200.0,2.0,766.0,PCRP,10.1093/nar/gkw761
7502,16.0,1577.0,1.0,200.0,44.0,56.0,PCRP,10.7554/elife.20183
7159,10.0,1962.0,1.0,200.0,4.0,473.0,PCRP,10.1200/jco.2015.62.5988
8460,36.0,833.0,1.0,200.0,1.0,1014.0,PRORP,10.1016/j.bjps.2014.01.031
8477,11.0,1874.0,1.0,200.0,5.0,406.0,PRORP,10.1002/adhm.201400458
7402,8.0,2111.0,1.0,200.0,4.0,473.0,PCRP,10.1158/1541-7786.mcr-17-0132
7154,9.0,2032.0,1.0,200.0,4.0,473.0,PCRP,10.1158/0008-5472.can-15-2142
8384,127.0,183.0,1.0,200.0,,,PRORP,10.1089/ten.teb.2012.0012
26,,,1.0,200.0,,,NFRP,10.1212/01.wnl.0000250332.89420.e6
7051,55.0,526.0,1.0,200.0,3.0,588.0,PCRP,10.1158/1078-0432.ccr-14-1358
5096,,,1.0,200.0,4.0,473.0,PCRP,10.1016/j.ijrobp.2015.11.009
3988,,,1.0,200.0,1.0,1014.0,PCRP,10.1172/jci31494
4041,11.0,1874.0,1.0,200.0,,,PCRP,10.1016/j.juro.2009.12.003
4054,17.0,1526.0,1.0,200.0,11.0,229.0,PCRP,10.1158/1940-6207.capr-10-0071
4086,,,1.0,200.0,1.0,1014.0,PCRP,10.1001/jama.299.23.2760
4139,14.0,1704.0,1.0,200.0,2.0,766.0,PCRP,10.1017/s1368980009005047
4186,1047.0,3.0,1.0,200.0,,,PCRP,10.1126/science.1168175
4313,56.0,516.0,1.0,200.0,,,PCRP,10.1158/1055-9965.epi-10-0555
4603,,,1.0,200.0,,,PCRP,10.1111/j.1743-6109.2008.01195.x
4661,295.0,51.0,1.0,200.0,,,PCRP,10.1126/science.1189992
4700,13.0,1757.0,1.0,200.0,,,PCRP,10.1016/j.juro.2011.09.040
4723,47.0,623.0,1.0,200.0,,,PCRP,10.1073/pnas.1200053109
4756,56.0,516.0,1.0,200.0,,,PCRP,10.1016/j.eururo.2011.12.020
5168,219.0,94.0,1.0,200.0,50.0,51.0,PCRP,10.1200/jco.2010.31.5226
3845,,,1.0,200.0,,,PCRP,10.1158/0008-5472.can-06-0516
5170,,,1.0,200.0,12.0,209.0,PCRP,10.1001/jama.2011.879
5221,140.0,160.0,1.0,200.0,3.0,588.0,PCRP,10.1093/jnci/djt369
5283,50.0,578.0,1.0,200.0,13.0,193.0,PCRP,10.1200/jco.2014.55.3875
5294,62.0,456.0,1.0,200.0,,,PCRP,10.1111/j.1600-065x.2012.01093.x
5336,54.0,536.0,1.0,200.0,5.0,406.0,PCRP,10.1021/nn300819s
5348,235.0,84.0,1.0,200.0,16.0,157.0,PCRP,10.1084/jem.20112408
5425,40.0,759.0,1.0,200.0,,,PCRP,10.1016/j.nano.2009.07.008
5428,36.0,833.0,1.0,200.0,,,PCRP,10.1016/j.biomaterials.2013.01.062
5434,40.0,759.0,1.0,200.0,,,PCRP,10.1016/j.actbio.2012.04.042
5436,69.0,393.0,1.0,200.0,,,PCRP,10.1016/j.nano.2010.01.012
5487,60.0,481.0,1.0,200.0,,,PCRP,10.1172/jci66666
5531,63.0,442.0,1.0,200.0,1.0,1014.0,PCRP,10.1158/1078-0432.ccr-11-2090
3965,88.0,288.0,1.0,200.0,,,PCRP,10.1016/j.jss.2009.02.023
3757,,,1.0,200.0,,,PCRP,10.1373/clinchem.2007.091470
5589,158.0,134.0,1.0,200.0,15.0,169.0,PCRP,10.1200/jco.2014.55.3487
813,9.0,2032.0,1.0,200.0,3.0,588.0,TSCRP,10.1074/mcp.m115.055079
427,35.0,861.0,1.0,200.0,4.0,473.0,NFRP,10.1016/j.celrep.2013.12.001
445,5.0,2368.0,1.0,200.0,,,NFRP,10.1038/onc.2016.269
448,3.0,2508.0,1.0,200.0,13.0,193.0,NFRP,10.1038/nn.4185
465,12.0,1814.0,1.0,200.0,4.0,473.0,NFRP,10.1016/j.trsl.2014.12.007
474,6.0,2280.0,1.0,200.0,1.0,1014.0,NFRP,10.1093/hmg/ddv635
480,,,1.0,200.0,,,NFRP,10.1038/s41388-018-0663-8
486,,,1.0,200.0,,,NFRP,10.1212/wnl.54.8.1646
516,,,1.0,200.0,,,NFRP,10.1126/science.286.5447.2172
564,,,1.0,200.0,,,NFRP,10.1212/01.wnl.0000179303.72345.ce
698,10.0,1962.0,1.0,200.0,,,TSCRP,10.1016/j.ajo.2011.10.033
701,,,1.0,200.0,21.0,121.0,TSCRP,10.1126/science.1259472
737,39.0,773.0,1.0,200.0,1.0,1014.0,TSCRP,10.1371/journal.pgen.1003279
898,91.0,273.0,1.0,200.0,,,PCRP,10.1172/jci44325
3746,,,1.0,200.0,,,PCRP,10.1158/0008-5472.can-07-5616
1237,,,1.0,200.0,,,PCRP,10.1095/biolreprod.104.036772
1481,,,1.0,200.0,,,PCRP,10.1073/pnas.0832308100
1713,7.0,2194.0,1.0,200.0,1.0,1014.0,PCRP,10.1038/cdd.2014.146
2007,,,1.0,200.0,,,PCRP,10.1007/s10552-007-9036-2
2131,,,1.0,200.0,,,PCRP,10.1186/1471-2105-6-306
2385,,,1.0,200.0,1.0,1014.0,PCRP,10.1038/nm972
3258,,,1.0,200.0,1.0,1014.0,PCRP,10.1359/jbmr.0707onj
3325,374.0,27.0,1.0,200.0,1.0,1014.0,PCRP,10.1038/nature08361
3417,,,1.0,200.0,1.0,1014.0,PCRP,10.1093/carcin/bgl241
3438,,,1.0,200.0,,,PCRP,10.1016/j.jmb.2006.01.089
3596,11.0,1874.0,1.0,200.0,1.0,1014.0,PCRP,10.2967/jnumed.112.105007
3699,,,1.0,200.0,,,PCRP,10.1073/pnas.0601463103
5581,79.0,325.0,1.0,200.0,,,PCRP,10.1200/jco.2011.36.5791
5601,54.0,536.0,1.0,200.0,6.0,363.0,PCRP,10.1038/pcan.2012.20
7016,89.0,285.0,1.0,200.0,2.0,766.0,PCRP,10.1186/s12915-014-0078-0
6767,8.0,2111.0,1.0,200.0,,,PCRP,10.1002/adhm.201300512
6556,17.0,1526.0,1.0,200.0,1.0,1014.0,PCRP,10.1021/mp4004282
6564,2.0,2592.0,1.0,200.0,2.0,766.0,PCRP,10.1038/s41388-018-0318-9
6574,63.0,442.0,1.0,200.0,22.0,118.0,PCRP,10.1038/ng.3385
161,,,1.0,200.0,,,NFRP,10.1186/1471-2164-8-16
6635,62.0,456.0,1.0,200.0,2.0,766.0,PCRP,10.1038/onc.2013.463
6651,16.0,1577.0,1.0,200.0,3.0,588.0,PCRP,10.1038/onc.2016.287
6659,37.0,813.0,1.0,200.0,3.0,588.0,PCRP,10.1002/anie.201503720
6693,,,1.0,200.0,7.0,307.0,PCRP,10.1371/journal.pone.0114260
6703,11.0,1874.0,1.0,200.0,6.0,363.0,PCRP,10.1158/1078-0432.ccr-15-3107
6707,129.0,180.0,1.0,200.0,15.0,169.0,PCRP,10.1186/s12916-015-0278-7
6727,37.0,813.0,1.0,200.0,1.0,1014.0,PCRP,10.1021/ja400432e
6739,14.0,1704.0,1.0,200.0,1.0,1014.0,PCRP,10.1002/mabi.201400436
6786,30.0,1002.0,1.0,200.0,5.0,406.0,PCRP,10.1038/bjc.2014.640
6522,26.0,1125.0,1.0,200.0,1.0,1014.0,PCRP,10.1002/cncr.29320
6787,3.0,2508.0,1.0,200.0,,,PCRP,10.1158/1940-6207.capr-15-0097
6848,2.0,2592.0,1.0,200.0,3.0,588.0,PCRP,10.1371/journal.pone.0159088
6860,24.0,1201.0,1.0,200.0,2.0,766.0,PCRP,10.1146/annurev-bioeng-112415-114722
6878,,,1.0,200.0,23.0,111.0,PCRP,10.4103/2153-3539.186902
6884,100.0,248.0,1.0,200.0,7.0,307.0,PCRP,10.1016/j.ccr.2014.05.004
6897,37.0,813.0,1.0,200.0,2.0,766.0,PCRP,10.1016/j.copbio.2016.02.015
6921,,,1.0,200.0,3.0,588.0,PCRP,10.1038/onc.2016.185
6922,41.0,742.0,1.0,200.0,19.0,134.0,PCRP,10.1038/ncomms13668
6927,,,1.0,200.0,8.0,285.0,PCRP,10.1016/j.eururo.2016.03.049
6949,18.0,1470.0,1.0,200.0,24.0,102.0,PCRP,10.1016/j.eururo.2015.06.011
6967,,,1.0,200.0,4.0,473.0,PCRP,10.1038/nrurol.2015.182
6982,97.0,256.0,1.0,200.0,31.0,80.0,PCRP,10.1038/nature14406
6548,18.0,1470.0,1.0,200.0,4.0,473.0,PCRP,10.2967/jnumed.115.170878
6513,225.0,89.0,1.0,200.0,3.0,588.0,PCRP,10.1038/nm.2388
5602,110.0,222.0,1.0,200.0,3.0,588.0,PCRP,10.1200/jco.2013.50.1684
5988,50.0,578.0,1.0,200.0,13.0,193.0,PCRP,10.1016/j.juro.2012.07.100
5653,23.0,1258.0,1.0,200.0,3.0,588.0,PCRP,10.2967/jnumed.114.146936
5668,8.0,2111.0,1.0,200.0,,,PCRP,10.1038/pcan.2013.40
5717,91.0,273.0,1.0,200.0,14.0,184.0,PCRP,10.1084/jem.20130590
5755,144.0,154.0,1.0,200.0,11.0,229.0,PCRP,10.1073/pnas.1108745108
5815,71.0,380.0,1.0,200.0,,,PCRP,10.1002/adma.201201251
5831,1.0,2681.0,1.0,200.0,3.0,588.0,PCRP,10.1038/pcan.2016.4
5846,4.0,2455.0,1.0,200.0,,,PCRP,10.1038/pcan.2015.46
5887,201.0,102.0,1.0,200.0,,,PCRP,10.1038/ncb2140
5889,43.0,699.0,1.0,200.0,1.0,1014.0,PCRP,10.1039/c2fo10254d
5915,21.0,1322.0,1.0,200.0,1.0,1014.0,PCRP,10.1177/1557988312437240
5926,141.0,159.0,1.0,200.0,2.0,766.0,PCRP,10.1038/nature09409
5945,14.0,1704.0,1.0,200.0,,,PCRP,10.2144/000114063
6047,22.0,1281.0,1.0,200.0,2.0,766.0,PCRP,10.1172/jci64750
6512,214.0,95.0,1.0,200.0,47.0,52.0,PCRP,10.1126/scitranslmed.3003161
6130,62.0,456.0,1.0,200.0,2.0,766.0,PCRP,10.1002/anie.201306306
6159,117.0,207.0,1.0,200.0,3.0,588.0,PCRP,10.1016/b978-0-12-407190-2.00007-1
6230,47.0,623.0,1.0,200.0,2.0,766.0,PCRP,10.1172/jci64537
6307,25.0,1164.0,1.0,200.0,6.0,363.0,PCRP,10.1038/modpathol.2016.88
6323,43.0,699.0,1.0,200.0,7.0,307.0,PCRP,10.1073/pnas.1319948110
6344,38.0,790.0,1.0,200.0,2.0,766.0,PCRP,10.1186/s13059-014-0439-6
6346,7.0,2194.0,1.0,200.0,7.0,307.0,PCRP,10.1007/s10552-015-0606-4
6349,8.0,2111.0,1.0,200.0,136.0,9.0,PCRP,10.1002/ijc.29608
6389,243.0,77.0,1.0,200.0,7.0,307.0,PCRP,10.1016/j.cell.2011.03.028
6451,309.0,46.0,1.0,200.0,18.0,142.0,PCRP,10.1038/nbt.2459
6470,71.0,380.0,1.0,200.0,,,PCRP,10.1117/1.jbo.19.5.056004
6488,,,1.0,200.0,2.0,766.0,PCRP,10.1016/j.urolonc.2015.04.015
8594,,,1.0,200.0,,,PRORP,10.1115/1.4040779
