,citations,citations_rank,news,news_rank,twitter,twitter_rank,program,DOI
7467,1.0,2681.0,,,4.0,473.0,PCRP,10.1186/s13326-016-0100-2
7305,1.0,2681.0,,,5.0,406.0,PCRP,10.1016/j.clgc.2016.10.006
7322,1.0,2681.0,,,59.0,41.0,PCRP,10.1158/1078-0432.ccr-18-1912
7327,1.0,2681.0,,,3.0,588.0,PCRP,10.1002/ijc.30787
7330,1.0,2681.0,,,1.0,1014.0,PCRP,10.1002/pros.23505
7342,1.0,2681.0,,,1.0,1014.0,PCRP,10.1016/j.mri.2017.12.021
7367,1.0,2681.0,,,1.0,1014.0,PCRP,10.1038/s41391-018-0043-z
7371,1.0,2681.0,,,6.0,363.0,PCRP,10.1002/cpt.907
7439,1.0,2681.0,,,1.0,1014.0,PCRP,10.1088/1361-6579/aabf22
7437,1.0,2681.0,,,,,PCRP,10.1109/tbcas.2018.2834412
6932,1.0,2681.0,,,,,PCRP,10.1080/14728222.2018.1439016
6898,1.0,2681.0,,,,,PCRP,10.1002/mats.201500098
8432,1.0,2681.0,,,,,PRORP,10.2106/jbjs.17.01495
8379,1.0,2681.0,,,,,PRORP,10.1371/journal.pone.0139054
756,1.0,2681.0,,,,,TSCRP,10.1007/s10803-013-1887-7
777,1.0,2681.0,,,3.0,588.0,TSCRP,10.1158/1541-7786.mcr-17-0077
779,1.0,2681.0,,,2.0,766.0,TSCRP,10.1016/j.chest.2018.08.1029
783,1.0,2681.0,,,2.0,766.0,TSCRP,10.1172/jci92893
812,1.0,2681.0,,,,,TSCRP,10.1016/j.nbd.2017.10.004
823,1.0,2681.0,,,16.0,157.0,TSCRP,10.1073/pnas.1713362114
1535,1.0,2681.0,,,,,PCRP,10.1089/jir.2008.0073
7611,1.0,2681.0,,,31.0,80.0,PCRP,10.1016/j.eururo.2018.08.010
6223,1.0,2681.0,,,,,PCRP,10.1115/1.4030221
6212,1.0,2681.0,,,,,PCRP,10.1158/1541-7786.mcr-17-0270
1755,1.0,2681.0,,,,,PCRP,10.1002/pros.21096
6052,1.0,2681.0,,,,,PCRP,10.3892/ijo.2013.2022
5998,1.0,2681.0,,,,,PCRP,10.1016/j.urology.2011.07.1384
5831,1.0,2681.0,1.0,200.0,3.0,588.0,PCRP,10.1038/pcan.2016.4
7421,1.0,2681.0,3.0,117.0,149.0,7.0,PCRP,10.1038/s41556-018-0267-0
6433,1.0,2681.0,,,31.0,80.0,PCRP,10.1158/2159-8290.cd-18-0044
8339,1.0,2681.0,,,,,PRORP,10.1115/1.4025113
8335,1.0,2681.0,,,2.0,766.0,PRORP,10.1089/ten.tea.2015.0577
6550,1.0,2681.0,,,7.0,307.0,PCRP,10.1186/s13550-018-0377-5
6560,1.0,2681.0,,,2.0,766.0,PCRP,10.1007/s13187-015-0825-0
6602,1.0,2681.0,,,1.0,1014.0,PCRP,10.1016/j.clgc.2014.12.018
6605,1.0,2681.0,,,3.0,588.0,PCRP,10.2147/ijn.s93324
8309,1.0,2681.0,,,,,PRORP,10.1016/j.clinbiomech.2015.08.016
478,1.0,2681.0,,,1.0,1014.0,NFRP,10.1002/jbm.a.36204
477,1.0,2681.0,,,1.0,1014.0,NFRP,10.1088/1748-605x/aa61d1
457,1.0,2681.0,,,8.0,285.0,NFRP,10.1242/jcs.174433
6731,1.0,2681.0,,,,,PCRP,10.3390/molecules21050599
8287,1.0,2681.0,,,,,PRORP,10.1115/1.4030507
6814,1.0,2681.0,9.0,50.0,2.0,766.0,PCRP,10.1158/1078-0432.ccr-15-2429
7613,1.0,2681.0,6.0,75.0,23.0,111.0,PCRP,10.1002/1878-0261.12316
7612,1.0,2681.0,,,2.0,766.0,PCRP,10.1007/s12325-018-0738-5
8589,1.0,2681.0,,,6.0,363.0,PRORP,10.1002/jor.23747
