,citations,citations_rank,news,news_rank,twitter,twitter_rank,program,grant_id,type,n_dois,authors_count,award_amount
878,,,,,1.0,649.0,PCRP,PC050059,Predoctoral Traineeship Award,2,5.0,0.099999
890,20.0,668.0,,,1.0,649.0,PCRP,PC050204,New Investigator Award,2,8.0,0.291545
896,31.0,458.0,,,1.0,649.0,PCRP,PC050269,New Investigator Award,4,7.0,0.33075
903,70.33333333333333,182.0,,,1.0,649.0,PCRP,PC050337,Idea Development Award,8,6.375,0.63345
995,31.75,453.0,,,1.0,649.0,PCRP,PC051290,Idea Development Award,5,7.6,0.5325
996,,,1.0,196.0,1.0,649.0,PCRP,PC051307,Idea Development Award,16,9.125,0.579375
998,13.333333333333334,847.0,,,1.0,649.0,PCRP,PC051342,Physician Research Training Award,4,5.75,0.688421
2022,1.0,1256.0,,,1.0,649.0,PCRP,PC140924,Synergistic Idea Development Award,2,5.0,0.675785
1150,45.0,308.0,,,1.0,649.0,PCRP,PC061445,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,7,7.714285714285714,0.09964
1151,117.375,91.0,1.0,196.0,1.0,649.0,PCRP,PC061456,New Investigator Award,14,6.625,0.317157
1788,18.25,713.0,,,1.0,649.0,PCRP,PC111867P1,Synergistic Idea Development Award,4,6.5,0.556875
2031,,,,,1.0,649.0,PCRP,PC141083,Exploration - Hypothesis Development Award,1,11.0,0.114375
1154,18.0,719.0,,,1.0,649.0,PCRP,PC061498,Idea Development Award,3,2.6666666666666665,0.534351
1174,21.0,645.0,,,1.0,649.0,PCRP,PC073144,New Investigator Award,1,8.0,0.333
1182,21.5,634.0,,,1.0,649.0,PCRP,PC073229,Laboratory - Clinical Transition Award-Stage 1,6,3.3333333333333335,0.976673
1602,5.5,1136.0,,,1.0,649.0,PCRP,PC100806,Idea Development Award - Established Investigator,2,4.5,0.738
1644,14.333333333333334,822.0,,,1.0,649.0,PCRP,PC101840,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,4,7.0,0.098315
1190,11.25,917.0,,,1.0,649.0,PCRP,PC073297,Idea Development Award,5,4.0,0.560062
1196,10.8,949.0,,,1.0,649.0,PCRP,PC073341,Idea Development Award,5,5.0,0.38505
1197,12.6,862.0,,,1.0,649.0,PCRP,PC073349,Idea Development Award,6,6.166666666666667,0.578949
1215,132.33333333333334,75.0,,,1.0,649.0,PCRP,PC073533,New Investigator Award,3,12.666666666666666,0.369
1225,162.0,55.0,,,1.0,649.0,PCRP,PC073604,Idea Development Award,3,7.0,0.414033
1239,436.0,7.0,,,1.0,649.0,PCRP,PC073716,Idea Development Award,2,6.5,0.585
1244,51.666666666666664,265.0,,,1.0,649.0,PCRP,PC073769,Idea Development Award,8,6.375,0.636195
1141,108.0,99.0,,,1.0,649.0,PCRP,PC061337,Idea Development Award,2,2.5,0.584375
1787,18.25,713.0,,,1.0,649.0,PCRP,PC111867,Synergistic Idea Development Award,4,6.5,0.554838
1127,,,,,1.0,649.0,PCRP,PC061185,Prostate Cancer Training Award - Postdoctoral - PhD,2,3.0,0.109191
1126,63.5,209.0,,,1.0,649.0,PCRP,PC061165,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,3,5.666666666666667,0.063426
1633,43.5,320.0,,,1.0,649.0,PCRP,PC101482,Exploration - Hypothesis Development Award,2,9.0,0.106174
1039,,,,,1.0,649.0,PCRP,PC060266,Prostate Cancer Training Award - Postdoctoral - PhD,6,12.833333333333334,0.1242
1045,16.166666666666668,769.0,,,1.0,649.0,PCRP,PC060331,Idea Development Award,7,10.428571428571429,0.5478
1059,,,,,1.0,649.0,PCRP,PC060436,Prostate Cancer Training Award - Postdoctoral - PhD,4,5.0,0.120462
1062,259.0,25.0,,,1.0,649.0,PCRP,PC060451,Idea Development Award,3,8.0,0.405
1087,26.0,544.0,,,1.0,649.0,PCRP,PC060727,Prostate Cancer Training Award - Predoctoral - PhD and MD/PhD,4,3.2,0.099861
1089,,,,,1.0,649.0,PCRP,PC060746,Idea Development Award,2,6.5,0.497033
2050,18.0,719.0,,,1.0,649.0,PCRP,PC150040P1,Impact Award - Clinical Trial - Partnering PI Option,1,6.0,0.726846
2049,18.0,719.0,,,1.0,649.0,PCRP,PC150040,Impact Award - Clinical Trial - Partnering PI Option,1,6.0,1.457101
1093,144.5,63.0,,,1.0,649.0,PCRP,PC060807,Idea Development Award,4,8.5,0.6375
1099,24.5,574.0,,,1.0,649.0,PCRP,PC060857,Idea Development Award,8,9.75,0.568737
1113,48.42857142857143,287.0,,,1.0,649.0,PCRP,PC061053,New Investigator Award,20,3.8636363636363638,0.330421
2045,12.0,875.0,,,1.0,649.0,PCRP,PC141593,Postdoctoral Training Award,1,10.0,0.115698
1125,39.0,351.0,,,1.0,649.0,PCRP,PC061157,New Investigator Award,4,7.5,0.2583
2041,4.0,1173.0,,,1.0,649.0,PCRP,PC141548,Postdoctoral Training Award,1,3.0,0.122043
23,,,,,1.0,649.0,NFRP,NF010130,Idea Award,1,13.0,0.510165
